GLTC Qualifying Results,,,,,
Pos,No.,Name,Class,Best Tm,Points
1,41,James Houghton,GLTC - FWD,1:35.461,3
2,82,Eric Kutil,GLTC - FWD,1:35.488,2
3,7,Luke Mcgrew,GLTC - RWD,1:35.800,1
4,129,James Cathers,GLTC - RWD,1:36.041,0
5,17,Tony Marchev,GLTC - RWD,1:36.062,0
6,484,Matan Rosenberg,GLTC - RWD,1:36.075,0
7,19,Aaron Leichty,GLTC - RWD,1:36.117,0
8,109,Dana Basinski,GLTC - RWD,1:36.443,0
9,374,Emile Tabb,GLTC - RWD,1:36.515,0
10,34,Austin Hertel,GLTC - RWD,1:36.544,0
11,55,Paul Darling,GLTC - RWD,1:36.591,0
12,715,Andy Smedegard,GLTC - RWD,1:36.724,0
13,184,Eric Jensen,GLTC - RWD,1:36.868,0
14,3,Erik Meadows,GLTC - RWD,1:36.908,0
15,28,Peter Zhang,GLTC - RWD,1:36.928,0
16,90,Matt Waldbaum,GLTC - RWD,1:37.122,0
17,85,Samuel Scott,GLTC - RWD,1:37.130,0
18,330,Eric Magnussen,GLTC - RWD,1:37.144,0
19,32,Jake Joraanstad,GLTC - RWD,1:37.180,0
20,202,Jake Price,GLTC - RWD,1:37.297,0
21,241,Tyler Pappas,GLTC - RWD,1:37.486,0
22,45,Colton Wade,GLTC - RWD,1:37.653,0
23,222,Kyle Hale,GLTC - RWD,1:37.687,0
24,1,Gary Wimble,GLTC - RWD,1:37.688,0
25,4,Adam Ulrich,GLTC - RWD,1:37.734,0
26,40,Jeremy Boysen,GLTC - FWD,1:37.813,0
27,917,Lena Chin,GLTC - RWD,1:37.832,0
28,207,Adam Wood,GLTC - AWD,1:37.907,0
29,52,Mackenzie Korince,GLTC - FWD,1:38.012,0
30,10,Brian Tyson,GLTC - FWD,1:38.057,0
31,49,Nicholas Barbato,GLTC - RWD,1:38.270,0
32,83,Carlos Mendez,GLTC - RWD,1:38.290,0
33,46,Ryan Kristoff,GLTC - FWD,1:38.303,0
34,103,Dan Howard,GLTC - RWD,1:38.645,0
35,144,Vytis Aranauskas,GLTC - RWD,1:38.728,0
36,33,Thing 3 Racing,GLTC - RWD,1:38.744,0
37,204,Lealand Wamboldt,GLTC - FWD,1:38.834,0
38,84,Thomas Lathrop,GLTC - RWD,1:39.158,0
39,171,Clayton Fitzpatrick,GLTC - RWD,1:39.164,0
40,337,Bryan Leonard,GLTC - RWD,1:39.228,0
41,136,Austin Cobb,GLTC - RWD,1:39.274,0
42,77,Hans Horpedahl,GLTC - RWD,1:39.373,0
43,24,Dustin Bartee,GLTC - FWD,1:39.585,0
44,187,Chris Adams,GLTC - RWD,1:39.617,0
45,541,Seth Gale,GLTC - FWD,1:39.979,0
46,888,Dai Nguyen,GLTC - RWD,1:40.023,0
47,11,Jeremy Zeitler,GLTC - FWD,1:40.155,0
48,941,Marcandre Bourdages,GLTC - FWD,1:40.678,0
49,546,Andy Sundeen,GLTC - RWD,1:40.708,0
50,159,Joshua Rubenstein,GLTC - RWD,1:40.819,0
51,69,James Forbis,GLTC - RWD,1:41.019,0
52,444,John Gaydos,GLTC - RWD,1:41.131,0
53,515,Thomas Moss,GLTC - RWD,1:41.327,0
54,43,Joe Tullo,GLTC - RWD,1:41.552,0
55,25,Nicolas Fuller,GLTC - RWD,1:42.144,0
56,714,Tony Barber,GLTC - RWD,1:42.854,0
57,100,Andrew Cowden,GLTC - RWD,1:43.209,0
58,18,Jason LaManna,GLTC - FWD,1:43.744 UO,0
59,155,Michael Pagano,GLTC - RWD,1:45.076,0
60,131,Lisa Keyes,GLTC - FWD,1:46.456,0
61,290,Nick Boyeas,GLTC - FWD,1:48.038,0
