GLTC/A Race 2 Results,,,,,,,,
Pos,No.,Name,Class,Best Tm,In Lap,Laps,Gap,Points
1,7,Luke Mcgrew,GLTC - RWD,1:36.320,7,9,,25
2,484,Matan Rosenberg,GLTC - RWD,1:36.206,2,9,0.467,21
3,82,Eric Kutil,GLTC - FWD,1:36.142,7,9,0.086,18
4,17,Tony Marchev,GLTC - RWD,1:36.148,7,9,0.284,16
5,715,Andy Smedegard,GLTC - RWD,1:36.008,9,9,0.594,15
6,32,Jake Joraanstad,GLTC - RWD,1:36.824,7,9,4.505,14
7,19,Aaron Leichty,GLTC - RWD,1:36.836,5,9,0.625,13
8,129,James Cathers,GLTC - RWD,1:36.451,7,9,0.336,12
9,55,Paul Darling,GLTC - RWD,1:36.609,7,9,0.519,11
10,34,Austin Hertel,GLTC - RWD,1:36.635,7,9,0.914,10
11,45,Colton Wade,GLTC - RWD,1:36.938,7,9,2.473,9
12,202,Jake Price,GLTC - RWD,1:36.853,7,9,4.265,8
13,90,Matt Waldbaum,GLTC - RWD,1:36.999,6,9,0.734,7
14,917,Lena Chin,GLTC - RWD,1:37.598,9,9,3.68,6
15,241,Tyler Pappas,GLTC - RWD,1:38.010,6,9,2.159,5
16,40,Jeremy Boysen,GLTC - FWD,1:37.786,4,9,2.267,4
17,207,Adam Wood,GLTC - AWD,1:37.878,9,9,5.193,3
18,83,Carlos Mendez,GLTC - RWD,1:38.414,9,9,0.97,2
19,4,Adam Ulrich,GLTC - RWD,1:38.344,9,9,0.365,1
20,46,Ryan Kristoff,GLTC - FWD,1:38.461,9,9,1.139,0
21,85,Samuel Scott,GLTC - RWD,1:38.389,9,9,0.391,0
22,222,Kyle Hale,GLTC - RWD,1:38.461,9,9,0.759,0
23,337,Bryan Leonard,GLTC - RWD,1:38.414,6,9,0.834,0
24,10,Brian Tyson,GLTC - FWD,1:37.979,8,9,0.897,0
25,546,Andy Sundeen,GLTC - RWD,1:38.888,7,9,3.37,0
26,84,Thomas Lathrop,GLTC - RWD,1:38.547,7,9,0.754,0
27,374,Emile Tabb,GLTC - RWD,1:37.461,7,7,2 Laps,0
28,1,Gary Wimble,GLTC - RWD,1:36.917,4,7,28.613,0
DQ,888,Dai Nguyen,GLTC - RWD,1:41.867,1,2,5 Laps,0
