GLTC/B Race 3 Results,,,,,,,,
Pos,No.,Name,Class,Best Tm,In Lap,Laps,Gap,Points
1,330,Eric Magnussen,GLTC - RWD,1:35.842,7,8,,3
2,1,Gary Wimble,GLTC - RWD,1:36.773,4,8,4.484,2
3,3,Erik Meadows,GLTC - RWD,1:36.515,5,8,0.215,1
4,41,James Houghton,GLTC - FWD,1:34.839,8,8,9.321,0
5,52,Mackenzie Korince,GLTC - FWD,1:38.233,7,8,11.555,0
6,84,Thomas Lathrop,GLTC - RWD,1:38.666,8,8,2.421,0
7,546,Andy Sundeen,GLTC - RWD,1:38.626,8,8,0.352,0
8,888,Dai Nguyen,GLTC - RWD,1:38.836,7,8,0.968,0
9,243,Kevin Zhu,GLTC - FWD,1:38.528,4,8,7.386,0
10,444,John Gaydos,GLTC - RWD,1:40.481,3,8,1.932,0
11,541,Seth Gale,GLTC - FWD,1:39.744,4,8,1.618,0
12,187,Chris Adams,GLTC - RWD,1:40.523,7,8,0.521,0
13,28,Peter Zhang,GLTC - RWD,1:39.239,3,8,0.179,0
14,11,Jeremy Zeitler,GLTC - FWD,1:40.510,6,8,1.793,0
15,941,Marcandre Bourdages,GLTC - FWD,1:40.447,3,8,2.33,0
16,515,Thomas Moss,GLTC - RWD,1:42.247,4,8,9.2,0
17,159,Joshua Rubenstein,GLTC - RWD,1:41.370,8,8,1.1,0
18,43,Joe Tullo,GLTC - RWD,1:41.485,5,8,4.892,0
19,25,Nicolas Fuller,GLTC - RWD,1:40.914,5,8,0.373,0
20,131,Lisa Keyes,GLTC - FWD,1:41.050,8,8,1.087,0
21,100,Andrew Cowden,GLTC - RWD,1:42.193,7,8,3.1,0
22,290,Nick Boyeas,GLTC - FWD,1:47.539,4,8,37.926,0
23,171,Clayton Fitzpatrick,GLTC - RWD,1:39.798,4,5,3 Laps,0
24,77,Hans Horpedahl,GLTC - RWD,1:40.294,3,3,2 Laps,0
25,2,Aryton Grim,GLTC - RWD,,0,,3 Laps,0
26,46,Ryan Kristoff,GLTC - FWD,,0,,,0
