TrackBattle Heat 1 Results (all groups),,,,,
Pos,No.,Name,Class,Best Time/Heat,Model/Engine
1,927,Jim Rauck,UNLIMITED - FWD,1:27.398,CIVIC
2,606,Allen Patten,STREET MOD - RWD,1:27.852,GR SUPRA
3,89,Brandon Hodge,TRACK MOD - RWD,1:29.997,GR SUPRA
4,84,Ido Waksman,STREET GT - RWD,1:30.685,CORVETTE
5,121,Ryan Mathews,STREET MOD - RWD,1:31.353,CORVETTE
6,34,Andy Voelkel,STREET GT - RWD,1:31.401,CORVETTE
7,14,Kal Fortner,STREET MOD - RWD,1:31.568,AMG GT S
8,51,Jon Roed,STREET MOD - RWD,1:31.810,MX-5 MIATA
9,171,Andrius Bertulis,UNLIMITED - RWD,1:32.430,RCF
10,500,Steven Luca,UNLIMITED - RWD,1:32.469,MUSTANG
11,314,Michael Puglisi,TRACK MOD - AWD,1:32.877,LANCER
12,63,Luca Barberis,STREET - AWD,1:33.078,LANCER
13,212,Chris Smith,TRACK MOD - RWD,1:33.420,1 SERIES
14,404,David Bamforth,TRACK MOD - RWD,1:33.499,CAYMAN
15,52,Nicholas Gardner,UNLIMITED - RWD,1:33.560,SHELBY GT500
16,187,Keenan Prusank,STREET GT - RWD,1:33.833,CAMARO
17,364,Nicholas Hendrix,STREET GT - RWD,1:34.117,CORVETTE
18,550,Christian Aranha,STREET GT - RWD,1:34.304,CAMARO
19,330,James Houghton,CLUB TR - FWD,1:34.683,TSX
20,70,Dewey Dewitt,STREET MOD - AWD,1:34.795,IMPREZA
21,236,Jimmy Vajdak,CLUB TR - RWD,1:35.545,GR86
22,297,Brian Van Orsdol,STREET MOD - RWD,1:35.825,GR SUPRA
23,40,Ben Bulthuis,STREET GT - RWD,1:36.040,GR SUPRA
24,44,Joel Phillips,STREET GT - RWD,1:36.047,911
25,226,Jerry Liu,STREET MOD - RWD,1:36.111,GT4 RS
26,54,Zachary Moore,STREET MOD - RWD,1:36.392,CORVETTE
27,71,Kevin Horn,STREET GT - RWD,1:36.487,CAMARO
28,773,Luie Zendejas,STREET GT - RWD,1:36.637,M2
29,514,Evan Mclaren,CLUB TR - FWD,1:36.736,INTEGRA
30,511,Peter Granberg,CLUB TR - RWD,1:36.962,BRZ
31,734,Hertel Austin,STREET GT - RWD,1:37.647,M2
32,69,Cody Umbaugh,STREET - FWD,1:37.661,CIVIC
33,13,Jerami Bailey,CLUB TR - RWD,1:37.720,FR-S
34,350,Julio Crispin,TRACK MOD - RWD,1:37.804,350Z
35,61,Fez Babar,CLUB TR - RWD,1:37.896,GR86
36,781,Lyle Zyra,CLUB TR - RWD,1:37.973,GR86
37,2,Connor Gallagher,STREET GT - AWD,1:38.013,GT-R
38,338,Ernestas Puzelis,UNLIMITED - RWD,1:38.279,CAYMAN
39,470,Eddy Segal,STREET - FWD,1:38.363,CIVIC
40,239,Tan Nguyen,CLUB TR - RWD,1:38.467,S2000
41,531,Evan Weider,CLUB TR - FWD,1:38.603,CIVIC
42,937,Bryan Tripoli,STREET - FWD,1:38.624,INTEGRA
43,727,Mario Mirone,CLUB TR - FWD,1:39.008,CIVIC
44,199,Ian Flavin,CLUB TR - RWD,1:39.065,BRZ
45,410,Foster Johnson,CLUB TR - RWD,1:39.071,S2000
46,80,Chris Nahill,CLUB TR - RWD,1:39.115,BRZ
47,19,Josh Powers,TRACK MOD - RWD,1:39.182,CORVETTE
48,18,Kevin Vue,CLUB TR - FWD,1:39.197,INTEGRA
49,64,Alex Westergaard,TRACK MOD - RWD,1:39.568,S2000
50,193,Brad Moore,STREET - RWD,1:40.006,718 CAYMAN
51,997,Jason Gaydos,CLUB TR - RWD,1:40.044,BRZ
52,11,Graham Gaylord,CLUB TR - AWD,1:40.653,COROLLA
53,442,Logan Geyer,CLUB TR - RWD,1:40.822,BRZ
54,499,Ethan Parr,STREET MOD - RWD,1:41.209,MX-5 MIATA
55,654,Nick Aegerter,STREET - AWD,1:41.519,FOCUS
56,977,Rico Valdez,STREET GT - RWD,1:43.157,CORVETTE
57,75,Jerome Cahuzac,STREET GT - RWD,1:43.158,M2
58,194,Mike Callaway,STREET - AWD,1:44.313,IMPREZA
59,614,Mark Riehle,CLUB TR - FWD,1:44.965,COOPER
60,915,Dylan Rodgers,CLUB TR - RWD,1:45.711,MX-5 MIATA
61,230,Daniel Persing,CLUB TR - RWD,1:45.882,BRZ
62,22,Mitchell Hickling,STREET GT - RWD,1:46.629,M4
63,191,Jessica Powers,TRACK MOD - RWD,1:46.656,CORVETTE
64,15,Adam Wrobel,CLUB TR - FWD,1:46.763,INTEGRA
65,686,Chase Mcmaster,CLUB TR - RWD,1:47.067,GR86
66,973,Luke Paglione,CLUB TR - FWD,1:47.127,INTEGRA
67,156,Mike Janssen,SUNDAE CUP - FWD,1:48.048,COOPER
68,528,Richard Sawicki,SUNDAE CUP - RWD,1:48.283,MX-5 MIATA
69,130,James Smith,SUNDAE CUP - FWD,1:48.612,FIT
70,144,Ryan Mukherjee,SUNDAE CUP - FWD,1:48.685,FIT
71,509,Kevin Wendt,CLUB TR - FWD,1:49.018,CR-X
72,134,David Best,SUNDAE CUP - FWD,1:49.627,FIT
73,428,Brad Smith,SUNDAE CUP - FWD,1:49.904,FIT
74,373,Benjamin Smolen,CLUB TR - FWD,1:49.997,JETTA
75,729,Chris Murray,SUNDAE CUP - RWD,1:50.283,MX-5 MIATA
76,116,Lennon Radcliffe,SUNDAE CUP - FWD,1:50.641,COROLLA
77,357,Team TrackBeers,SUNDAE CUP - FWD,1:50.915,FIT
78,1,Chris Wolf,CLUB TR - FWD,1:50.970,PRELUDE
79,969,Jack Coughlin,SUNDAE CUP - FWD,1:51.098,COUPE
80,636,Noah Masse,SUNDAE CUP - FWD,1:52.296,FIT
81,370,Sam Deuling,SUNDAE CUP - FWD,1:53.421,FIT
82,126,Jacob Abbott,SUNDAE CUP - FWD,1:53.825,FIT
