GLTC Race 3 Results,,,,,,,,
Pos,No.,Name,Class,Best Tm,In Lap,Laps,Gap,Points
1,484,Matan Rosenberg,GLTC - RWD,2:00.977,6,7,,25
2,212,Team ASM,GLTC - RWD,2:00.787,5,7,2.476,21
3,17,Tony Marchev,GLTC - RWD,2:00.111,6,7,1.635,18
4,90,Matt Waldbaum,GLTC - RWD,2:01.417,4,7,3.764,16
5,41,James Houghton,GLTC - FWD,2:00.643,6,7,4.473,15
6,184,Eric Jensen,GLTC - RWD,2:03.167,7,7,2.236,14
7,49,Nicholas Barbato,GLTC - RWD,2:02.741,7,7,0.331,13
8,50,Tony Barber,GLTC - RWD,2:02.653,6,7,18.292,12
9,129,James Cathers,GLTC - RWD,2:02.040,4,7,0.747,11
10,3,Erik Meadows,GLTC - RWD,2:03.850,7,7,4.690,10
11,83,Carlos Mendez,GLTC - RWD,2:03.996,7,7,0.690,9
12,77,Hans Horpedahl,GLTC - RWD,2:04.148,6,7,0.484,8
13,99,Ronnie Vajdak,GLTC - RWD,2:03.930,6,7,1.391,7
14,917,Lena Chin,GLTC - RWD,2:04.314,6,7,3.127,6
15,159,Joshua Rubenstein,GLTC - RWD,2:05.697,4,7,6.266,5
16,144,Vytis Aranauskas,GLTC - RWD,2:05.299,6,7,3.505,4
17,46,Ryan Kristoff,GLTC - FWD,2:05.194,6,7,2.205,3
18,204,Lealand Wamboldt,GLTC - FWD,2:05.153,7,7,2.012,2
19,824,Bryan Hedian,GLTC - RWD,2:04.750,7,7,1.464,1
20,213,Scott Robertson,GLTC - RWD,2:08.288,7,7,5.187,0
21,78,Jason Kanakry,GLTC - RWD,2:07.500,5,7,0.645,0
22,85,Samuel Scott,GLTC - RWD,2:05.984,5,7,0.128,0
23,243,Kevin Zhu,GLTC - FWD,2:06.370,4,7,5.868,0
24,25,Nicolas Fuller,GLTC - RWD,2:09.802,5,7,15.254,0
25,11,Jeremy Zeitler,GLTC - FWD,2:09.926,7,7,2.194,0
26,84,Thomas Lathrop,GLTC - RWD,2:08.834,7,7,0.580,0
27,541,Matthew Harbert,GLTC - FWD,2:10.994,6,7,5.777,0
28,594,Rory Lonergan,GLTC - RWD,2:11.360,6,7,5.039,0
29,131,Lisa Keyes,GLTC - FWD,2:11.667,4,7,22.430,0
30,888,Dai Nguyen,GLTC - RWD,2:12.044,4,4,3 Laps,0
31,74,Erik Dallariva,GLTC - FWD,,0,,4 Laps,0
DQ,28,Peter Zhang,GLTC - RWD,2:00.613,6,7,,0
