TrackBattle Heat 4 Results (all groups),,,,,
Pos,No.,Name,Class,Best Time/Heat,Model/Engine
1,446,Ghais Khaleghi,SUPER UNLIMITED - RWD,1:44.599,D-08
2,29,Kyle Mckiou,STREET MOD - RWD,1:45.093,GR SUPRA
3,70,Dewey Dewitt,STREET MOD - AWD,1:47.985,IMPREZA
4,606,Allen Patten,STREET GT - RWD,1:49.309,CORVETTE
5,171,Andrius Bertulis,UNLIMITED - RWD,1:49.573,RCF
6,404,David Bamforth,TRACK MOD - RWD,1:50.099,CAYMAN
7,525,Jeremy Lowder,UNLIMITED - RWD,1:50.494,CORVETTE
8,299,Colton Drescosky,TRACK MOD - RWD,1:50.735,VIPER
9,121,Ryan Mathews,STREET GT - RWD,1:51.323,CORVETTE
10,114,Bronson Mcnemar,TRACK MOD - RWD,1:51.853,MX-5 MIATA
11,363,Michael Kubiak,TRACK MOD - RWD,1:51.933,CORVETTE
12,364,Nicholas Hendrix,STREET GT - RWD,1:51.989,CORVETTE
13,84,Ido Waksman,STREET GT - RWD,1:52.102,CORVETTE
14,529,Kyle Carrick,STREET GT - RWD,1:52.296,M3
15,82,Jaime Santos,STREET MOD - RWD,1:52.529,1 SERIES
16,312,Ian Creps,STREET MOD - FWD,1:53.017,CIVIC TYPE R
17,550,Christian Aranha,STREET GT - RWD,1:53.288,CAMARO
18,297,Brian Van Orsdol,STREET MOD - RWD,1:54.154,GR SUPRA
19,2,Connor Gallagher,STREET GT - AWD,1:54.169,GT-R
20,511,Peter Granberg,CLUB TR - RWD,1:54.213,BRZ
21,625,Sam Bosnian,STREET - RWD,1:54.254,350Z
22,727,Mario Mirone,CLUB TR - FWD,1:54.814,CIVIC
23,71,Kevin Horn,STREET GT - RWD,1:55.148,CAMARO
24,850,Evan English,STREET MOD - RWD,1:55.482,GR SUPRA
25,40,Ben Bulthuis,STREET GT - RWD,1:55.724,GR SUPRA
26,520,Alexander Bungabong,STREET MOD - RWD,1:56.581,RCF
27,514,Evan Mclaren,CLUB TR - FWD,1:56.867,INTEGRA
28,326,Stan Fayngold,CLUB TR - RWD,1:57.045,86
29,470,Eddy Segal,STREET - FWD,1:57.242,CIVIC
30,139,Wilbur Huang,STREET MOD - RWD,1:57.417,GR SUPRA
31,69,Cody Umbaugh,STREET - FWD,1:57.669,CIVIC
32,145,Devin Hofmann,STREET MOD - AWD,1:58.212,WRX
33,281,Randy Reeves,STREET MOD - RWD,1:58.214,MX-5 MIATA
34,410,Foster Johnson,CLUB TR - RWD,1:58.215,S2000
35,530,Joseph Dale,STREET GT - RWD,1:58.222,CORVETTE
36,199,Ian Flavin,CLUB TR - RWD,1:58.603,BRZ
37,44,Joel Phillips,STREET GT - RWD,1:58.799,911
38,985,Dayton Delahoussaye,STREET MOD - RWD,1:59.123,MX-5 MIATA
39,191,Team Powers,TRACK MOD - RWD,1:59.923,CORVETTE
40,415,Ivan Onofriiciuc,STREET - RWD,1:59.925,370Z
41,890,Eric Magnussen,STREET GT - RWD,2:00.229,SUPRA
42,13,Jerami Bailey,CLUB TR - RWD,2:00.397,FR-S
43,230,Daniel Persing,CLUB TR - RWD,2:00.452,BRZ
44,15,Adam Wrobel,CLUB TR - FWD,2:00.780,INTEGRA
45,677,Ron Merlino,TRACK MOD - RWD,2:00.812,350Z
46,347,Johnathan O'Donnell,STREET - FWD,2:00.993,CIVIC TYPE R
47,80,Chris Nahill,CLUB TR - RWD,2:01.615,BRZ
48,218,Jason Mulderig,CLUB TR - RWD,2:02.055,S2000
49,712,Ethan Bailey,STREET - AWD,2:02.664,IMPREZA
50,198,Bruce Yhun,CLUB TR - FWD,2:02.812,CIVIC
51,515,The Winning Formula,CLUB TR - RWD,2:03.697,S2000
52,391,Chris Schuster,STREET MOD - RWD,2:03.723,GR86
53,67,Jonathan Denk,STREET MOD - FWD,2:04.211,CIVIC
54,378,Nathan Warner,CLUB TR - RWD,2:04.249,S2000
55,660,Rick Hoback,TRACK MOD - RWD,2:05.826,FRONTIER
56,519,Malindima Sampa,CLUB TR - RWD,2:07.496,350Z
57,528,Richard Sawicki,SUNDAE CUP - RWD,2:10.022 DQ,MX-5 MIATA
58,813,Jacob Green,CLUB TR - RWD,2:10.642,S2000
59,411,Chris Rice,SUNDAE CUP - FWD,2:10.980,FIT
60,134,David Best,SUNDAE CUP - FWD,2:11.303,FIT
61,370,Sam Deuling,SUNDAE CUP - FWD,2:11.351,FIT
62,729,Chris Murray,SUNDAE CUP - RWD,2:11.567,MX-5 MIATA
63,412,Austin Obrien,SUNDAE CUP - FWD,2:12.304,FIT
64,523,Sean Condon,CLUB TR - RWD,2:12.394,3 SERIES
65,117,Sundae Funday,SUNDAE CUP - FWD,2:12.686,FIT
66,636,Noah Masse,SUNDAE CUP - FWD,2:14.923,FIT
67,979,Becky Burton,SUNDAE CUP - FWD,2:18.112,MAZDA2
68,505,Isaac Rodriguez,SUNDAE CUP - FWD,2:23.880,2
69,973,Luke Paglione,CLUB TR - FWD,,INTEGRA
