TrackBattle Heat 5 Results (all groups),,,,,
Pos,No.,Name,Class,Best Tm,Model/Engine
1,446,Ghais Khaleghi,SUPER UNLIMITED - RWD,1:45.570,D-08
2,29,Kyle Mckiou,STREET MOD - RWD,1:47.349,GR SUPRA
3,70,Dewey Dewitt,STREET MOD - AWD,1:49.801,IMPREZA
4,299,Colton Drescosky,TRACK MOD - RWD,1:50.323,VIPER
5,171,Andrius Bertulis,UNLIMITED - RWD,1:50.479,RCF
6,525,Jeremy Lowder,UNLIMITED - RWD,1:51.733,CORVETTE
7,404,David Bamforth,TRACK MOD - RWD,1:51.806,CAYMAN
8,121,Ryan Mathews,STREET GT - RWD,1:52.405,CORVETTE
9,114,Bronson Mcnemar,TRACK MOD - RWD,1:52.733,MX-5 MIATA
10,51,Jon Roed,STREET MOD - RWD,1:52.770,MX-5 MIATA
11,364,Nicholas Hendrix,STREET GT - RWD,1:53.580,CORVETTE
12,82,Jaime Santos,STREET MOD - RWD,1:54.017,1 SERIES
13,985,Dayton Delahoussaye,STREET MOD - RWD,1:54.544,MX-5 MIATA
14,139,Wilbur Huang,STREET MOD - RWD,1:55.077,GR SUPRA
15,312,Ian Creps,STREET MOD - FWD,1:55.642,CIVIC TYPE R
16,727,Mario Mirone,CLUB TR - FWD,1:55.674,CIVIC
17,326,Stan Fayngold,CLUB TR - RWD,1:55.791,86
18,529,Kyle Carrick,STREET GT - RWD,1:55.971,M3
19,511,Peter Granberg,CLUB TR - RWD,1:56.450,BRZ
20,625,Sam Bosnian,STREET - RWD,1:56.544,350Z
21,2,Connor Gallagher,STREET GT - AWD,1:56.630,GT-R
22,890,Eric Magnussen,STREET GT - RWD,1:57.651,SUPRA
23,145,Devin Hofmann,STREET MOD - AWD,1:57.852,WRX
24,530,Joseph Dale,STREET GT - RWD,1:57.889,CORVETTE
25,44,Joel Phillips,STREET GT - RWD,1:57.961,911
26,40,Ben Bulthuis,STREET GT - RWD,1:58.004,GR SUPRA
27,606,Allen Patten,STREET GT - RWD,1:58.017,CORVETTE
28,677,Ron Merlino,TRACK MOD - RWD,1:58.405,350Z
29,191,Team Powers,TRACK MOD - RWD,1:58.750,CORVETTE
30,297,Brian Van Orsdol,STREET MOD - RWD,1:58.789,GR SUPRA
31,470,Eddy Segal,STREET - FWD,1:58.836,CIVIC
32,199,Ian Flavin,CLUB TR - RWD,1:59.314,BRZ
33,406,Jack Stodola,CLUB TR - FWD,1:59.565,CIVIC
34,45,Ross Ligibel,STREET - RWD,1:59.663,M3
35,410,Foster Johnson,CLUB TR - RWD,1:59.768,S2000
36,13,Jerami Bailey,CLUB TR - RWD,2:00.303,FR-S
37,515,The Winning Formula,CLUB TR - RWD,2:00.652,S2000
38,415,Ivan Onofriiciuc,STREET - RWD,2:00.671,370Z
39,520,Alexander Bungabong,STREET MOD - RWD,2:00.746,RCF
40,850,Evan English,STREET MOD - RWD,2:00.946,GR SUPRA
41,550,Christian Aranha,STREET GT - RWD,2:00.974,CAMARO
42,80,Chris Nahill,CLUB TR - RWD,2:01.531,BRZ
43,15,Adam Wrobel,CLUB TR - FWD,2:01.918,INTEGRA
44,712,Ethan Bailey,STREET - AWD,2:02.152,IMPREZA
45,230,Daniel Persing,CLUB TR - RWD,2:02.282,BRZ
46,347,Johnathan O'Donnell,STREET - FWD,2:02.576,CIVIC TYPE R
47,378,Nathan Warner,CLUB TR - RWD,2:03.595,S2000
48,67,Jonathan Denk,STREET MOD - FWD,2:04.052,CIVIC
49,198,Bruce Yhun,CLUB TR - FWD,2:04.268,CIVIC
50,391,Chris Schuster,STREET MOD - RWD,2:04.964,GR86
51,973,Luke Paglione,CLUB TR - FWD,2:05.939,INTEGRA
52,660,Rick Hoback,TRACK MOD - RWD,2:05.991,FRONTIER
53,218,Jason Mulderig,CLUB TR - RWD,2:07.751,S2000
54,519,Malindima Sampa,CLUB TR - RWD,2:08.344,350Z
55,411,Chris Rice,SUNDAE CUP - FWD,2:11.308,FIT
56,813,Jacob Green,CLUB TR - RWD,2:11.466,S2000
57,370,Sam Deuling,SUNDAE CUP - FWD,2:11.834,FIT
58,134,David Best,SUNDAE CUP - FWD,2:12.464,FIT
59,412,Austin Obrien,SUNDAE CUP - FWD,2:13.768,FIT
60,729,Chris Murray,SUNDAE CUP - RWD,2:14.253,MX-5 MIATA
61,636,Noah Masse,SUNDAE CUP - FWD,2:15.666,FIT
62,979,Becky Burton,SUNDAE CUP - FWD,2:17.243,MAZDA2
63,117,Sundae Funday,SUNDAE CUP - FWD,2:24.899,FIT
64,505,Isaac Rodriguez,SUNDAE CUP - FWD,2:25.861,2
65,69,Cody Umbaugh,STREET - FWD,,CIVIC
