TrackBattle Overall Results (all groups),,,,,
Pos,No.,Name,Class,Best Time/Heat,Model
1,29x,Kyle Mckiou,TRACK MOD - RWD,1:44.366,GR SUPRA
2,446,Ghais Khaleghi,SUPER UNLIMITED - RWD,1:44.599,D-08
3,29,Kyle Mckiou,STREET MOD - RWD,1:45.093,GR SUPRA
4,70,Dewey Dewitt,STREET MOD - AWD,1:47.985,IMPREZA
5,606,Allen Patten,STREET GT - RWD,1:48.944,CORVETTE
6,171,Andrius Bertulis,UNLIMITED - RWD,1:49.573,RCF
7,114,Bronson Mcnemar,TRACK MOD - RWD,1:49.872,MX-5 MIATA
8,404,David Bamforth,TRACK MOD - RWD,1:50.099,CAYMAN
9,363,Michael Kubiak,TRACK MOD - RWD,1:50.152,CORVETTE
10,299,Colton Drescosky,TRACK MOD - RWD,1:50.323,VIPER
11,51,Jon Roed,STREET MOD - RWD,1:50.447,MX-5 MIATA
12,525,Jeremy Lowder,UNLIMITED - RWD,1:50.494,CORVETTE
13,121,Ryan Mathews,STREET GT - RWD,1:51.323,CORVETTE
14,550,Christian Aranha,STREET GT - RWD,1:51.556,CAMARO
15,82,Jaime Santos,STREET MOD - RWD,1:51.843,1 SERIES
16,364,Nicholas Hendrix,STREET GT - RWD,1:51.989,CORVETTE
17,84,Ido Waksman,STREET GT - RWD,1:52.102,CORVETTE
18,529,Kyle Carrick,STREET GT - RWD,1:52.296,M3
19,312,Ian Creps,STREET MOD - FWD,1:53.017,CIVIC TYPE R
20,2,Connor Gallagher,STREET GT - AWD,1:54.108,GT-R
21,297,Brian Van Orsdol,STREET MOD - RWD,1:54.154,GR SUPRA
22,514,Evan Mclaren,CLUB TR - FWD,1:54.210,INTEGRA
23,511,Peter Granberg,CLUB TR - RWD,1:54.213,BRZ
24,625,Sam Bosnian,STREET - RWD,1:54.254,350Z
25,326,Stan Fayngold,CLUB TR - RWD,1:54.361,86
26,139,Wilbur Huang,STREET MOD - RWD,1:54.460,GR SUPRA
27,985,Dayton Delahoussaye,STREET MOD - RWD,1:54.544,MX-5 MIATA
28,727,Mario Mirone,CLUB TR - FWD,1:54.814,CIVIC
29,71,Kevin Horn,STREET GT - RWD,1:55.148,CAMARO
30,850,Evan English,STREET MOD - RWD,1:55.482,GR SUPRA
31,40,Ben Bulthuis,STREET GT - RWD,1:55.724,GR SUPRA
32,520,Alexander Bungabong,STREET MOD - RWD,1:56.581,RCF
33,470,Eddy Segal,STREET - FWD,1:57.242,CIVIC
34,890,Eric Magnussen,STREET GT - RWD,1:57.651,SUPRA
35,69,Cody Umbaugh,STREET - FWD,1:57.669,CIVIC
36,145,Devin Hofmann,STREET MOD - AWD,1:57.852,WRX
37,530,Joseph Dale,STREET GT - RWD,1:57.889,CORVETTE
38,44,Joel Phillips,STREET GT - RWD,1:57.961,911
39,13,Jerami Bailey,CLUB TR - RWD,1:58.000,FR-S
40,677,Ron Merlino,TRACK MOD - RWD,1:58.035,350Z
41,281,Randy Reeves,STREET MOD - RWD,1:58.214,MX-5 MIATA
42,410,Foster Johnson,CLUB TR - RWD,1:58.215,S2000
43,199,Ian Flavin,CLUB TR - RWD,1:58.603,BRZ
44,191,Team Powers,TRACK MOD - RWD,1:58.750,CORVETTE
45,406,Jack Stodola,CLUB TR - FWD,1:59.338,CIVIC
46,45,Ross Ligibel,STREET - RWD,1:59.663,M3
47,230,Daniel Persing,CLUB TR - RWD,1:59.767,BRZ
48,415,Ivan Onofriiciuc,STREET - RWD,1:59.925,370Z
49,80,Chris Nahill,CLUB TR - RWD,2:00.612,BRZ
50,515,The Winning Formula,CLUB TR - RWD,2:00.652,S2000
51,706,Troy Delahoussaye,STREET MOD - RWD,2:00.669,MX-5 MIATA
52,15,Adam Wrobel,CLUB TR - FWD,2:00.780,INTEGRA
53,347,Johnathan O'Donnell,STREET - FWD,2:00.993,CIVIC TYPE R
54,391,Chris Schuster,STREET MOD - RWD,2:01.786,GR86
55,218,Jason Mulderig,CLUB TR - RWD,2:02.055,S2000
56,198,Bruce Yhun,CLUB TR - FWD,2:02.110,CIVIC
57,712,Ethan Bailey,STREET - AWD,2:02.152,IMPREZA
58,973,Luke Paglione,CLUB TR - FWD,2:02.462,INTEGRA
59,67,Jonathan Denk,STREET MOD - FWD,2:02.950,CIVIC
60,378,Nathan Warner,CLUB TR - RWD,2:03.019,S2000
61,660,Rick Hoback,TRACK MOD - RWD,2:03.559,FRONTIER
62,519,Malindima Sampa,CLUB TR - RWD,2:07.180,350Z
63,813,Jacob Green,CLUB TR - RWD,2:10.642,S2000
64,411,Chris Rice,SUNDAE CUP - FWD,2:10.980,FIT
65,370,Sam Deuling,SUNDAE CUP - FWD,2:11.127,FIT
66,134,David Best,SUNDAE CUP - FWD,2:11.303,FIT
67,729,Chris Murray,SUNDAE CUP - RWD,2:11.567,MX-5 MIATA
68,412,Austin Obrien,SUNDAE CUP - FWD,2:12.304,FIT
69,523,Sean Condon,CLUB TR - RWD,2:12.394,3 SERIES
70,117,Sundae Funday,SUNDAE CUP - FWD,2:12.686,FIT
71,636,Noah Masse,SUNDAE CUP - FWD,2:14.923,FIT
72,979,Becky Burton,SUNDAE CUP - FWD,2:17.243,MAZDA2
73,528,Richard Sawicki,SUNDAE CUP - RWD,2:17.812,MX-5 MIATA
74,505,Isaac Rodriguez,SUNDAE CUP - FWD,2:23.880,2
