GLTC Qualifying Results,,,,,
Pos,No.,Name,Class,Best Tm,Points
1,7,Luke Mcgrew,GLTC - RWD,2:30.448,3
2,19,Aaron Leichty,GLTC - RWD,2:31.156,2
3,330,Eric Magnussen,GLTC - RWD,2:31.440,1
4,3,Erik Meadows,GLTC - RWD,2:31.911,0
5,41,James Houghton,GLTC - FWD,2:31.942,0
6,1,Gary Wimble,GLTC - RWD,2:32.392,0
7,109,Dana Basinski,GLTC - RWD,2:32.546,0
8,212,Andy Smedegard,GLTC - RWD,2:32.570,0
9,17,Tony Marchev,GLTC - RWD,2:32.801,0
10,90,Matt Waldbaum,GLTC - RWD,2:32.878,0
11,241,Tyler Pappas,GLTC - RWD,2:33.053,0
12,32,Jake Joraanstad,GLTC - RWD,2:33.215,0
13,34,Austin Hertel,GLTC - RWD,2:33.406,0
14,917,Lena Chin,GLTC - RWD,2:33.798,0
15,245,Ryan Power,GLTC - RWD,2:33.898,0
16,374,Emile Tabb,NULL - RWD,2:33.949,0
17,46,Ryan Kristoff,GLTC - FWD,2:33.956,0
18,202,Jake Price,GLTC - RWD,2:33.971,0
19,82,Eric Kutil,GLTC - FWD,2:34.062,0
20,77,Hans Horpedahl,GLTC - RWD,2:34.172,0
21,72,Scott Heckert,GLTC - RWD,2:34.302,0
22,71,Joel Morrison,GLTC - RWD,2:34.321,0
23,10,Brian Tyson,GLTC - FWD,2:34.422,0
24,177,Justin Lautz,GLTC - RWD,2:34.467,0
25,40,Jeremy Boysen,GLTC - RWD,2:34.488,0
26,144,Vytis Aranauskas,GLTC - RWD,2:34.784,0
27,98,Andrew Rains,GLTC - RWD,2:34.988,0
28,222,Kyle Hale,GLTC - RWD,2:34.998,0
29,4,Adam Ulrich,GLTC - RWD,2:35.015,0
30,83,Carlos Mendez,GLTC - RWD,2:35.024,0
31,26,Louis Chatroop,GLTC - RWD,2:35.714,0
32,150,Alex Moss,GLTC - RWD,2:35.761,0
33,44,Kerry James,GLTC - RWD,2:35.828,0
34,136,Austin Cobb,GLTC - RWD,2:36.024,0
35,630,Roy Dietsch,GLTC - RWD,2:36.896,0
36,546,Andy Sundeen,GLTC - RWD,2:36.945,0
37,28,Peter Zhang,GLTC - RWD,2:37.131,0
38,78,Jason Kanakry,GLTC - RWD,2:37.447,0
39,69,James Forbis,GLTC - RWD,2:37.601,0
40,84,Thomas Lathrop,GLTC - RWD,2:38.410,0
41,337,Bryan Leonard,GLTC - RWD,2:38.903,0
42,888,Dai Nguyen,GLTC - RWD,2:39.504,0
43,43,Joe Tullo,GLTC - RWD,2:39.665,0
44,5,Kevin Bandy,GLTC - RWD,2:40.009,0
45,25,Nicolas Fuller,GLTC - RWD,2:40.201,0
46,11,Jeremy Zeitler,GLTC - FWD,2:40.547,0
47,67,Mat Beck,GLTC - RWD,2:40.895,0
48,2,Aryton Grim,GLTC - RWD,2:42.184,0
49,95,Robbie Vierhout,GLTC - RWD,2:43.508,0
50,176,Scott Kastelic,GLTC - FWD,2:45.818,0
51,161,Larry Luck,GLTC - RWD,2:48.071,0
52,58,Michael Pagano,GLTC - RWD,2:48.495,0
53,860,Nathan Manning,GLTC - RWD,2:48.498,0
54,881,Christian Duchesne,GLTC - FWD,2:49.292,0
55,715,Salil Shukla,GLTC - RWD,,0
