GLTC Race 4 Results,,,,,,,,
Pos,No.,Name,Class,Best Tm,In Lap,Laps,Gap,Points
1,72,Scott Heckert,GLTC - RWD,2:32.914,2,4,,25
2,17,Tony Marchev,GLTC - RWD,2:33.442,4,4,2.237,21
3,19,Aaron Leichty,GLTC - RWD,2:31.713,3,4,0.719,18
4,330,Eric Magnussen,GLTC - RWD,2:31.947,3,4,0.783,16
5,7,Luke Mcgrew,GLTC - RWD,2:30.977,4,4,2.403,15
6,82,Eric Kutil,GLTC - FWD,2:32.200,4,4,1.752,14
7,90,Matt Waldbaum,GLTC - RWD,2:35.882,3,4,3.34,13
8,83,Carlos Mendez,GLTC - RWD,2:34.172,3,4,0.027,12
9,245,Ryan Power,GLTC - RWD,2:33.712,3,4,0.92,11
10,212,Andy Smedegard,GLTC - RWD,2:35.405,3,4,1.152,10
11,715,Salil Shukla,GLTC - RWD,2:34.554,4,4,0.69,9
12,10,Brian Tyson,GLTC - FWD,2:36.231,3,4,0.318,8
13,40,Jeremy Boysen,GLTC - RWD,2:34.554,4,4,0.453,7
14,374,Emile Tabb,GLTC - RWD,2:34.517,4,4,0.352,6
15,28,Peter Zhang,GLTC - RWD,2:35.071,4,4,3.26,5
16,241,Tyler Pappas,GLTC - RWD,2:34.856,4,4,1.206,4
17,144,Vytis Aranauskas,GLTC - RWD,2:35.086,4,4,0.078,3
18,917,Lena Chin,GLTC - RWD,2:36.142,4,4,0.905,2
19,71,Joel Morrison,GLTC - RWD,2:37.033,3,4,0.19,1
20,46,Ryan Kristoff,GLTC - FWD,2:37.703,4,4,2.992,0
21,26,Louis Chatroop,GLTC - RWD,2:37.403,3,4,0.354,0
22,77,Hans Horpedahl,GLTC - RWD,2:36.084,2,4,3.063,0
23,888,Dai Nguyen,GLTC - RWD,2:37.797,3,4,1.318,0
24,4,Adam Ulrich,GLTC - RWD,2:36.744,4,4,1.745,0
25,98,Andrew Rains,GLTC - RWD,2:37.323,3,4,0.146,0
26,5,Kevin Bandy,GLTC - RWD,2:39.014,4,4,4.592,0
27,161,Larry Luck,GLTC - RWD,2:39.379,3,4,1.241,0
28,3,Erik Meadows,GLTC - RWD,2:40.742,3,4,1.361,0
29,155,Michael Pagano,GLTC - RWD,2:38.042,3,4,0.419,0
30,630,Roy Dietsch,GLTC - RWD,2:36.946,4,4,0.194,0
31,25,Nicolas Fuller,GLTC - RWD,2:39.846,3,4,2.675,0
32,69,James Forbis,GLTC - RWD,2:39.401,3,4,0.578,0
33,43,Joe Tullo,GLTC - RWD,2:38.920,3,4,0.119,0
34,546,Andy Sundeen,GLTC - RWD,2:38.602,3,4,1.026,0
35,67,Mat Beck,GLTC - RWD,2:35.488,3,4,0.361,0
36,177,Justin Lautz,GLTC - RWD,2:41.227,3,4,4.516,0
37,860,Nathan Manning,GLTC - RWD,2:45.617,3,4,14.299,0
38,150,Alex Moss,GLTC - RWD,2:38.900,2,3,0.266,0
39,162,Eddie Nakato,GLTC - RWD,2:37.399,3,3,1 Lap,0
40,41,James Houghton,GLTC - FWD,2:40.798,1,2,1 Lap,0
41,109,Dana Basinski,GLTC - RWD,2:35.505,3,4,0.316,0
42,202,Jake Price,GLTC - RWD,2:36.329,2,2,5.536,0
43,881,Christian Duchesne,GLTC - FWD,2:51.559,2,2,29.758,0
44,84,Thomas Lathrop,GLTC - RWD,,0,,2 Laps,0
45,78,Jason Kanakry,GLTC - RWD,,0,,0.332,0
46,2,Aryton Grim,GLTC - RWD,,0,,2.572,0
47,222,Kyle Hale,GLTC - RWD,2:37.459,2,3,0.572,0
