TrackBattle Practice 1 Results (all groups),,,,,
Pos,No.,Name,Class,Best Time/Heat,Model/Engine
1,57,Mike Dusold,UNLIMITED - RWD,2:08.139,CAMARO
2,500,Steven Luca,UNLIMITED - RWD,2:13.585,MUSTANG
3,52,Nicholas Gardner,UNLIMITED - RWD,2:18.131,SHELBY GT500
4,27,Brad Perkins,TRACK MOD - RWD,2:19.236,M3
5,687,Jackie Ding,TRACK MOD - RWD,2:19.778,M2
6,14,Kal Fortner,STREET MOD - RWD,2:20.649,AMG GT S
7,250,Andrew Brownfield,TRACK MOD - RWD,2:20.785,GR SUPRA
8,121,Ryan Mathews,STREET MOD - RWD,2:21.824,CORVETTE
9,445,Justin Peachey,TRACK MOD - RWD,2:21.890,CORVETTE
10,314,Michael Puglisi,TRACK MOD - AWD,2:22.148,LANCER
11,29x,Kyle Mckiou,TRACK MOD - RWD,2:22.955,GR SUPRA
12,34,Andy Voelkel,STREET GT - RWD,2:22.966,CORVETTE
13,89,Brandon Hodge,TRACK MOD - RWD,2:24.262,GR SUPRA
14,84,Ido Waksman,STREET GT - RWD,2:24.352,CORVETTE
15,299,Colton Drescosky,TRACK MOD - RWD,2:24.410,VIPER
16,364,Nicholas Hendrix,STREET GT - RWD,2:26.510,CORVETTE
17,63,Luca Barberis,STREET - AWD,2:26.517,LANCER
18,187,Keenan Prusank,STREET GT - RWD,2:27.040,CAMARO
19,570,Kyle Magnuson,STREET GT - RWD,2:27.902,718 CAYMAN
20,171,Andrius Bertulis,UNLIMITED - RWD,2:27.992,RCF
21,55,Charles Miller,STREET - AWD,2:28.091,LANCER
22,324,Jeffrey Gordon,UNLIMITED - RWD,2:28.742,GT3 RS
23,338,Ernestas Puzelis,UNLIMITED - RWD,2:28.889,CAYMAN
24,33,Chris Boersma,TRACK MOD - FWD,2:29.100,CIVIC
25,398,Mike Vaniperen,TRACK MOD - RWD,2:29.113,MUSTANG
26,139,Wilbur Huang,STREET MOD - RWD,2:29.472,GR SUPRA
27,226,Jerry Liu,STREET MOD - RWD,2:30.394,GT4 RS
28,966,Team VitourP1.com,UNLIMITED - RWD,2:30.446,Z06
29,625,Sam Bosnian,STREET - RWD,2:31.106,350Z
30,550,Christian Aranha,STREET GT - RWD,2:32.636,CAMARO
31,108,Andre Wenzel,STREET MOD - RWD,2:33.359,RX-7
32,511,Peter Granberg,CLUB TR - RWD,2:34.714,BRZ
33,61,Fez Babar,CLUB TR - RWD,2:35.133,GR86
34,326,Stan Fayngold,CLUB TR - RWD,2:35.915,86
35,145,Devin Hofmann,STREET MOD - AWD,2:36.723,WRX
36,215,Vito Jin,STREET GT - RWD,2:37.000,GR SUPRA
37,38,Aaron Rekkedahl,STREET - FWD,2:37.089,CIVIC TYPE R
38,19,Josh Powers,TRACK MOD - RWD,2:37.212,CORVETTE
39,11,Graham Gaylord,CLUB TR - AWD,2:37.664,COROLLA
40,199,Ian Flavin,CLUB TR - RWD,2:37.897,BRZ
41,230,Daniel Persing,CLUB TR - RWD,2:38.254,BRZ
42,415,Ivan Onofriiciuc,STREET - RWD,2:39.045,370Z
43,151,Nathan Poulson,CLUB TR - RWD,2:40.535,BRZ
44,155,Munzir Habibovic,STREET - RWD,2:40.842,350Z
45,654,Nick Aegerter,STREET - AWD,2:41.291,FOCUS
46,58,Grant White,STREET MOD - RWD,2:41.454,MUSTANG
47,517,Tim Lutz,STREET MOD - RWD,2:41.611,CORVETTE
48,73,Jeremy Salenius,STREET MOD - RWD,2:42.554,CORVETTE
49,720,Alex Martinez,STREET GT - RWD,2:42.718,M4
50,126,Jacob Abbott,CLUB TR - RWD,2:43.136,BRZ
51,622,Jake Rawson,STREET - RWD,2:44.581,M3
52,75,Jerome Cahuzac,STREET GT - RWD,2:45.335,M2
53,223,Kunwoo Lee,CLUB TR - RWD,2:45.568,GR86
54,186,Trip Walker,CLUB TR - RWD,2:45.808,FR-S
55,50,Azmath Mohammed,CLUB TR - RWD,2:46.012,MR2
56,123,Whiskey Danger Racing,CLUB TR - RWD,2:46.461,S2000
57,360,Gopihath Ramchand,CLUB TR - RWD,2:48.298,S2000
