TrackBattle Podium Sprint Results,,,,,
Pos,No.,Name,Class,Best Time/Heat,Model/Engine
1,511,Peter Granberg,CLUB TR - RWD,2:31.266,BRZ
2,330,James Houghton,CLUB TR - FWD,2:31.421,CSX
3,326,Stan Fayngold,CLUB TR - RWD,2:32.089,86
4,61,Fez Babar,CLUB TR - RWD,2:32.683,GR86
5,199,Ian Flavin,CLUB TR - RWD,2:34.061,BRZ
1,63,Luca Barberis,STREET - AWD,2:25.792,LANCER
2,193,Brad Moore,STREET - RWD,2:27.084,718 CAYMAN
3,625,Sam Bosnian,STREET - RWD,2:30.390,350Z
4,654,Nick Aegerter,STREET - AWD,2:32.958,FOCUS
5,55,Charles Miller,STREET - AWD,DNS,LANCER
1,84,Ido Waksman,STREET GT - RWD,2:22.498,CORVETTE
2,34,Andy Voelkel,STREET GT - RWD,2:23.006,CORVETTE
3,187,Keenan Prusank,STREET GT - RWD,2:26.261,CAMARO
4,570,Kyle Magnuson,STREET GT - RWD,2:26.355,718 CAYMAN
5,364,Nicholas Hendrix,STREET GT - RWD,2:27.069,CORVETTE
1,29,Kyle Mckiou,STREET MOD - RWD,2:18.240,GR SUPRA
2,14,Kal Fortner,STREET MOD - RWD,2:27.256,AMG GT S
3,70,Dewey Dewitt,STREET MOD - AWD,DNF,IMPREZA
4,121,Ryan Mathews,STREET MOD - RWD,DNS,CORVETTE
5,54,Zachary Moore,STREET MOD - RWD,DNS,CORVETTE
1,528,Richard Sawicki,SUNDAE CUP - RWD,2:53.847,MX-5 MIATA
2,428,Brad Smith,SUNDAE CUP - FWD,2:57.563,FIT
3,370,Sam Deuling,SUNDAE CUP - FWD,2:58.389,FIT
DQ,130,James Smith,SUNDAE CUP - FWD,2:55.959,FIT
DQ,181,Joseph King,SUNDAE CUP - FWD,2:57.260,PROTEGE
1,27,Brad Perkins,TRACK MOD - RWD,2:14.942,M3
2,29x,Kyle Mckiou,TRACK MOD - RWD,2:15.757,GR SUPRA
3,687,Jackie Ding,TRACK MOD - RWD,2:15.885,M2
4,89,Brandon Hodge,TRACK MOD - RWD,2:17.189,GR SUPRA
5,445,Justin Peachey,TRACK MOD - RWD,DNF,CORVETTE
1,57,Mike Dusold,UNLIMITED - RWD,2:07.274,CAMARO
2,52,Nicholas Gardner,UNLIMITED - RWD,2:16.198,SHELBY GT500
3,500,Steven Luca,UNLIMITED - RWD,2:17.143,MUSTANG
4,324,Jeffrey Gordon,UNLIMITED - RWD,2:24.353,GT3 RS
5,174,David Calzada,UNLIMITED - RWD,DNS,MIATA
