"TrackBattle Qualifying 1 Results (all groups, by class)",,,,,
Pos,No.,Name,Class,Best Time/Heat,Model/Engine
1,330,James Houghton,CLUB TR - FWD,2:30.663,CSX
2,511,Peter Granberg,CLUB TR - RWD,2:32.580,BRZ
3,61,Fez Babar,CLUB TR - RWD,2:35.802,GR86
4,199,Ian Flavin,CLUB TR - RWD,2:37.245,BRZ
5,230,Daniel Persing,CLUB TR - RWD,2:37.653,BRZ
6,326,Stan Fayngold,CLUB TR - RWD,2:38.013,86
7,151,Nathan Poulson,CLUB TR - RWD,2:39.823,BRZ
8,223,Kunwoo Lee,CLUB TR - RWD,2:40.126,GR86
9,11,Graham Gaylord,CLUB TR - AWD,2:40.712,COROLLA
10,126,Jacob Abbott,CLUB TR - RWD,2:41.174,BRZ
11,123,Whiskey Danger Racing,CLUB TR - RWD,2:44.116,S2000
12,823,Junar Gwinn,CLUB TR - FWD,2:44.776,CIVIC
13,186,Trip Walker,CLUB TR - RWD,2:45.104,FR-S
14,142,Juan Johnson,CLUB TR - RWD,2:46.752,S2000
15,26,Arthur Dvortsen,CLUB TR - RWD,2:46.974,MX-5 MIATA
16,169,Dan Mai,CLUB TR - RWD,2:47.412,325I
17,360,Gopihath Ramchand,CLUB TR - RWD,2:51.552,S2000
18,373,Benjamin Smolen,CLUB TR - FWD,3:01.404,JETTA
19,80,Chris Nahill,CLUB TR - RWD,3:03.806,BRZ
20,329,Greg Diehl,CLUB TR - AWD,3:07.755,Impreza
21,50,Azmath Mohammed,CLUB TR - RWD,,MR2
1,63,Luca Barberis,STREET - AWD,2:26.841,LANCER
2,193,Brad Moore,STREET - RWD,2:28.378,718 CAYMAN
3,625,Sam Bosnian,STREET - RWD,2:32.071,350Z
4,654,Nick Aegerter,STREET - AWD,2:32.481,FOCUS
5,310,Mike Coons,STREET - AWD,2:33.918,IMPREZA
6,155,Munzir Habibovic,STREET - RWD,2:37.734,350Z
7,622,Jake Rawson,STREET - RWD,2:39.607,M3
8,415,Ivan Onofriiciuc,STREET - RWD,2:42.309,370Z
9,209,Kevin Wendt,STREET - AWD,2:49.073,LEGACY
10,372,Aladin Klicic,STREET - RWD,2:49.279,370Z
11,194,Mike Callaway,STREET - AWD,,IMPREZA
12,38,Aaron Rekkedahl,STREET - FWD,,CIVIC TYPE R
1,84,Ido Waksman,STREET GT - RWD,2:22.679,CORVETTE
2,34,Andy Voelkel,STREET GT - RWD,2:23.049,CORVETTE
3,570,Kyle Magnuson,STREET GT - RWD,2:26.122,718 CAYMAN
4,187,Keenan Prusank,STREET GT - RWD,2:26.616,CAMARO
5,364,Nicholas Hendrix,STREET GT - RWD,2:26.925,CORVETTE
6,550,Christian Aranha,STREET GT - RWD,2:27.681,CAMARO
7,215,Vito Jin,STREET GT - RWD,2:34.720,GR SUPRA
8,75,Jerome Cahuzac,STREET GT - RWD,2:39.967,M2
9,720,Alex Martinez,STREET GT - RWD,2:40.354,M4
1,70,Dewey Dewitt,STREET MOD - AWD,2:18.234,IMPREZA
2,29,Kyle Mckiou,STREET MOD - RWD,2:19.058,GR SUPRA
3,121,Ryan Mathews,STREET MOD - RWD,2:19.967,CORVETTE
4,14,Kal Fortner,STREET MOD - RWD,2:20.248,AMG GT S
5,226,Jerry Liu,STREET MOD - RWD,2:26.097,GT4 RS
6,54,Zachary Moore,STREET MOD - RWD,2:28.645,CORVETTE
7,139,Wilbur Huang,STREET MOD - RWD,2:30.019,GR SUPRA
