TrackBattle Qualifying 3 Results (all groups),,,,,
Pos,No.,Name,Class,Best Time/Heat,Model/Engine
1,511,Peter Granberg,CLUB TR - RWD,2:31.818,BRZ
2,61,Fez Babar,CLUB TR - RWD,2:32.573,GR86
3,326,Stan Fayngold,CLUB TR - RWD,2:33.242,86
4,11,Graham Gaylord,CLUB TR - AWD,2:35.069,COROLLA
5,94,Mike Bryant,CLUB TR - RWD,2:35.443,MX-5
6,199,Ian Flavin,CLUB TR - RWD,2:35.480,BRZ
7,230,Daniel Persing,CLUB TR - RWD,2:36.866,BRZ
8,80,Chris Nahill,CLUB TR - RWD,2:37.247,BRZ
9,50,Azmath Mohammed,CLUB TR - RWD,2:37.399,MR2
10,223,Kunwoo Lee,CLUB TR - RWD,2:37.948,GR86
11,126,Jacob Abbott,CLUB TR - RWD,2:39.350,BRZ
12,186,Trip Walker,CLUB TR - RWD,2:43.920,FR-S
13,142,Juan Johnson,CLUB TR - RWD,2:46.672,S2000
14,151,Nathan Poulson,CLUB TR - RWD,2:49.213,BRZ
15,373,Benjamin Smolen,CLUB TR - FWD,3:09.770,JETTA
16,360,Gopihath Ramchand,CLUB TR - RWD,,S2000
1,193,Brad Moore,STREET - RWD,2:27.409,718 CAYMAN
2,625,Sam Bosnian,STREET - RWD,2:29.943,350Z
3,55,Charles Miller,STREET - AWD,2:30.635,LANCER
4,654,Nick Aegerter,STREET - AWD,2:31.207,FOCUS
5,310,Mike Coons,STREET - AWD,2:31.219,IMPREZA
6,38,Aaron Rekkedahl,STREET - FWD,2:34.130,CIVIC TYPE R
7,415,Ivan Onofriiciuc,STREET - RWD,2:40.549,370Z
8,372,Aladin Klicic,STREET - RWD,2:45.095,370Z
9,209,Kevin Wendt,STREET - AWD,2:45.982,LEGACY
10,622,Jake Rawson,STREET - RWD,2:47.400,M3
1,84,Ido Waksman,STREET GT - RWD,2:21.891,CORVETTE
2,34,Andy Voelkel,STREET GT - RWD,2:22.122,CORVETTE
3,570,Kyle Magnuson,STREET GT - RWD,2:25.702,718 CAYMAN
4,187,Keenan Prusank,STREET GT - RWD,2:27.214,CAMARO
5,364,Nicholas Hendrix,STREET GT - RWD,2:27.390,CORVETTE
6,550,Christian Aranha,STREET GT - RWD,2:28.820,CAMARO
7,215,Vito Jin,STREET GT - RWD,2:31.225,GR SUPRA
8,720,Alex Martinez,STREET GT - RWD,2:40.929,M4
9,75,Jerome Cahuzac,STREET GT - RWD,2:45.165,M2
1,14,Kal Fortner,STREET MOD - RWD,2:22.885,AMG GT S
2,54,Zachary Moore,STREET MOD - RWD,2:23.155,CORVETTE
3,226,Jerry Liu,STREET MOD - RWD,2:27.542,GT4 RS
4,150,Alex Moss,STREET MOD - RWD,2:30.375,S2000
5,108,Andre Wenzel,STREET MOD - RWD,2:30.615,RX-7
6,139,Wilbur Huang,STREET MOD - RWD,2:30.684,GR SUPRA
7,145,Devin Hofmann,STREET MOD - AWD,2:31.854,WRX
8,517,Tim Lutz,STREET MOD - RWD,2:35.950,CORVETTE
9,205,Neal Scharte,STREET MOD - RWD,2:38.106,RX-8
10,67,Jonathan Denk,STREET MOD - FWD,3:00.295,CIVIC
11,29,Kyle Mckiou,STREET MOD - RWD,,GR SUPRA
1,144,Ryan Mukherjee,SUNDAE CUP - FWD,2:57.740,FIT
2,181,Joseph King,SUNDAE CUP - FWD,2:57.907,PROTEGE
3,428,Brad Smith,SUNDAE CUP - FWD,2:58.674,FIT
4,370,Sam Deuling,SUNDAE CUP - FWD,3:00.374,FIT
5,122,Jason Davidson,SUNDAE CUP - FWD,3:00.765,FIT
6,488,Matt Dietlin,SUNDAE CUP - FWD,3:01.438,FIT
7,808,Lucas Schaar,SUNDAE CUP - FWD,3:02.996,YARIS
8,292,Jim Frohwirth,SUNDAE CUP - FWD,3:04.176,FIT
9,433,Robert Miller,SUNDAE CUP - FWD,3:05.683,RIO
1,29x,Kyle Mckiou,TRACK MOD - RWD,2:16.983,GR SUPRA
2,27,Brad Perkins,TRACK MOD - RWD,2:17.030,M3
3,89,Brandon Hodge,TRACK MOD - RWD,2:18.234,GR SUPRA
4,314,Michael Puglisi,TRACK MOD - AWD,2:21.925,LANCER
5,426,Alex Roy,TRACK MOD - RWD,2:23.340,M3
6,398,Mike Vaniperen,TRACK MOD - RWD,2:27.366,MUSTANG
7,19,Josh Powers,TRACK MOD - RWD,2:34.223,CORVETTE
8,462,Natalie Corder,TRACK MOD - RWD,2:42.820,MX-5 MIATA
9,191,Jessica Powers,TRACK MOD - RWD,2:43.554,CORVETTE
10,250,Andrew Brownfield,TRACK MOD - RWD,2:47.568,GR SUPRA
11,445,Justin Peachey,TRACK MOD - RWD,7:00.182,CORVETTE
12,33,Chris Boersma,TRACK MOD - FWD,,CIVIC
1,171,Andrius Bertulis,UNLIMITED - RWD,2:24.643,RCF
2,324,Jeffrey Gordon,UNLIMITED - RWD,2:25.139,GT3 RS
3,338,Ernestas Puzelis,UNLIMITED - RWD,2:26.586,CAYMAN
4,966,Team VitourP1.com,UNLIMITED - RWD,2:27.442,Z06
5,22,Team P1.tires,UNLIMITED - RWD,2:30.412,CORVETTE
