GLTC Qualifying Results,,,,,
Pos,No.,Name,Class,Best Tm,Points
1,47,Justin Ross,GLTC - RWD,1:39.229,3
2,17,Tony Marchev,GLTC - RWD,1:40.248,2
3,484,Matan Rosenberg,GLTC - RWD,1:40.289,1
4,132,Jack Wischmeyer,GLTC - FWD,1:40.308,0
5,28,Peter Zhang,GLTC - RWD,1:40.635,0
6,440,Daniel Giraldo,GLTC - RWD,1:40.976,0
7,272,Larry Moore,GLTC - RWD,1:41.023,0
8,75,Jon Vo,GLTC - RWD,1:41.198,0
9,207,Adam Wood,GLTC - AWD,1:41.677,0
10,162,Alex Audi,GLTC - RWD,1:41.861,0
11,420,Nikita Rushmanov,GLTC - RWD,1:41.967,0
12,806,Christopher Rosales,GLTC - FWD,1:42.556,0
13,20,George Koustoumbardis,GLTC - RWD,1:42.609,0
14,173,Anthony Domenici,GLTC - RWD,1:42.870,0
15,87,Nicholas Stentiford,GLTC - RWD,1:42.896,0
16,925,John Borchelt,GLTC - RWD,1:43.242,0
17,244,Abdul Osmani,GLTC - RWD,1:43.677,0
18,5,Kevin Bandy,GLTC - RWD,1:43.743,0
19,97,Adam Bao,GLTC - RWD,1:43.826,0
20,144,Vytis Aranauskas,GLTC - RWD,1:44.116,0
21,546,Andy Sundeen,GLTC - RWD,1:44.177,0
22,401,Bryan Zimmerman,GLTC - RWD,1:44.248,0
23,333,Fiona Lou,GLTC - RWD,1:44.505,0
24,424,Jayceton Lapid,GLTC - RWD,1:44.771,0
25,93,Eric Talistu,GLTC - RWD,1:49.593,0
26,616,Mark Sadang,GLTC - RWD,1:52.182,0
27,53,Rich Leon,GLTC - FWD,1:53.540,0
28,617,Ryan Fitzgerald,GLTC - RWD,1:57.477,0
29,469,Oscar Jackson,GLTC - RWD,,0
30,94,Jonathan Lugod,GLTC - RWD,,0
DQ,13,Daniel Rose,GLTC - RWD,1:43.005,0
