GLTC Race 3 Results,,,,,,,,
Pos,No.,Name,Class,Best Tm,In Lap,Laps,Gap,Points
1,47,Justin Ross,GLTC - RWD,1:37.868,2,9,,25
2,484,Matan Rosenberg,GLTC - RWD,1:38.207,5,9,0.493,21
3,272,Larry Moore,GLTC - RWD,1:39.892,3,9,1.247,18
4,28,Peter Zhang,GLTC - RWD,1:39.627,4,9,0.643,16
5,132,Jack Wischmeyer,GLTC - FWD,1:40.556,5,9,1.333,15
6,162,Alex Audi,GLTC - RWD,1:40.811,3,9,0.311,14
7,173,Anthony Domenici,GLTC - RWD,1:40.986,5,9,0.504,13
8,144,Vytis Aranauskas,GLTC - RWD,1:42.257,5,9,0.844,12
9,925,John Borchelt,GLTC - RWD,1:42.848,2,9,1.697,11
10,20,George Koustoumbardis,GLTC - RWD,1:42.223,3,9,1.129,10
11,424,Jayceton Lapid,GLTC - RWD,1:43.118,2,9,0.06,9
12,75,Jon Vo,GLTC - RWD,1:41.540,4,9,1.035,8
13,244,Abdul Osmani,GLTC - RWD,1:42.646,3,9,0.758,7
14,87,Nicholas Stentiford,GLTC - RWD,1:43.032,4,9,0.707,6
15,420,Nikita Rushmanov,GLTC - RWD,1:40.944,4,9,0.403,5
16,207,Adam Wood,GLTC - AWD,1:40.422,3,9,0.561,4
17,440,Daniel Giraldo,GLTC - RWD,1:42.468,4,9,0.487,3
18,50,Azmath Mohammed,GLTC - RWD,1:44.375,4,9,0.736,2
19,546,Andy Sundeen,GLTC - RWD,1:44.159,3,9,0.108,1
20,333,Fiona Lou,GLTC - RWD,1:44.472,9,9,0.59,0
21,97,Adam Bao,GLTC - RWD,1:42.795,4,9,1.629,0
22,616,Mark Sadang,GLTC - RWD,1:44.774,3,9,1.047,0
23,401,Bryan Zimmerman,GLTC - RWD,1:44.909,3,9,0.308,0
24,53,Rich Leon,GLTC - FWD,,0,9,6.003,0
25,93,Eric Talistu,GLTC - RWD,1:49.319,9,9,1.061,0
26,617,Ryan Fitzgerald,GLTC - RWD,1:51.480,4,9,3.376,0
27,5,Kevin Bandy,GLTC - RWD,1:43.874,4,8,1 Lap,0
28,17,Tony Marchev,GLTC - RWD,1:41.725,3,4,4 Laps,0
29,13,Daniel Rose,GLTC - RWD,1:46.077,2,3,1 Lap,0
30,469,Oscar Jackson,GLTC - RWD,1:46.077,3,3,3.872,0
DQ,806,Christopher Rosales,GLTC - FWD,1:42.581,3,9,,0
