,,,,,
TrackBattle Practice 1 Results (all groups),,,,,
Pos,No.,Name,Class,Best Time/Heat,Model/Engine
1,512,Benjamin Sloss,UNLIMITED - RWD,1:22.717,GT
2,714,Sasha Anis,UNLIMITED - RWD,1:23.426,350Z
3,57,Mike Dusold,UNLIMITED - RWD,1:29.542,CAMARO
4,274,Gabe Zamora,TRACK MOD - RWD,1:30.653,911
5,805,Craig Coker,UNLIMITED - AWD,1:30.776,MODEL S
6,288,Gary Wong,TRACK MOD - RWD,1:31.776,GR SUPRA
7,789,Ryan Raduechel,UNLIMITED - RWD,1:32.524,MX-5 MIATA
8,516,Nicky Hays,UNLIMITED - FWD,1:32.534,CRX
9,27,Brad Perkins,TRACK MOD - RWD,1:32.788,M3
10,893,Mark Arcenal,UNLIMITED - RWD,1:33.221,911
11,687,Jackie Ding,TRACK MOD - RWD,1:33.384,M2
12,913,Bailey Woods,UNLIMITED - RWD,1:33.578,M3
13,358,Brian Navarra,UNLIMITED - RWD,1:33.583,MUSTANG
14,19,Josh Powers,TRACK MOD - RWD,1:34.511,CORVETTE
15,610,Nick Anderson,UNLIMITED - RWD,1:34.971,VIPER
16,34,Andy Voelkel,STREET GT - RWD,1:35.491,CORVETTE
17,407,Marcus Fry,UNLIMITED - RWD,1:35.507,510
18,50,Azmath Mohammed,TRACK MOD - RWD,1:35.688,Z06
19,731,John Cruz,TRACK MOD - RWD,1:36.865,CAYMAN
20,884,Stephen Schiefer,STREET MOD - RWD,1:36.973,GR SUPRA
21,626,Ger Xiong,STREET GT - RWD,1:37.143,CORVETTE
22,237,Chris Watson,STREET MOD - RWD,1:37.260,MX-5 MIATA
23,748,Kenton King,TRACK MOD - RWD,1:37.344,911
24,226,Team Team Kal & Jerry,STREET MOD - RWD,1:37.643,GT4 RS
25,874,Robert Robles,STREET GT - RWD,1:37.751,M4
26,89,Brandon Hodge,TRACK MOD - RWD,1:37.791,GR SUPRA
27,595,Dustin Williams,STREET GT - RWD,1:38.406,M2
28,6,Michael Aumick,STREET MOD - AWD,1:39.851,IMPREZA
29,986,Son Vo,TRACK MOD - RWD,1:39.965,86
30,909,Mark Kilgore,STREET GT - RWD,1:40.101,M4
31,396,Nate Hackman,CLUB TR - RWD,1:40.681,S2000
32,189,Brett Punay,STREET MOD - RWD,1:40.957,M3
33,73,Jeremy Salenius,STREET MOD - RWD,1:41.056,CORVETTE
34,922,Luke Lederman,STREET - RWD,1:42.199,718 CAYMAN
35,213,Jedwyn Taasin,CLUB TR - RWD,1:42.376,S2000
36,435,Nick Allen,CLUB TR - RWD,1:42.401,86
37,680,Larry Chen,STREET MOD - RWD,1:42.796,86
38,258,Alex Vongnhay,STREET GT - AWD,1:42.922,MODEL 3
39,253,Gary Peterson,STREET - RWD,1:43.287,M2
40,39,Gregory Formosa,STREET - AWD,1:43.315,LANCER
41,75,Tom Tang,UNLIMITED - RWD,1:44.219,ELISE
42,172,Daniel Fuentes,CLUB TR - FWD,1:44.755,CIVIC
43,931,Thinh Duong,CLUB TR - RWD,1:45.155,BRZ
44,485,Tracy Makimoto,STREET GT - RWD,1:45.291,M3
45,929,Jake Montinola,CLUB TR - RWD,1:45.292,S2000
46,556,Stephen Ellis,CLUB TR - RWD,1:45.323,86
47,33,Chris Boersma,TRACK MOD - FWD,1:45.577,CIVIC
48,838,Daniel Cabrera,TRACK MOD - RWD,1:45.729,CAYMAN
49,249,Carlos Valenzuela,CLUB TR - FWD,1:46.089,CIVIC
50,206,Daniel Harada,CLUB TR - RWD,1:46.430,FR-S
51,217,Joel Reyes,CLUB TR - RWD,1:47.050,S2000
52,344,Phil Jolicoeur,STREET MOD - AWD,1:48.733,5000
53,191,Jessica Powers,TRACK MOD - RWD,1:48.950,CORVETTE
54,524,Adam Johnston,CLUB TR - RWD,1:50.051,BRZ
55,818,Jonny Grunwald,TRACK MOD - RWD,1:50.498,RX-7
56,135,Taylour Wargo,SUNDAE CUP - FWD,1:52.935,FIT
57,370,Sam Deuling,SUNDAE CUP - FWD,1:53.881,FIT
58,188,Ricky Iturralde,SUNDAE CUP - FWD,1:55.350,FIESTA
59,901,Marlo Solidum,CLUB TR - RWD,1:56.043,MX-5 MIATA
60,477,Austin Sierra,STREET MOD - AWD,1:56.241,IMPREZA
61,808,Lucas Schaar,SUNDAE CUP - FWD,1:56.558,YARIS
62,757,Ernie Ramirez,STREET - FWD,2:00.082,INTEGRA
63,305,Tj Keon,STREET GT - RWD,2:01.163,CROWN VICTORIA
64,969,Jack Coughlin,SUNDAE CUP - FWD,2:04.945,COUPE
65,393,Courtney Ward,SUNDAE CUP - FWD,2:05.466,FIT
66,405,Luis Paez,SUNDAE CUP - FWD,2:13.391,FIT
67,511,Peter Granberg,CLUB TR - RWD,6:18.259,BRZ
68,343,Matthew Reinhart,SUNDAE CUP - FWD,11:44.811,FIT
69,214,Manfred Oesting,SUNDAE CUP - FWD,,FIT
70,811,Damyan Tuchenishki,TRACK MOD - AWD,,IMPREZA
71,772,James Busch,STREET GT - RWD,,M2
72,805,Craig Coker,STREET GT - AWD,,MODEL 3
