,,,,,
TrackBattle Podium Sprint Results (by class),,,,,
Pos,No.,Name,Class,Best Time/Heat,Model/Engine
1,511,Peter Granberg,CLUB TR - RWD,1:39.488,BRZ
2,396,Nate Hackman,CLUB TR - RWD,1:40.155,S2000
3,213,Jedwyn Taasin,CLUB TR - RWD,1:40.357,S2000
4,435,Nick Allen,CLUB TR - RWD,1:40.569,86
5,812,Bingke Liu,CLUB TR - RWD,1:41.647,S2000
1,621,Willem Drees,STREET - FWD,1:40.191,ELANTRA N
2,922,Luke Lederman,STREET - RWD,1:40.959,718 CAYMAN
3,757,Ernie Ramirez,STREET - FWD,2:11.739,INTEGRA
4,39,Gregory Formosa,STREET - AWD,DNS,LANCER
5,n/a,,,,
1,34,Andy Voelkel,STREET GT - RWD,1:34.821,CORVETTE
2,805,Craig Coker,STREET GT - AWD,1:35.666,MODEL 3
3,909,Mark Kilgore,STREET GT - RWD,1:36.315,M4
4,595,Dustin Williams,STREET GT - RWD,1:37.360,M2
5,874,Robert Robles,STREET GT - RWD,1:37.378,M4
1,226,Team Team Kal & Jerry,STREET MOD - RWD,1:34.567,GT4 RS
2,884,Stephen Schiefer,STREET MOD - RWD,1:35.017,GR SUPRA
3,615,Michael Baxi,STREET MOD - FWD,1:37.252,CIVIC
4,237,Chris Watson,STREET MOD - RWD,1:39.952,MX-5 MIATA
5,6,Michael Aumick,STREET MOD - AWD,,IMPREZA
1,370,Sam Deuling,SUNDAE CUP - FWD,1:51.433,FIT
2,969,Jack Coughlin,SUNDAE CUP - FWD,1:55.908,COUPE
3,808,Lucas Schaar,SUNDAE CUP - FWD,1:55.991,YARIS
4,135,Taylour Wargo,SUNDAE CUP - FWD,DQ,FIT
5,254,Team Raceffpod,SUNDAE CUP - FWD,DNS,CIVIC
EXH,450,James Kirkham,SUPER UNLIMITED - RWD,1:29.083,AMG GT
1,27,Brad Perkins,TRACK MOD - RWD,1:29.280,M3
2,274,Gabe Zamora,TRACK MOD - RWD,1:29.641,911
3,288,Gary Wong,TRACK MOD - RWD,1:30.665,GR SUPRA
4,687,Jackie Ding,TRACK MOD - RWD,1:30.950,M2
5,748,Kenton King,TRACK MOD - RWD,1:33.129,911
1,512,Benjamin Sloss,UNLIMITED - RWD,1:21.709,GT
2,714,Sasha Anis,UNLIMITED - RWD,1:23.374,350Z
3,805,Craig Coker,UNLIMITED - AWD,1:28.465,MODEL S
4,789,Ryan Raduechel,UNLIMITED - RWD,1:28.690,MX-5 MIATA
5,358,Brian Navarra,UNLIMITED - RWD,1:29.414,MUSTANG
