,,,,,
"TrackBattle Qualifying 3 Results (all groups, by class)",,,,,
Pos,No.,Name,Class,Best Time/Heat,Model/Engine
1,396,Nate Hackman,CLUB TR - RWD,1:39.911,S2000
2,511,Peter Granberg,CLUB TR - RWD,1:41.070,BRZ
3,812,Bingke Liu,CLUB TR - RWD,1:42.272,S2000
4,435,Nick Allen,CLUB TR - RWD,1:42.974,86
5,217,Team Riaction Performance,CLUB TR - RWD,1:43.300,S2000
6,929,Jake Montinola,CLUB TR - RWD,1:43.916,S2000
7,206,Daniel Harada,CLUB TR - RWD,1:44.044,FR-S
8,931,Thinh Duong,CLUB TR - RWD,1:44.478,BRZ
9,817,Meng Tea,CLUB TR - FWD,1:44.967,CIVIC
10,556,Stephen Ellis,CLUB TR - RWD,1:45.544,86
11,524,Adam Johnston,CLUB TR - RWD,2:10.452,BRZ
12,172,Daniel Fuentes,CLUB TR - FWD,,CIVIC
1,39,Gregory Formosa,STREET - AWD,1:46.544,LANCER
2,757,Ernie Ramirez,STREET - FWD,2:07.108,INTEGRA
1,909,Mark Kilgore,STREET GT - RWD,1:37.134,M4
2,595,Dustin Williams,STREET GT - RWD,1:37.315,M2
3,626,Ger Xiong,STREET GT - RWD,1:37.459,CORVETTE
4,258,Alex Vongnhay,STREET GT - AWD,1:38.197,MODEL 3
5,874,Robert Robles,STREET GT - RWD,1:38.265,M4
6,587,Joe Drane,STREET GT - RWD,1:38.327,M2
7,772,James Busch,STREET GT - RWD,1:41.002,M2
8,253,Gary Peterson,STREET GT - RWD,1:41.770,M2
9,485,Tracy Makimoto,STREET GT - RWD,1:42.596,M3
10,376,Jordan Wiseley,STREET GT - AWD,1:44.334,IONIQ5 N
11,305,Tj Keon,STREET GT - RWD,2:03.424,CROWN VICTORIA
1,884,Stephen Schiefer,STREET MOD - RWD,1:34.711,GR SUPRA
2,226,Team Team Kal & Jerry,STREET MOD - RWD,1:36.056,GT4 RS
3,237,Chris Watson,STREET MOD - RWD,1:36.520,MX-5 MIATA
4,6,Michael Aumick,STREET MOD - AWD,1:37.547,IMPREZA
5,615,Michael Baxi,STREET MOD - FWD,1:37.911,CIVIC
6,73,Jeremy Salenius,STREET MOD - RWD,1:39.431,CORVETTE
7,189,Brett Punay,STREET MOD - RWD,1:39.751,M3
8,680,Larry Chen,STREET MOD - RWD,1:40.753,86
9,477,Austin Sierra,STREET MOD - AWD,1:42.442,IMPREZA
10,344,Phil Jolicoeur,STREET MOD - AWD,1:43.876,5000
1,370,Sam Deuling,SUNDAE CUP - FWD,1:51.506,FIT
2,135,Taylour Wargo,SUNDAE CUP - FWD,1:53.080,FIT
3,969,Jack Coughlin,SUNDAE CUP - FWD,1:57.402,COUPE
4,188,Ricky Iturralde,SUNDAE CUP - FWD,1:57.624,FIESTA
5,808,Lucas Schaar,SUNDAE CUP - FWD,1:57.879,YARIS
6,405,Luis Paez,SUNDAE CUP - FWD,2:09.603,FIT
7,393,Courtney Ward,SUNDAE CUP - FWD,2:10.423,FIT
8,214,Manfred Oesting,SUNDAE CUP - FWD,2:31.495,FIT
1,450,James Kirkham,SUPER UNLIMITED - RWD,1:27.665,MERCEDES-AMG GT
1,274,Gabe Zamora,TRACK MOD - RWD,1:30.740,911
2,27,Brad Perkins,TRACK MOD - RWD,1:30.843,M3
3,89,Brandon Hodge,TRACK MOD - RWD,1:31.933,GR SUPRA
4,50,Azmath Mohammed,TRACK MOD - RWD,1:33.124,Z06
5,19,Josh Powers,TRACK MOD - RWD,1:34.719,CORVETTE
6,731,John Cruz,TRACK MOD - RWD,1:36.037,CAYMAN
7,33,Chris Boersma,TRACK MOD - FWD,1:36.598,CIVIC
8,811,Damyan Tuchenishki,TRACK MOD - AWD,1:37.897,IMPREZA
9,986,Son Vo,TRACK MOD - RWD,1:39.461,86
10,255,Cody Nowlin,TRACK MOD - RWD,1:39.923,M3
11,838,Daniel Cabrera,TRACK MOD - RWD,1:41.984,CAYMAN
12,748,Kenton King,TRACK MOD - RWD,8:27.855,911
13,687,Jackie Ding,TRACK MOD - RWD,,M2
14,146,Rob Dahm,TRACK MOD - RWD,,RX-7
1,512,Benjamin Sloss,UNLIMITED - RWD,1:21.306,GT
2,789,Ryan Raduechel,UNLIMITED - RWD,1:27.798,MX-5 MIATA
3,358,Brian Navarra,UNLIMITED - RWD,1:29.913,MUSTANG
4,913,Bailey Woods,UNLIMITED - RWD,1:30.887,M3
5,516,Nicky Hays,UNLIMITED - FWD,1:30.951,CRX
6,407,Marcus Fry,UNLIMITED - RWD,1:33.514,510
7,610,Nick Anderson,UNLIMITED - RWD,1:33.723,VIPER
8,893,Mark Arcenal,UNLIMITED - RWD,1:34.481,911
