TrackBattle Heat 1 Results (all groups),,,,,
Pos,No.,Name,Class,Best Time/Heat,Model/Engine
1,805,Craig Coker,UNLIMITED - AWD,1:23.185,MODEL S
2,274,Gabe Zamora,TRACK MOD - RWD,1:23.290,911
3,159,George Zhao,TRACK MOD - AWD,1:25.535,R8
4,760,Maxwell Lisovsky,UNLIMITED - RWD,1:25.715,3 SERIES
5,768,Mark Luton,UNLIMITED - RWD,1:27.445,MUSTANG
6,105,Frank Pacheco,TRACK MOD - RWD,1:27.661,CAMARO
7,489,Omar Kaayal,STREET MOD - RWD,1:30.312,MERCEDES-AMG GT
8,923,Mike Reyes,STREET MOD - RWD,1:30.950,GR SUPRA
9,237,Chris Watson,STREET MOD - RWD,1:30.987,MX-5 MIATA
10,870,Kevin Burke,TRACK MOD - RWD,1:31.402,VIPER
11,922,Luke Lederman,STREET - RWD,1:32.082,718 CAYMAN
12,213,Jedwyn Taasin,CLUB TR - RWD,1:32.139,S2000
13,249,Carlos Valenzuela,CLUB TR - FWD,1:32.223,CIVIC
14,875,Austin Kirk,STREET GT - RWD,1:33.286,CAMARO
15,827,Taylor Fenstermacher,UNLIMITED - RWD,1:33.654,MUSTANG
16,454,Karla Pestotnik,CLUB TR - RWD,1:34.140,S2000
17,229,Andrew Chow,TRACK MOD - RWD,1:34.671,3 SERIES
18,556,Stephen Ellis,CLUB TR - RWD,1:34.715,86
19,621,Will Drees,STREET - FWD,1:34.914,ELANTRA N
20,50,Azmath Mohammed,TRACK MOD - RWD,1:35.065,Z06
21,190,Johnson Mac,TRACK MOD - RWD,1:35.109,RX-7
22,670,Morgan Higham,STREET - AWD,1:36.199,MODEL 3
23,172,Daniel Fuentes,CLUB TR - FWD,1:36.315,CIVIC
24,293,Peter Bollenbecker,TRACK MOD - AWD,1:36.350,IMPREZA
25,817,Meng Tea,CLUB TR - FWD,1:39.476,CIVIC
26,22,Team VitourP1.com,UNLIMITED - RWD,1:40.905,RX-8
27,931,Thinh Duong,CLUB TR - RWD,1:41.202,BRZ
28,135,Taylour Wargo,SUNDAE CUP - FWD,1:46.214,FIT
29,188,Ricky Iturralde,SUNDAE CUP - FWD,1:46.793,FIESTA
30,485,Tracy Makimoto,STREET GT - RWD,1:47.933,M3
31,305,Tj Keon,STREET GT - RWD,1:49.478,CROWN VICTORIA
32,508,Luis Calderon,CLUB TR - FWD,1:51.554,INTEGRA
33,206,Daniel Harada,CLUB TR - RWD,1:54.037,FR-S
34,393,Courtney Ward,SUNDAE CUP - FWD,1:54.729,FIT
35,405,Luis Paez,SUNDAE CUP - FWD,1:56.512,FIT
