TrackBattle Overall Results (all groups),,,,,
Pos,No.,Name,Class,Best Time/Heat,Model/Engine
1,805,Craig Coker,UNLIMITED - AWD,1:19.626,MODEL S
2,274,Gabe Zamora,TRACK MOD - RWD,1:21.066,911
3,105,Frank Pacheco,TRACK MOD - RWD,1:21.283,CAMARO
4,760,Maxwell Lisovsky,UNLIMITED - RWD,1:21.426,3 SERIES
5,768,Mark Luton,UNLIMITED - RWD,1:22.693,MUSTANG
6,159,George Zhao,TRACK MOD - AWD,1:22.955,R8
7,870,Kevin Burke,TRACK MOD - RWD,1:24.441,VIPER
8,180,Zhenyang Huang,STREET MOD - RWD,1:25.664,M3
9,923,Mike Reyes,STREET MOD - RWD,1:25.687,GR SUPRA
10,237,Chris Watson,STREET MOD - RWD,1:26.241,MX-5 MIATA
11,50,Azmath Mohammed,TRACK MOD - RWD,1:27.252,Z06
12,489,Omar Kaayal,STREET MOD - RWD,1:27.482,MERCEDES-AMG GT
13,355,Daniel Leavitt,TRACK MOD - RWD,1:28.304,240SX
14,190,Johnson Mac,TRACK MOD - RWD,1:28.803,RX-7
15,833,Brian Chilldres,STREET GT - RWD,1:29.648,CAMARO
16,621,Will Drees,STREET - FWD,1:29.853,ELANTRA N
17,827,Taylor Fenstermacher,UNLIMITED - RWD,1:29.945,MUSTANG
18,922,Luke Lederman,STREET - RWD,1:29.995,718 CAYMAN
19,807,Dustin Kent,TRACK MOD - AWD,1:30.491,IMPREZA
20,817,Meng Tea,CLUB TR - FWD,1:31.204,CIVIC
21,213,Jedwyn Taasin,CLUB TR - RWD,1:31.310,S2000
22,454,Karla Pestotnik,CLUB TR - RWD,1:31.471,S2000
23,875,Austin Kirk,STREET GT - RWD,1:31.924,CAMARO
24,172,Daniel Fuentes,CLUB TR - FWD,1:32.091,CIVIC
25,556,Stephen Ellis,CLUB TR - RWD,1:32.194,86
26,249,Carlos Valenzuela,CLUB TR - FWD,1:32.210,CIVIC
27,229,Andrew Chow,TRACK MOD - RWD,1:32.868,3 SERIES
28,293,Peter Bollenbecker,TRACK MOD - AWD,1:33.592,IMPREZA
29,670,Morgan Higham,STREET - AWD,1:34.289,MODEL 3
30,206,Daniel Harada,CLUB TR - RWD,1:34.433,FR-S
31,931,Thinh Duong,CLUB TR - RWD,1:34.547,BRZ
32,22,Team VitourP1.com,UNLIMITED - RWD,1:37.246,RX-8
33,485,Tracy Makimoto,STREET GT - RWD,1:38.513,M3
34,508,Luis Calderon,CLUB TR - FWD,1:40.006,INTEGRA
35,135,Taylour Wargo,SUNDAE CUP - FWD,1:42.248,FIT
36,188,Ricky Iturralde,SUNDAE CUP - FWD,1:42.622,FIESTA
37,305,Tj Keon,STREET GT - RWD,1:48.398,CROWN VICTORIA
38,405,Luis Paez,SUNDAE CUP - FWD,1:52.478,FIT
39,393,Courtney Ward,SUNDAE CUP - FWD,1:54.514,FIT
