GLTC Qualifying Results,,,,,
Pos,No.,Name,Class,Best Tm,Points
1,484,Matan Rosenberg,GLTC - RWD,1:41.865,3
2,57,Christian Aranha,GLTC - RWD,1:42.411,2
3,330,Eric Magnussen,GLTC - RWD,1:42.539,1
4,82,Eric Kutil,GLTC - FWD,1:42.551,0
5,184,Eric Jensen,GLTC - RWD,1:43.195,0
6,49,Nicholas Barbato,GLTC - RWD,1:43.213,0
7,28,Peter Zhang,GLTC - RWD,1:43.734,0
8,440,Daniel Giraldo,GLTC - RWD,1:43.967,0
9,83,Carlos Mendez,GLTC - RWD,1:44.153,0
10,159,Joshua Rubenstein,GLTC - RWD,1:44.531,0
11,71,Joel Morrison,GLTC - RWD,1:44.648,0
12,10,Brian Tyson,GLTC - FWD,1:44.823,0
13,610,Benjamin Swanson,GLTC - AWD,1:44.871,0
14,17,Tony Marchev,GLTC - RWD,1:45.160,0
15,84,Thomas Lathrop,GLTC - RWD,1:45.581,0
16,129,James Cathers,GLTC - RWD,1:45.660,0
17,79,Raul Iriarte,GLTC - RWD,1:45.700,0
18,1,Gary Wimble,GLTC - RWD,1:47.051,0
19,89,Tom Panzarella,GLTC - FWD,1:47.231,0
20,33,Justin Lee,GLTC - RWD,1:47.309,0
21,27,Robert Rosa,GLTC - RWD,1:48.535,0
22,369,Zachary Mortimer,GLTC - RWD,1:48.894,0
23,222,Kyle Hale,GLTC - RWD,1:49.066,0
24,9,Luke Wilwert,GLTC - FWD,1:49.417,0
25,137,Ian Balestra,GLTC - FWD,1:50.110,0
26,23,Brian Santiago,GLTC - FWD,1:50.510,0
27,77,Hans Horpedahl,GLTC - RWD,1:55.101,0
28,13,Alan Newsome,GLTC - RWD,2:02.976,0
29,131,Lisa Keyes,GLTC - FWD,,0
30,257,Andrew Nabb,GLTC - FWD,,0
