GLTC Race 3 Results ,,,,,,,,
Pos,No.,Name,Class,Best Tm,In Lap,Laps,Gap,Points
1,82,Eric Kutil,GLTC - FWD,1:40.778,8,8,,25
2,330,Eric Magnussen,GLTC - RWD,1:42.614,5,8,3.471,21
3,484,Matan Rosenberg,GLTC - RWD,1:42.522,8,8,0.338,18
4,1,Gary Wimble,GLTC - RWD,1:43.968,4,8,4.905,16
5,33,Justin Lee,GLTC - RWD,1:44.017,4,8,1.68,15
6,129,James Cathers,GLTC - RWD,1:44.261,3,8,0.455,14
7,83,Carlos Mendez,GLTC - RWD,1:44.271,3,8,0.241,13
8,84,Thomas Lathrop,GLTC - RWD,1:45.845,3,8,1.405,12
9,440,Daniel Giraldo,GLTC - RWD,1:45.540,8,8,1.432,11
10,369,Zachary Mortimer,GLTC - RWD,1:45.970,8,8,1.528,10
11,610,Benjamin Swanson,GLTC - AWD,1:45.953,3,8,1.628,9
12,200,Ronald Till,GLTC - RWD,1:45.966,4,8,0.648,8
13,17,Tony Marchev,GLTC - RWD,1:45.743,3,8,0.998,7
DQ,49,Nicholas Barbato,GLTC - RWD,1:42.895,4,8,1.232,6
15,184,Eric Jensen,GLTC - RWD,1:42.787,4,8,0.907,5
DQ,28,Peter Zhang,GLTC - RWD,1:42.650,4,8,0.153,4
17,57,Christian Aranha,GLTC - RWD,1:45.242,4,8,0.72,3
18,77,Hans Horpedahl,GLTC - RWD,1:46.199,3,8,0.469,2
19,137,Ian Balestra,GLTC - FWD,1:46.283,4,8,2.443,1
20,27,Robert Rosa,GLTC - RWD,1:47.794,4,8,0.149,0
21,89,Tom Panzarella,GLTC - FWD,1:47.035,3,8,2.259,0
22,193,Jon Braun,GLTC - FWD,1:50.129,7,8,3.343,0
23,222,Kyle Hale,GLTC - RWD,1:44.199,4,6,2 Laps,0
24,257,Andrew Nabb,GLTC - FWD,1:47.065,4,6,6.086,0
25,79,Raul Iriarte,GLTC - RWD,1:44.545,2,6,3:44.010,0
26,71,Joel Morrison,GLTC - RWD,1:46.036,3,4,2 Laps,0
27,9,Luke Wilwert,GLTC - FWD,,0,,4 Laps,0
28,159,Joshua Rubenstein,GLTC - RWD,,0,,,0
DQ,131,Lisa Keyes,GLTC - FWD,1:47.099,4,8,,0
"Penalty, Car 49: Impound Violation - Loss of 10 finishing positions",,,,,,,,
"Penalty, Car 28 - Impound Violation - Loss of 10 finishing positions",,,,,,,,
"Penalty, Car 28: Unsafe Re-entry - Loss of 5 grid positions for Race 4 ",,,,,,,,
"Penalty, Car 131: Incident responsibility - Disqualified",,,,,,,,
