GLTC Race 4 Results,,,,,,,,
Pos,No.,Name,Class,Best Tm,In Lap,Laps,Gap,Points
1,484,Matan Rosenberg,GLTC - RWD,1:42.571,2,7,,25
2,82,Eric Kutil,GLTC - FWD,1:42.259,2,7,0.226,21
3,129,James Cathers,GLTC - RWD,1:43.635,2,7,1.765,18
4,1,Gary Wimble,GLTC - RWD,1:44.257,2,7,1.148,16
5,33,Justin Lee,GLTC - RWD,1:44.033,7,7,0.185,15
6,83,Carlos Mendez,GLTC - RWD,1:44.612,7,7,2.167,14
7,184,Eric Jensen,GLTC - RWD,1:44.809,7,7,2.059,13
8,440,Daniel Giraldo,GLTC - RWD,1:45.156,2,7,1.351,12
9,49,Nicholas Barbato,GLTC - RWD,1:46.193,2,7,0.37,11
10,28,Peter Zhang,GLTC - RWD,1:45.656,7,7,0.396,10
11,84,Thomas Lathrop,GLTC - RWD,1:45.982,7,7,0.371,9
12,369,Zachary Mortimer,GLTC - RWD,1:46.382,2,7,0.791,8
13,57,Christian Aranha,GLTC - RWD,1:46.070,2,7,0.725,7
14,610,Benjamin Swanson,GLTC - AWD,1:47.284,7,7,0.36,6
15,200,Ronald Till,GLTC - RWD,1:47.085,2,7,1.486,5
16,71,Joel Morrison,GLTC - RWD,1:45.899,7,7,2.543,4
17,222,Kyle Hale,GLTC - RWD,1:45.743,7,7,0.444,3
18,17,Tony Marchev,GLTC - RWD,1:45.539,7,7,0.694,2
19,79,Raul Iriarte,GLTC - RWD,1:45.680,7,7,0.385,1
20,257,Andrew Nabb,GLTC - FWD,1:47.783,7,7,4.364,0
21,27,Robert Rosa,GLTC - RWD,1:48.041,7,7,1.203,0
22,89,Tom Panzarella,GLTC - FWD,1:46.788,7,7,0.29,0
23,193,Jon Braun,GLTC - FWD,1:51.897,7,7,7.079,0
24,77,Hans Horpedahl,GLTC - RWD,1:47.217,2,2,5 Laps,0
25,131,Lisa Keyes,GLTC - FWD,1:51.468,2,2,8.839,0
26,159,Joshua Rubenstein,GLTC - RWD,1:50.840,2,2,0.511,0
27,137,Ian Balestra,GLTC - FWD,1:53.770,2,2,0.499,0
28,330,Eric Magnussen,GLTC - RWD,1:47.610,1,1,1 Lap,0
