RUSH SR Race 4 Results,,,,,,,,
Pos,No.,Name,Class,Best Tm,In Lap,Laps,Gap,Points
1,56,Ryan Leach,RUSH - RWD,1:38.055,3,10,,25
2,34,Andy Voelkel,RUSH - RWD,1:38.195,3,10,3.738,21
3,7,Nico Bratz,RUSH - RWD,1:38.334,8,10,0.615,18
4,70,James French,RUSH - RWD,1:38.627,7,10,3.121,16
5,33,Ethan Alexander,RUSH - RWD,1:39.419,5,10,11.21,15
6,88,Jaylan Battley,RUSH - RWD,1:39.354,4,10,0.167,14
7,51,Gage Hughes,RUSH - RWD,1:40.089,3,10,11.026,13
8,144,Nate Hamilton,RUSH - RWD,1:40.728,7,10,5.718,12
9,188,Matt Wilson,RUSH - RWD,1:40.828,5,10,0.186,11
10,133,Grant Anderson,RUSH - RWD,1:41.542,5,10,8.509,10
11,28,Tj Hunt,RUSH - RWD,1:41.710,9,10,0.466,9
12,58,Bill Wright,RUSH - RWD,1:42.316,8,10,2.942,8
13,53,Evan Shanks,RUSH - RWD,1:42.116,5,10,0.152,7
14,12,Bret Digiacomo,RUSH - RWD,1:42.317,8,10,0.02,6
15,256,Samuel Reed,RUSH - RWD,1:42.193,6,10,4.955,5
16,22,Jeremy Boysen,RUSH - RWD,1:43.114,9,10,3.306,4
17,333,Andrew Lee,RUSH - RWD,,0,10,17.028,3
18,77,Jake Sanders,RUSH - RWD,1:43.419,7,10,0.433,2
19,129,Alex Ziegenfus,RUSH - RWD,1:44.004,3,10,28.58,1
20,227,Aj Campo,RUSH - RWD,1:46.484,9,9,1 Lap,0
21,300,Grant Ellis,RUSH - RWD,1:49.646,7,9,7.5,0
22,17,John Howe,RUSH - RWD,1:47.530,2,9,8.875,0
23,59,Larry Brady,RUSH - RWD,1:43.012,2,4,5 Laps,0
24,29,Team End Alzheimers Motorsports,RUSH - RWD,1:50.071,1,1,3 Laps,0
Officlal as of 14:20 4/13/25,,,,,,,,
