TrackBattle Heat 5 Results (all groups),,,,,
Pos,No.,Name,Class,Best Time/Heat,Model
1,100,Joshua Briggs,UNLIMITED - RWD,1:35.463,MX-5 MIATA
2,445,Team VitourP1.com,TRACK MOD - RWD,1:35.660,CORVETTE
3,171,Andrius Bertulis,UNLIMITED - RWD,1:35.669,RCF
4,121,Ryan Mathews,STREET MOD - RWD,1:36.551,CORVETTE
5,14,Kal Fortner,STREET MOD - RWD,1:37.220,MERCEDES-AMG GT
6,773,Luie Zendejas,UNLIMITED - RWD,1:37.487,CORVETTE
7,111,Phillip Glass-Hess,UNLIMITED - RWD,1:37.514,MX-5 MIATA
8,921,Jim Rauck,UNLIMITED - FWD,1:37.538,CIVIC
9,82,Jaime Santos,STREET MOD - RWD,1:37.753,1 SERIES
10,525,Jeremy Lowder,UNLIMITED - RWD,1:37.767,CAMARO
11,985,Dayton Delahoussaye,STREET MOD - RWD,1:38.211,MX-5 MIATA
12,211,Ryan Mathews,STREET GT - RWD,1:38.636,CORVETTE
13,269,Shawn Bassett,UNLIMITED - RWD,1:38.963,240Z
14,404,David Bamforth,TRACK MOD - RWD,1:38.968,CAYMAN
15,909,Mark Kilgore,STREET GT - RWD,1:39.216,M4
16,777,Joshua Halka,STREET - AWD,1:39.510,IMPREZA
17,536,Austin Hertel,STREET GT - RWD,1:39.683,CORVETTE
18,24,Aj Hartman,UNLIMITED - RWD,1:40.165,MUSTANG
19,47,Marc Flammia,UNLIMITED - RWD,1:40.429,M4
20,717,Luke Mcgrew,TRACK MOD - RWD,1:40.501,Z06
21,7,Thomas Halka,STREET - AWD,1:40.817 DQ,IMPREZA
22,256,Drew Vosk,STREET GT - RWD,1:41.150,GR SUPRA
23,727,Mario Mirone,CLUB TR - FWD,1:41.485,CIVIC
24,127,Mark Johnson,UNLIMITED - FWD,1:41.656,CIVIC
25,221,Kyle Hale,TRACK MOD - RWD,1:41.789,M3
26,514,Evan Mclaren,CLUB TR - FWD,1:42.106,INTEGRA
27,440,Jonathan Wheeler,STREET MOD - RWD,1:42.345,370Z
28,33,Chris Boersma,TRACK MOD - FWD,1:42.570,CIVIC
29,466,Willem Drees,STREET - FWD,1:42.658 DQ,ELANTRA N
30,58,Grant White,STREET MOD - RWD,1:42.872,MUSTANG
31,571,John Laughlin,STREET - FWD,1:43.182,CIVIC
32,244,Mike Burroughs,UNLIMITED - RWD,1:43.194,244 GTK
33,65,Tim White,TRACK MOD - RWD,1:43.253,CORVETTE
34,13,Jerami Bailey,CLUB TR - RWD,1:43.277,FR-S
35,101,Jason Witt,TRACK MOD - RWD,1:43.306,M4
36,85,Aj Keys,TRACK MOD - RWD,1:43.508,SHELBY GT350
37,326,Stan Fayngold,CLUB TR - RWD,1:43.528,FR-S
38,421,Logan Kenseth,STREET MOD - RWD,1:44.039,CTS
39,518,Michael Budai,CLUB TR - FWD,1:44.274,CIVIC
40,470,Eddy Segal,STREET - FWD,1:44.920,CIVIC TYPE R
41,18,Kevin Vue,CLUB TR - FWD,1:45.057,INTEGRA
42,141,Marshal Moore,TRACK MOD - RWD,1:45.080,SUPRA
43,3,David Wilks,TRACK MOD - RWD,1:45.267,CAMARO
44,504,Kameron Newman,STREET MOD - RWD,1:45.283,BRZ
45,48,Jeremy Hensley,STREET - AWD,1:45.450,IMPREZA
46,185,Sam Corke,STREET GT - RWD,1:45.514,M2
47,949,Evin Degirmencioglu,STREET GT - RWD,1:45.520,MUSTANG
48,540,Charles Bucky Lasek,STREET MOD - AWD,1:45.687,WRX
49,2,Connor Gallagher,STREET GT - AWD,1:45.859,GT-R
50,40,Ben Bulthuis,STREET GT - AWD,1:46.150,GR SUPRA
51,360,Randy Ramchand,CLUB TR - RWD,1:46.176,S2000
52,517,Tim Lutz,STREET MOD - RWD,1:46.588,CORVETTE
53,410,Foster Johnson,CLUB TR - RWD,1:46.674,S2000
54,498,Bradley Folse,STREET - AWD,1:46.813,IMPREZA
55,224,Mike Day,CLUB TR - RWD,1:47.313,MX-5 MIATA
56,78,Ryan Koblentz,STREET - AWD,1:47.625,WRX
57,110,William Gravely,STREET GT - RWD,1:47.944,911
58,434,Aaron Soffel,STREET - AWD,1:48.771,S3
59,520,Daniel Corliss,CLUB TR - FWD,1:49.885,3 SERIES
60,860,Joshua Garcia,STREET MOD - RWD,1:50.320,COROLLA AE86
61,888,Matthew Bowers,TRACK MOD - RWD,1:51.152,CORVETTE
