TrackBattle Overall Results (all groups),,,,,
Pos,No.,Name,Class,Best Time/Heat,Model
1,338,Ernestas Puzelis,UNLIMITED - RWD,1:33.965,CORVETTE C6
2,921,Jim Rauck,UNLIMITED - FWD,1:33.986,CIVIC
3,100,Joshua Briggs,UNLIMITED - RWD,1:34.986,MX-5 MIATA
4,121,Ryan Mathews,STREET MOD - RWD,1:35.430,CORVETTE
5,445,Team VitourP1.com,TRACK MOD - RWD,1:35.660,CORVETTE
6,171,Andrius Bertulis,UNLIMITED - RWD,1:35.669,RCF
7,82,Jaime Santos,STREET MOD - RWD,1:36.460,1 SERIES
8,14,Kal Fortner,STREET MOD - RWD,1:36.714,MERCEDES-AMG GT
9,111,Phillip Glass-Hess,UNLIMITED - RWD,1:36.869,MX-5 MIATA
10,70,Dewey Dewitt,STREET MOD - AWD,1:37.085,IMPREZA
11,773,Luie Zendejas,UNLIMITED - RWD,1:37.432,CORVETTE
12,212,Chris Smith,TRACK MOD - RWD,1:37.432,1 SERIES
13,211,Ryan Mathews,STREET GT - RWD,1:37.626,CORVETTE
14,525,Jeremy Lowder,UNLIMITED - RWD,1:37.767,CAMARO
15,777,Joshua Halka,STREET - AWD,1:38.188,IMPREZA
16,985,Dayton Delahoussaye,STREET MOD - RWD,1:38.211,MX-5 MIATA
17,404,David Bamforth,TRACK MOD - RWD,1:38.351,CAYMAN
18,717,Luke Mcgrew,TRACK MOD - RWD,1:38.441,Z06
19,536,Austin Hertel,STREET GT - RWD,1:38.579,CORVETTE
20,269,Shawn Bassett,UNLIMITED - RWD,1:38.963,240Z
21,909,Mark Kilgore,STREET GT - RWD,1:39.216,M4
22,47,Marc Flammia,UNLIMITED - RWD,1:39.588,M4
23,24,Aj Hartman,UNLIMITED - RWD,1:39.712,MUSTANG
24,716,Darius Zajac,TRACK MOD - RWD,1:39.818,CORVETTE
25,2,Connor Gallagher,STREET GT - AWD,1:39.894,GT-R
26,256,Drew Vosk,STREET GT - RWD,1:40.070,GR SUPRA
27,727,Mario Mirone,CLUB TR - FWD,1:40.668,CIVIC
28,40,Ben Bulthuis,STREET GT - AWD,1:40.711,GR SUPRA
29,7,Team Turn In Concepts,STREET - AWD,1:40.909,IMPREZA
30,310,Mike Coons,STREET - AWD,1:41.110,IMPREZA
31,101,Jason Witt,TRACK MOD - RWD,1:41.225,M4
32,514,Evan Mclaren,CLUB TR - FWD,1:41.247,INTEGRA
33,33,Chris Boersma,TRACK MOD - FWD,1:41.389,CIVIC
34,326,Stan Fayngold,CLUB TR - RWD,1:41.531,FR-S
35,127,Mark Johnson,UNLIMITED - FWD,1:41.656,CIVIC
36,221,Kyle Hale,TRACK MOD - RWD,1:41.789,M3
