TrackBattle Podium Sprint Results,,,,,
Pos,No.,Name,Class,Best Time/Heat,Model/Engine
1,91,Chris Rice,CLUB SC - FWD,1:55.699,FIT
2,144,Ryan Mukherjee,CLUB SC - FWD,1:55.822,FIT
3,370,Sam Deuling,CLUB SC - FWD,1:56.143,FIT
4,156,Mike Janssen,CLUB SC - FWD,1:56.293,COOPER
5,134,David Best,CLUB SC - FWD,1:56.731,FIT
1,13,Jerami Bailey,CLUB TR - RWD,1:41.967,FR-S
2,514,Evan Mclaren,CLUB TR - FWD,1:42.014,INTEGRA
3,326,Stan Fayngold,CLUB TR - RWD,1:42.134,FR-S
4,18,Kevin Vue,CLUB TR - FWD,1:44.995,INTEGRA
5,727,Mario Mirone,CLUB TR - FWD,DNF,CIVIC
1,777,Joshua Halka,STREET - AWD,1:40.057,IMPREZA
2,310,Mike Coons,STREET - AWD,1:40.502,IMPREZA
3,7,Team Turn In Concepts,STREET - AWD,1:41.787,IMPREZA
4,470,Eddy Segal,STREET - FWD,1:42.922,CIVIC TYPE R
5,571,John Laughlin,STREET - FWD,1:44.341,CIVIC
1,211,Ryan Mathews,STREET GT - RWD,1:38.889,CORVETTE
2,909,Mark Kilgore,STREET GT - RWD,1:39.506,M4
3,536,Austin Hertel,STREET GT - RWD,1:39.940*,CORVETTE
4,2,Connor Gallagher,STREET GT - AWD,1:40.351,GT-R
5,256,Drew Vosk,STREET GT - RWD,1:41.393,GR SUPRA
1,121,Ryan Mathews,STREET MOD - RWD,1:35.386,CORVETTE
2,70,Dewey Dewitt,STREET MOD - AWD,1:37.088,IMPREZA
3,14,Kal Fortner,STREET MOD - RWD,1:37.548,MERCEDES-AMG GT
4,82,Jaime Santos,STREET MOD - RWD,1:38.713,1 SERIES
5,985,Dayton Delahoussaye,STREET MOD - RWD,1:38.868,MX-5 MIATA
1,445,Team VitourP1.com,TRACK MOD - RWD,1:38.043,CORVETTE
2,717,Luke Mcgrew,TRACK MOD - RWD,1:39.462,Z06
3,404,David Bamforth,TRACK MOD - RWD,1:40.196,CAYMAN
4,212,Chris Smith,TRACK MOD - RWD,DQ,1 SERIES
5,716,Darius Zajac,TRACK MOD - RWD,DNS,CORVETTE
1,338,Ernestas Puzelis,UNLIMITED - RWD,1:32.619,CORVETTE C6
2,921,Jim Rauck,UNLIMITED - FWD,1:33.201,CIVIC
3,111,Phillip Glass-Hess,UNLIMITED - RWD,1:37.735,MX-5 MIATA
4,171,Andrius Bertulis,UNLIMITED - RWD,1:37.956,RCF
5,100,Joshua Briggs,UNLIMITED - RWD,DNS,MX-5 MIATA
