"GLTC Qualifying Results
PROVISIONAL",,,,,
Pos,No.,Name,Model,Best Tm,Points
1,330,Eric Magnussen,M3,1:38.910,3
2,484,Matan Rosenberg,CORVETTE,1:39.033,2
3,82,Eric Kutil,CIVIC,1:39.266,1
4,212,Andy Smedegard,GT86.24,1:39.340,0
5,3,Erik Meadows,CORVETTE,1:39.516,0
6,55,Paul Darling,M3,1:39.687,0
7,90,Matt Waldbaum,S2000,1:40.321,0
8,614,Blake Korth,CAYMAN,1:40.396,0
9,17,Tony Marchev,S2000,1:40.398,0
10,917,Lena Chin,S2000,1:40.548,0
11,86,Jackie Ding,M2,1:40.726,0
12,130,James Smith,S2000,1:40.741,0
13,109,Dana Basinski,BRZ,1:40.765,0
14,715,Salil Shukla,M3,1:40.920,0
15,28,Peter Zhang,FR-S,1:40.939,0
16,184,Eric Jensen,FR-S,1:41.098,0
17,865,Ryan Power,86,1:41.195,0
18,80,Robert Thorne,S2000,1:41.226,0
19,129,James Cathers,M3,1:41.491,0
20,85,Samuel Scott,MX-5 MIATA,1:41.560,0
21,71,Joel Morrison,S2000,1:41.699,0
22,155,Michael Pagano,116I,1:41.938,0
23,42,Zac Lovoy,M3,1:41.938,0
24,111,Jack Wischmeyer,CIVIC,1:42.152,0
25,26,Louis Chatroop,3 SERIES,1:42.456,0
26,222,Kyle Hale,M3,1:42.514,0
27,44,Kerry James,MX-5 MIATA,1:42.528,0
28,2,Aryton Grim,MX-5 MIATA,1:42.586,0
29,43,Joe Tullo,325I,1:42.678,0
30,171,Clayton Fitzpatrick,CORVETTE,1:43.149,0
31,84,Thomas Lathrop,3 SERIES,1:43.878,0
32,541,Seth Gale,INTEGRA,1:44.668,0
33,94,Jonathan Lugod,DEL SOL,1:44.728,0
34,50,Azmath Mohammed,MR2,1:44.804,0
35,74,Erik Dallariva,CSX,1:45.143,0
36,462,Natalie Latoz,MX-5 MIATA,1:45.256,0
37,888,Dai Nguyen,BRZ,1:47.644,0
DQ,440,Daniel Giraldo,IS,1:42.302,0
DQ,83,Carlos Mendez,3 SERIES,1:42.652,0
DQ,350,Julio Crispin,350Z,1:43.393,0
DQ,313,Chandler Roe,CIVIC,1:44.148,0
"Penalty Car 440: Impound Violation, Technical Compliance for Class - DQ",,,,,
"Penalty Car 83: Impound Violation, Technical Compliance for Class - DQ",,,,,
Penalty Car 313: Pass Under Yellow - DQ,,,,,
Penalty Car 330: Unsportsmanlike Conduct - Warning,,,,,
Penalty Car 350: Impound Violation - Failure to report to impound,,,,,
Official Results published - 6/6/25 18:15,,,,,
