GLTC Race 3 Results,,,,,,,,
Pos,No.,Name,Car,Best Tm,In Lap,Laps,Gap,Points
1,330,Eric Magnussen,M3,1:39.234,3,9,,25
2,82,Eric Kutil,CIVIC,1:39.403,5,9,0.724,21
3,484,Matan Rosenberg,CORVETTE,1:39.311,3,9,0.210,18
4,90,Matt Waldbaum,S2000,1:39.808,4,9,6.243,16
5,17,Tony Marchev,S2000,1:39.784,5,9,0.224,15
6,109,Dana Basinski,BRZ,1:39.947,6,9,1.029,14
7,3,Erik Meadows,CORVETTE,1:39.517,6,9,0.433,13
8,614,Blake Korth,CAYMAN,1:40.437,4,9,8.283,12
9,80,Robert Thorne,S2000,1:40.633,9,9,0.878,11
10,917,Lena Chin,S2000,1:40.848,5,9,0.309,10
11,212,Andy Smedegard,GT86.24,1:40.714,9,9,0.269,9
12,71,Joel Morrison,S2000,1:41.234,5,9,1.379,8
13,86,Jackie Ding,M2,1:41.127,6,9,0.720,7
14,715,Salil Shukla,M3,1:41.010,6,9,0.359,6
15,74,Erik Dallariva,CSX,1:41.351,6,9,1.347,5
16,1,Gary Wimble,CORVETTE,1:39.992,6,9,4.145,4
17,111,Jack Wischmeyer,CIVIC,1:41.889,7,9,1.765,3
18,83,Carlos Mendez,3 SERIES,1:42.069,8,9,0.677,2
19,130,James Smith,S2000,1:42.032,8,9,0.695,1
20,129,James Cathers,M3,1:42.564,8,9,1.744,0
21,85,Samuel Scott,MX-5 MIATA,1:42.290,7,9,0.275,0
22,42,Zac Lovoy,M3,1:42.057,9,9,0.768,0
23,155,Michael Pagano,116I,1:41.942,9,9,0.520,0
24,44,Kerry James,MX-5 MIATA,1:42.879,6,9,4.197,0
25,26,Louis Chatroop,3 SERIES,1:42.984,6,9,0.335,0
26,171,Clayton Fitzpatrick,CORVETTE,1:42.645,9,9,0.730,0
27,43,Joe Tullo,325I,1:42.900,8,9,1.430,0
28,28,Peter Zhang,FR-S,1:42.589,5,9,7.253,0
29,888,Dai Nguyen,BRZ,1:43.963,5,9,3.101,0
30,222,Kyle Hale,M3,1:42.058,6,9,1.262,0
31,94,Jonathan Lugod,DEL SOL,1:44.011,5,9,0.583,0
32,462,Natalie Latoz,MX-5 MIATA,1:44.231,6,9,4.682,0
33,50,Azmath Mohammed,MR2,1:43.972,9,9,0.088,0
34,541,Seth Gale,INTEGRA,1:44.615,5,7,2 Laps,0
35,313,Chandler Roe,CIVIC,1:42.483,5,6,1 Lap,0
36,84,Thomas Lathrop,3 SERIES,1:42.940,6,6,3.476,0
37,865,Ryan Power,86,1:42.444,6,6,1.231,0
38,944,Dan Precourt,944,1:48.382,3,6,57.865,0
39,2,Aryton Grim,MX-5 MIATA,2:42.427,1,1,5 Laps,0
Penalty Car 222:  Incident Responsibility Minor With Car (#) - Loss of 5 Finishing Positions.,,,,,,,,
,,,,,Official Results Published: 20:31 06/07,,,
