GLTC Race 4 Results,,,,,,,,
Pos,No.,Name,Class,Best Tm,In Lap,Laps,Gap,Points
1,3,Erik Meadows,GLTC - RWD,1:40.300,7,7,,25
2,82,Eric Kutil,GLTC - FWD,1:40.248,7,7,0.696,21
3,484,Matan Rosenberg,GLTC - RWD,1:40.722,6,7,0.392,18
4,17,Tony Marchev,GLTC - RWD,1:40.852,7,7,2.523,16
5,109,Dana Basinski,GLTC - RWD,1:41.458,7,7,0.768,15
6,330,Eric Magnussen,GLTC - RWD,1:41.147,6,7,1.01,14
7,614,Blake Korth,GLTC - RWD,1:42.957,5,7,0.902,13
8,1,Gary Wimble,GLTC - RWD,1:41.490,6,7,0.294,12
9,90,Matt Waldbaum,GLTC - RWD,1:41.895,7,7,0.39,11
10,917,Lena Chin,GLTC - RWD,1:41.557,6,7,0.552,10
11,80,Robert Thorne,GLTC - RWD,1:41.741,6,7,0.732,9
12,86,Jackie Ding,GLTC - RWD,1:41.598,6,7,0.813,8
13,71,Joel Morrison,GLTC - RWD,1:42.190,6,7,1.522,7
14,83,Carlos Mendez,GLTC - RWD,1:42.418,7,7,0.227,6
15,74,Erik Dallariva,GLTC - FWD,1:41.634,7,7,0.249,5
16,111,Jack Wischmeyer,GLTC - FWD,1:42.465,7,7,1.17,4
17,129,James Cathers,GLTC - RWD,1:43.009,7,7,1.023,3
20,43,Joe Tullo,GLTC - RWD,1:43.116,7,7,2.088,2
22,26,Louis Chatroop,GLTC - RWD,1:43.361,7,7,1.314,1
23,2,Aryton Grim,GLTC - RWD,1:42.646,5,7,0.022,0
24,85,Samuel Scott,GLTC - RWD,1:43.189,5,7,1.445,0
25,440,Daniel Giraldo,GLTC - RWD,1:43.337,6,7,1.949,0
26,50,Azmath Mohammed,GLTC - RWD,1:44.611,5,7,0.076,0
27,313,Chandler Roe,GLTC - FWD,1:43.124,5,7,0.558,0
28,171,Clayton Fitzpatrick,GLTC - RWD,1:43.003,5,7,0.005,0
29,184,Eric Jensen,GLTC - RWD,1:43.081,5,6,1 Lap,0
30,888,Dai Nguyen,GLTC - RWD,1:44.225,5,5,1 Lap,0
31,944,Dan Precourt,GLTC - RWD,1:54.214,5,5,14.354,0
32,94,Jonathan Lugod,GLTC - FWD,1:55.622,1,4,1 Lap,0
33,212,Andy Smedegard,GLTC - RWD,1:55.957,1,1,3 Laps,0
35,155,Michael Pagano,GLTC - RWD,,0,,2.361,0
36,462,Natalie Latoz,GLTC - RWD,,0,,0.044,0
37,541,Seth Gale,GLTC - FWD,,0,,1.213,0
DQ,28,Peter Zhang,GLTC - RWD,1:41.410,7,7,0.405,0
DQ,222,Kyle Hale,GLTC - RWD,1:41.765,7,7,1.214,0
DQ,130,James Smith,GLTC - RWD,1:42.840,7,7,0.705,0
DQ,715,Salil Shukla,GLTC - RWD,,0,,1 Lap,0
"Penalty Car 462: Incident Responsibility, Minor with Car 541 - Loss of 5 finishing positions",,,,,,,,
"Penalty Car 541: Incident Responsibility, Major with Car 462 - Loss of 10 finishing positions",,,,,,,,
"Penalty Car 715: Incident Responsibilty, Major with Car 80 - Disqualified",,,,,,,,
"Penalty Car 109: Incident Responsibility, Minor with Car 17 (no damage, no loss of position) - Warning",,,,,,,,
Penalty Car 28: Pass Under Yellow - Disqualified,,,,,,,,
Penalty Car 222: Pass Under Yellow - Disqualified,,,,,,,,
Penalty Car 130: Pass Under Yellow - Disqualified,,,,,,,,
,,,,,,,,Official Results Posted 6/10 21:03
