RUSH SR Qualifying Results,,,,,
Pos,No.,Name,Model,Best Tm,Points
1,56,Ryan Leach,SR,1:34.866,3
2,8,Blair Hosie,SR,1:35.521,2
3,70,James French,SR,1:36.080,1
4,7,Nico Bratz,SR,1:36.229,0
5,34,Andy Voelkel,SR,1:36.363,0
6,114,Bryce Mersberger,SR,1:36.815,0
7,74,Jason Oehler,SR,1:36.950,0
8,13,Lee Kellert,SR,1:37.095,0
9,12,Bret Digiacomo,SR,1:37.263,0
10,33,Ethan Alexander,SR,1:37.411,0
11,25,Mark Charnogorsky,SR,1:37.456,0
12,58,Bill Wright,SR,1:37.765,0
13,190,John Robinson,SR,1:37.773,0
14,144,Nate Hamilton,SR,1:37.968,0
15,121,Aryton Grim,SR,1:38.000,0
16,88,Jaylan Battley,SR,1:38.061,0
17,51,Gage Hughes,SR,1:38.195,0
18,81,Robert Desjardins,SR,1:38.447,0
19,28,Tj Hunt,SR,1:38.495,0
20,22,Jeremy Boysen,SR,1:38.506,0
21,9,Nick Billingsley,SR,1:38.647,0
22,19,Kelsey Billingsley,SR,1:39.391,0
23,59,Larry Brady,SR,1:39.852,0
24,227,Aj Campo,SR,1:40.021,0
25,99,Jared Anderson,SR,1:40.701,0
26,188,Matt Wilson,SR,1:40.980,0
27,82,Pat Brady,SR,1:41.081,0
28,75,Tom Kersting,SR,1:41.802,0
29,77,Jake Sanders,SR,1:42.212,0
30,113,Tim Burkard,SR,1:44.570,0
31,55,Chuck Desjardins,SR,1:45.668,0
32,71,Paul Klich,SR,1:47.432,0
33,17,John Howe,SR,1:56.277,0
