RUSH SR Race 1 Results,,,,,,,,
Pos,No.,Name,Model,Best Tm,In Lap,Laps,Gap,Points
1,56,Ryan Leach,SR,1:35.632,7,7,,25
2,8,Blair Hosie,SR,1:35.973,7,7,0.515,21
3,70,James French,SR,1:36.224,7,7,1.216,18
4,34,Andy Voelkel,SR,1:36.098,7,7,0.849,16
5,7,Nico Bratz,SR,1:36.448,7,7,1.427,15
6,144,Nate Hamilton,SR,1:37.973,7,7,3.056,14
7,74,Jason Oehler,SR,1:37.448,6,7,0.571,13
8,33,Ethan Alexander,SR,1:38.061,7,7,1.599,12
9,28,Tj Hunt,SR,1:37.784,7,7,0.218,11
10,12,Bret Digiacomo,SR,1:37.155,7,7,0.196,10
11,25,Mark Charnogorsky,SR,1:37.739,7,7,0.782,9
12,58,Bill Wright,SR,1:38.045,7,7,2.270,8
13,190,John Robinson,SR,1:38.764,6,7,0.455,7
14,9,Nick Billingsley,SR,1:39.183,6,7,0.198,6
15,88,Jaylan Battley,SR,1:39.114,7,7,1.698,5
16,51,Gage Hughes,SR,1:39.116,7,7,0.286,4
17,121,Aryton Grim,SR,1:38.938,7,7,0.291,3
18,114,Bryce Mersberger,SR,1:37.453,6,7,0.389,2
19,19,Kelsey Billingsley,SR,1:39.032,6,7,1.699,1
20,81,Robert Desjardins,SR,1:39.215,6,7,0.235,0
21,75,Tom Kersting,SR,1:40.510,7,7,6.448,0
22,13,Lee Kellert,SR,1:38.481,2,7,0.353,0
23,227,Aj Campo,SR,1:40.665,7,7,1.738,0
24,99,Jared Anderson,SR,1:41.638,7,7,3.047,0
25,77,Jake Sanders,SR,1:41.408,7,7,10.080,0
26,113,Tim Burkard,SR,1:44.853,6,7,0.668,0
27,17,John Howe,SR,1:50.524,6,7,18.181,0
28,82,Pat Brady,SR,1:47.365,2,7,0.174,0
29,55,Chuck Desjardins,SR,1:50.319,7,7,1.198,0
30,71,Paul Klich,SR,1:50.390,5,7,0.501,0
31,59,Larry Brady,SR,1:41.581,4,6,1 Lap,0
32,188,Matt Wilson,SR,1:41.017,4,5,1 Lap,0
33,22,Jeremy Boysen,SR,1:42.973,2,4,1 Lap,0
Penalty Car 88: Pass Under Yellow - Finish behind passed cars 190 and 9,,,,,,,,
Penalty Car 12: Pass Under Yellow - Finish behind passed car 28,,,,,,,,
,,,,,,,,Official Results Published 16:45 6/07/25
