RUSH SR Race 2 Results PROVISIONAL,,,,,,,,
Pos,No.,Name,Class,Best Tm,In Lap,Laps,Gap,Points
1,56,Ryan Leach,SR,1:35.426,2,9,,25
2,8,Blair Hosie,SR,1:35.651,2,9,0.308,21
3,34,Andy Voelkel,SR,1:36.510,3,9,1.367,18
4,70,James French,SR,1:36.153,3,9,0.385,16
5,7,Nico Bratz,SR,1:36.247,3,9,0.034,15
6,12,Bret Digiacomo,SR,1:37.547,2,9,0.436,14
7,25,Mark Charnogorsky,SR,1:37.735,2,9,0.719,13
8,144,Nate Hamilton,SR,1:37.379,2,9,0.855,12
9,33,Ethan Alexander,SR,1:37.797,2,9,0.764,11
10,9,Nick Billingsley,SR,1:39.227,3,9,0.933,10
11,88,Jaylan Battley,SR,1:38.835,2,9,0.228,9
12,28,Tj Hunt,SR,1:40.679,9,9,0.407,8
13,58,Bill Wright,SR,1:39.778,2,9,0.434,7
14,51,Gage Hughes,SR,1:40.488,3,9,0.596,6
15,190,John Robinson,SR,1:40.507,2,9,0.742,5
16,81,Robert Desjardins,SR,1:40.513,3,9,0.119,4
17,188,Matt Wilson,SR,1:40.351,2,9,1.079,3
18,121,Aryton Grim,SR,1:40.574,3,9,0.208,2
19,227,Aj Campo,SR,1:42.409,9,9,0.516,1
20,99,Jared Anderson,SR,1:42.468,9,9,0.578,0
21,59,Larry Brady,SR,1:43.111,9,9,1.273,0
22,82,Pat Brady,SR,1:44.066,9,9,1.651,0
23,77,Jake Sanders,SR,1:43.238,9,9,0.544,0
24,113,Tim Burkard,SR,1:46.300,9,9,2.855,0
25,17,John Howe,SR,1:49.454,9,9,3.840,0
26,71,Paul Klich,SR,1:47.659,2,9,1.454,0
27,55,Chuck Desjardins,SR,1:48.003,2,9,0.770,0
28,13,Lee Kellert,SR,1:42.036,3,5,4 Laps,0
29,114,Bryce Mersberger,SR,1:40.909,2,3,2 Laps,0
30,19,Kelsey Billingsley,SR,1:41.234,2,3,42.000,0
31,75,Tom Kersting,SR,1:41.162,2,2,1 Lap,0
Penalty Car 144: Incident Responsibility Minor With Car 7 - Loss of 3 Finishing Positions,,,,,,,,
,,,,,Official Results Posted on 06/08/2025 at 07:47,,,
