RUSH SR Race 3 Results,,,,,,,,
Pos,No.,Name,Class,Best Tm,In Lap,Laps,Gap,Points
1,56,Ryan Leach,SR,1:34.488,6,9,,25
2,8,Blair Hosie,SR,1:34.677,7,9,0.255,21
3,7,Nico Bratz,SR,1:35.498,7,9,12.824,18
4,34,Andy Voelkel,SR,1:36.182,8,9,4.346,16
5,12,Bret Digiacomo,SR,1:36.806,2,9,1.803,15
6,25,Mark Charnogorsky,SR,1:36.911,8,9,4.284,14
7,88,Jaylan Battley,SR,1:36.888,8,9,6.343,13
8,9,Nick Billingsley,SR,1:37.800,8,9,1.594,12
9,33,Ethan Alexander,SR,1:37.864,2,9,1.216,11
10,28,Tj Hunt,SR,1:37.642,2,9,0.907,10
11,190,John Robinson,SR,1:37.969,4,9,0.079,9
12,74,Jason Oehler,SR,1:37.088,9,9,0.187,8
13,51,Gage Hughes,SR,1:38.002,5,9,1.558,7
14,58,Bill Wright,SR,1:37.984,8,9,0.542,6
15,81,Robert Desjardins,SR,1:37.902,8,9,0.147,5
16,13,Lee Kellert,SR,1:38.041,5,9,6.314,4
17,114,Bryce Mersberger,SR,1:37.606,8,9,4.127,3
18,144,Nate Hamilton,SR,1:37.955,7,9,1.145,2
19,188,Matt Wilson,SR,1:39.296,4,9,0.421,1
20,99,Jared Anderson,SR,1:39.896,9,9,4.900,0
21,59,Larry Brady,SR,1:39.790,3,9,1.046,0
22,82,Pat Brady,SR,1:40.334,9,9,8.836,0
23,75,Tom Kersting,SR,1:39.656,6,9,21.171,0
24,19,Kelsey Billingsley,SR,1:39.164,6,9,9.306,0
25,55,Chuck Desjardins,SR,1:45.101,3,8,1 Lap,0
26,113,Tim Burkard,SR,1:43.089,4,8,2.694,0
27,77,Jake Sanders,SR,1:39.933,5,8,4.205,0
28,71,Paul Klich,SR,1:48.091,5,8,10.401,0
29,227,Aj Campo,SR,1:39.562,7,8,33.066,0
30,70,James French,SR,1:36.325,2,5,3 Laps,0
31,17,John Howe,SR,2:06.226,3,3,2 Laps,0
"Penalty Car 144 and 58: Incident responsibility, minor, with each other - Warning to car 144 and car 58",,,,,,,,
Penalty Car 144: Incident responsibility with car 33 - Loss of 5 finishing positions,,,,,,,,
,,,,,,Official Results Posted 6/8/25 12:50,,
