TrackBattle Heat 4 Results (all groups),,,,,
Pos,No.,Name,Class,Best Time/Heat,Model
1,304,Allen Patten,TRACK MOD - RWD,1:28.894,CORVETTE
2,70,Dewey Dewitt,STREET MOD - AWD,1:31.538,IMPREZA
3,29,Kyle Mckiou,STREET MOD - RWD,1:31.726,GR SUPRA
4,150,Andy Smedegard,STREET MOD - RWD,1:31.741,S2000
5,121,Ryan Mathews,STREET MOD - RWD,1:32.856,CORVETTE
6,14,Kal Fortner,STREET MOD - RWD,1:33.524,MERCEDES-AMG GT
7,51,Jon Roed,STREET MOD - RWD,1:33.626,MX-5 MIATA
8,551,Austin Barnes,TRACK MOD - RWD,1:33.827,CORVETTE
9,444,Luca Barberis,STREET MOD - RWD,1:33.982,GR SUPRA
10,338,Ernestas Puzelis,UNLIMITED - RWD,1:34.303,CORVETTE
11,299,Colton Drescosky,TRACK MOD - RWD,1:34.339,VIPER
12,211,Ryan Mathews,STREET GT - RWD,1:34.375,CORVETTE
13,445,Justin Peachey,TRACK MOD - RWD,1:34.611,CORVETTE
14,443,Andy Holst,STREET - AWD,1:34.859,LANCER
15,212,Chris Smith,TRACK MOD - RWD,1:35.023,1 SERIES
16,33,Chris Boersma,TRACK MOD - FWD,1:35.101,CIVIC
17,171,Andrius Bertulis,UNLIMITED - RWD,1:35.182,RCF
18,1,Luke Mcgrew,STREET GT - RWD,1:35.290,CORVETTE
19,606,Christian Aranha,TRACK MOD - RWD,1:35.552,GR SUPRA
20,11,Graham Gaylord,STREET MOD - AWD,1:35.580,IMPREZA
21,364,Nicholas Hendrix,STREET GT - RWD,1:36.960,CORVETTE
22,193,Brad Moore,STREET - RWD,1:37.055,718 CAYMAN
23,128,Daniel Moore,TRACK MOD - FWD,1:37.130,CIVIC
24,773,Luie Zendejas,UNLIMITED - RWD,1:37.931,CORVETTE
25,96,Michael Young,TRACK MOD - RWD,1:37.999,CORVETTE
26,777,Joshua Halka,STREET - AWD,1:38.542,IMPREZA
27,466,Willem Drees,STREET - FWD,1:38.612,ELANTRA N
28,44,Joel Phillips,STREET GT - RWD,1:38.804 DQ,911
29,58,Grant White,STREET MOD - RWD,1:38.841,MUSTANG
30,94,Mike Bryant,CLUB TR - RWD,1:38.981,MX-5 MIATA
31,194,Mike Callaway,STREET - AWD,1:39.017,IMPREZA
32,22,Dallas Reed,STREET GT - AWD,1:39.053,CORVETTE
33,311,Jan Wildner,STREET - RWD,1:39.056,240SX
34,727,Mario Mirone,CLUB TR - FWD,1:39.062,CIVIC
35,13,Jerami Bailey,CLUB TR - RWD,1:39.077,FR-S
36,145,Devin Hofmann,STREET MOD - AWD,1:39.082,WRX
37,470,Zac Zhou,TRACK MOD - RWD,1:39.254 DQ,GALLARDO
38,326,Stan Fayngold,CLUB TR - RWD,1:39.366,FR-S
39,625,Sam Bosnian,STREET - RWD,1:39.698,350Z
40,30,Seth Brown,STREET GT - RWD,1:39.754,CORVETTE
41,310,Mike Coons,STREET - AWD,1:39.756,IMPREZA
42,511,Peter Granberg,CLUB TR - RWD,1:39.765,BRZ
43,204,Christopher Heideman,CLUB TR - RWD,1:39.828,S2000
44,228,Brad Smith,STREET GT - RWD,1:39.853,CAMARO
45,199,Ian Flavin,CLUB TR - RWD,1:40.012,BRZ
46,244,Mike Burroughs,TRACK MOD - RWD,1:40.045,244 GTK
47,451,Christopher Lewis,TRACK MOD - RWD,1:40.065,CORVETTE
48,571,John Laughlin,STREET - FWD,1:40.081,CIVIC
49,40,Ben Bulthuis,STREET GT - RWD,1:41.213,GR SUPRA
50,23,King Thao,CLUB TR - FWD,1:41.312,CIVIC
51,740,Alexis Fregoso,CLUB TR - FWD,1:41.430,RSX
52,716,Darius Zajac,TRACK MOD - RWD,1:41.445,CORVETTE
53,15,Adam Wrobel,CLUB TR - FWD,1:41.687,INTEGRA
54,718,Ruben Manrique,STREET - RWD,1:41.697,718 CAYMAN
55,238,Garrett Gloceri,CLUB TR - RWD,1:41.74*,RX-8
56,26,Arthur Dvortsen,CLUB TR - RWD,1:42.320,MX-5 MIATA
57,319,Chris Schuster,CLUB TR - RWD,1:42.435,GR86
58,241,Dariush Lotfi,CLUB TR - RWD,1:42.698,MX-5 MIATA
59,498,Bradley Folse,STREET - AWD,1:42.920,IMPREZA
60,360,Randy Ramchand,CLUB TR - RWD,1:42.960,S2000
61,83,Ben Ciric,STREET - RWD,1:42.980,370Z
62,48,Jeremy Hensley,STREET - AWD,1:43.326,IMPREZA
63,202,Rebekah Cohen,STREET - FWD,1:43.361,CIVIC TYPE R
64,598,Cory Gordinier,STREET MOD - RWD,1:43.570,MX-5 MIATA
65,67,Jonathan Denk,STREET MOD - FWD,1:44.001,CIVIC
