TrackBattle Podium Sprint Results,,,,,
Pos,No.,Name,Class,Best Time/Heat,Model/Engine
1,156,Mike Janssen,CLUB SC - FWD,1:52.126,CIVIC
2,370,Sam Deuling,CLUB SC - FWD,1:52.274,FIT
3,134,David Best,CLUB SC - FWD,1:52.275,FIT
4,144,Ryan Mukherjee,CLUB SC - FWD,1:53.072,FIT
5,91,Chris Rice,CLUB SC - FWD,1:53.641,FIT
1,326,Stan Fayngold,CLUB TR - RWD,1:39.658,FR-S
2,13,Jerami Bailey,CLUB TR - RWD,1:39.820,FR-S
3,94,Mike Bryant,CLUB TR - RWD,1:40.087,MX-5 MIATA
4,511,Peter Granberg,CLUB TR - RWD,1:40.157,BRZ
5,727,Mario Mirone,CLUB TR - FWD,,CIVIC
1,443,Andy Holst,STREET - AWD,1:35.730,LANCER
2,777,Joshua Halka,STREET - AWD,1:35.884,IMPREZA
3,55,Charles Miller,STREET - AWD,1:37.305,EVO
4,193,Brad Moore,STREET - RWD,1:38.176,718 CAYMAN
5,310,Mike Coons,STREET - AWD,1:38.869,IMPREZA
1,1,Luke Mcgrew,STREET GT - RWD,1:35.672,CORVETTE
2,211,Ryan Mathews,STREET GT - RWD,1:35.736,CORVETTE
3,364,Nicholas Hendrix,STREET GT - RWD,1:38.030,CORVETTE
4,30,Seth Brown,STREET GT - RWD,1:39.171,CORVETTE
5,22,Dallas Reed,STREET GT - AWD,1:41.189,CORVETTE
1,29,Kyle Mckiou,STREET MOD - RWD,1:31.655,GR SUPRA
2,70,Dewey Dewitt,STREET MOD - AWD,1:31.937,IMPREZA
3,150,Andy Smedegard,STREET MOD - RWD,1:32.700,S2000
4,121,Ryan Mathews,STREET MOD - RWD,1:34.027,CORVETTE
5,51,Jon Roed,STREET MOD - RWD,1:34.191,MX-5 MIATA
1,304,Allen Patten,TRACK MOD - RWD,1:32.124,CORVETTE
2,299,Colton Drescosky,TRACK MOD - RWD,1:33.327,VIPER
3,212,Chris Smith,TRACK MOD - RWD,1:35.012,1 SERIES
4,445,Justin Peachey,TRACK MOD - RWD,DNF,CORVETTE
5,551,Austin Barnes,TRACK MOD - RWD,DNS,CORVETTE
1,338,Ernestas Puzelis,UNLIMITED - RWD,1:30.656,CORVETTE
2,171,Andrius Bertulis,UNLIMITED - RWD,1:35.758,RCF
3,525,Jeremy Lowder,UNLIMITED - RWD,1:42.758,CAMARO
4,773,Luie Zendejas,UNLIMITED - RWD,DNS,CORVETTE
5,n/a,(only 4 cars were eligible for Podium Sprint in Unlimited),,,
,,,,Official Results Posted 06/08 15:25,
