GLTC Qualifying Results,,,,,
Pos,No.,Name,Model,Best Tm,Points
1,212,Andy Smedegard,GT86.24,57.692,3
2,55,Paul Darling,M3,58.007,2
3,82,Eric Kutil,CIVIC,58.110,1
4,49,Nicholas Barbato,M3,58.297,0
5,66,Aaron Leichty,CORVETTE,58.368,0
6,90,Matt Waldbaum,S2000,58.378,0
7,484,Matan Rosenberg,Corvette,58.385,0
8,85,Samuel Scott,MX-5 MIATA,58.609,0
9,374,Emile Tabb,MX-5 MIATA,58.665,0
10,330,Eric Magnussen,M3,58.700,0
11,83,Carlos Mendez,3 SERIES,58.832,0
12,917,Lena Chin,S2000,58.876,0
13,109,Dana Basinski,BRZ,58.897,0
14,243,Kevin Zhu,CIVIC,59.149,0
15,444,John Gaydos,3 SERIES,59.300,0
16,202,Jake Price,MX-5 MIATA,59.422,0
17,28,Peter Zhang,FR-S,59.467,0
18,155,Michael Pagano,116I,59.549,0
19,105,Brandon Ganem,RX-8,59.669,0
20,79,Raul Iriarte,BRZ,59.677,0
21,404,Donald Lui,BRZ,59.703,0
22,715,Salil Shukla,M3,59.718,0
23,440,Daniel Giraldo,IS,1:00.106,0
24,8,Jeff Wasilko,MX-5 MIATA,1:00.636,0
25,50,Azmath Mohammed,MR2,1:00.702,0
26,84,Thomas Lathrop,3 SERIES,1:00.848,0
27,515,Thomas Moss,MX-5 MIATA,1:01.197,0
28,888,Dai Nguyen,BRZ,1:01.536,0
29,528,Richard Sawicki,MX-5 MIATA,1:01.623,0
30,313,Chandler Roe,CIVIC,1:01.877,0
31,179,Patrick Huxley,CIVIC,1:02.002,0
32,30,Dakotta Pionek,CIVIC,1:02.301,0
33,462,Natalie Latoz,MX-5 MIATA,1:03.470,0
34,131,Lisa Keyes,CIVIC,1:11.458,0
DQ,74,Erik Dallariva,CSX,59.106,0
,,,,,
"Penalty Car 74: Impound Violation, Technical Compliance for Class - Disqualified",,,,,
,,,,,Official results 8/15 15:05
