GLTC Race 3 Results,,,,,,,,
Pos,No.,Name,Model,Best Tm,In Lap,Laps,Gap,Points
1,212,Andy Smedegard,GT86.24,58.179,10,15,,25
2,82,Eric Kutil,CIVIC,58.104,6,15,0.240,21
3,55,Paul Darling,M3,58.377,7,15,3.981,18
4,374,Emile Tabb,MX-5 MIATA,58.965,4,15,10.620,16
5,66,Aaron Leichty,CORVETTE,58.743,4,15,0.462,15
6,330,Eric Magnussen,M3,59.151,4,15,2.405,14
7,917,Lena Chin,S2000,59.182,4,15,1.039,13
8,49,Nicholas Barbato,M3,59.310,15,15,0.455,12
9,83,Carlos Mendez,3 SERIES,59.417,4,15,2.629,11
10,109,Dana Basinski,BRZ,59.195,8,15,1.044,10
11,85,Samuel Scott,MX-5 MIATA,59.071,8,15,0.130,9
12,484,Matan Rosenberg,Corvette,59.159,7,15,2.844,8
13,715,Salil Shukla,M3,59.747,10,15,4.692,7
14,74,Erik Dallariva,CSX,59.877,7,15,0.741,6
15,50,Azmath Mohammed,MR2,59.424,15,15,0.155,5
16,404,Donald Lui,BRZ,1:00.267,4,15,4.497,4
17,243,Kevin Zhu,CIVIC,59.289,14,15,0.040,3
18,105,Brandon Ganem,RX-8,59.533,4,15,5.033,2
19,313,Chandler Roe,CIVIC,1:00.796,5,15,4.863,1
20,888,Dai Nguyen,BRZ,1:00.926,5,15,4.035,0
21,444,John Gaydos,3 SERIES,59.682,4,15,0.421,0
22,84,Thomas Lathrop,3 SERIES,1:01.100,9,15,0.524,0
23,8,Jeff Wasilko,MX-5 MIATA,1:01.192,9,15,2.823,0
24,515,Thomas Moss,MX-5 MIATA,1:01.319,13,14,1 Lap,0
25,28,Peter Zhang,FR-S,59.960,13,15,3.322,0
26,79,Raul Iriarte,BRZ,59.325,8,14,0.748,0
27,30,Dakotta Pionek,CIVIC,1:01.218,9,14,1.728,0
28,440,Daniel Giraldo,IS,1:00.870,8,15,1.422,0
29,462,Natalie Latoz,MX-5 MIATA,1:01.221,5,14,0.771,0
30,528,Richard Sawicki,MX-5 MIATA,1:01.788,9,14,8.719,0
31,131,Lisa Keyes,CIVIC,1:02.545,8,14,15.915,0
32,179,Patrick Huxley,CIVIC,1:02.504,8,14,0.750,0
33,90,Matt Waldbaum,S2000,58.811,4,5,3 Laps,0
34,202,Jake Price,MX-5 MIATA,59.417,7,8,6 Laps,0
DQ,155,Michael Pagano,116I,1:00.011,7,15,,0
"Penalty Car 28: Impound Violation, Technical Compliance for Class - 10 positions",,,,,,,,
Penalty Car 202: Incident Responsibility Minor with Car 444 - 5 positions,,,,,,,,
Penalty Car 444: Incident Responsibility Minor with Car 202 - 5 positions,,,,,,,,
Penalty Car 155: Incident Responsibility Major with Car 440 - Disqualified,,,,,,,,Official 8/16 14:21
