RUSH SR Race 3 Results,,,,,,,,
Pos,No.,Name,Model,Best Tm,In Lap,Laps,Gap,Points
1,56,Ryan Leach,SR,55.292,11,12,,25
2,8,Blair Hosie,SR,55.175,11,12,0.202,21
3,70,James French,SR,55.330,12,12,0.886,18
4,34,Andy Voelkel,SR,55.637,12,12,0.971,16
5,114,Bryce Mersberger,SR,55.755,11,12,0.537,15
6,74,Jason Oehler,SR,56.069,12,12,0.906,14
7,7,Nico Bratz,SR,56.278,12,12,0.938,13
8,121,Aryton Grim,SR,56.323,11,12,1.609,12
9,144,Nate Hamilton,SR,56.727,11,12,1.222,11
10,28,Tj Hunt,SR,56.995,5,12,0.928,10
11,31,Michael Perrotti,SR,57.210,11,12,0.316,9
12,188,Matt Wilson,SR,56.969,5,12,0.325,8
13,51,Gage Hughes,SR,57.120,5,12,0.739,7
14,33,Ethan Alexander,SR,57.021,12,12,0.251,6
15,22,Jeremy Boysen,SR,58.255,12,12,2.008,5
16,77,Jake Sanders,SR,58.337,12,12,0.733,4
17,88,Jaylan Battley,SR,56.669,11,12,0.041,3
18,13,Lee Kellert,SR,57.109,12,12,3.323,2
19,171,Michael Woodward,SR,59.401,4,12,2.966,1
20,59,Larry Brady,SR,59.312,4,12,0.810,0
21,20,Bill Dorrance,SR,59.240,3,12,0.158,0
22,227,Aj Campo,SR,1:00.206,12,12,0.440,0
23,12,Bret Digiacomo,SR,57.320,5,12,0.102,0
24,71,Paul Klich,SR,1:00.931,11,12,2.136,0
25,29,Jeff Hardesty,SR,1:00.006,11,11,1 Lap,0
26,148,Joseph Tang,SR,59.245,4,4,7 Laps,0
,,,,,,,,Official results 8/16 12:21
