TrackBattle Heat 4 Results (all groups),,,,,
Pos,No.,Name,Class,Best Time/Heat,Model
1,921,Jim Rauck,UNLIMITED - FWD,51.873,CIVIC
2,70,Dewey Dewitt,STREET MOD - AWD,54.413,IMPREZA
3,33,Chris Boersma,TRACK MOD - FWD,54.979,CIVIC
4,212,Chris Smith,TRACK MOD - RWD,55.095,1 SERIES
5,369,Igor Kesilyov,TRACK MOD - AWD,55.177 DQ,MODEL S
6,379,Jake Ertel,UNLIMITED - RWD,55.384,CORVETTE
7,150,Alex Moss,STREET MOD - RWD,55.906,S2000
8,125,Jeremy Lowder,UNLIMITED - RWD,56.122,CAMARO
9,114,Bronson Mcnemar,TRACK MOD - RWD,56.523,MX-5 MIATA
10,14,Kal Fortner,STREET MOD - RWD,56.569,MERCEDES-AMG GT
11,93,John Veloso,SUPER UNLIMITED - RWD,56.860,NSX
12,211,Ryan Mathews,STREET GT - RWD,56.907,CORVETTE
13,514,Evan Mclaren,CLUB TR - FWD,57.161,INTEGRA
14,511,Peter Granberg,CLUB TR - RWD,57.578,BRZ
15,540,Bucky Lasek,TRACK MOD - AWD,57.657,WRX
16,82,Jaime Santos,STREET MOD - RWD,57.698,1 SERIES
17,404,David Bamforth,TRACK MOD - RWD,57.849,CAYMAN
18,364,Nicholas Hendrix,STREET GT - RWD,57.865,CORVETTE
19,220,Jesse Echanique,TRACK MOD - AWD,57.910,ECLIPSE
20,777,Joshua Halka,STREET - AWD,58.014,IMPREZA
21,127,Mark Johnson,UNLIMITED - RWD,58.086,CIVIC
22,13,Jerami Bailey,CLUB TR - RWD,58.701,FR-S
23,868,Steven Cheng,STREET GT - RWD,58.721,M3
24,518,Michael Budai,CLUB TR - FWD,58.783,CIVIC
25,230,Daniel Persing,CLUB TR - RWD,58.928,BRZ
26,55,Paul Darling,TRACK MOD - RWD,59.048,M3
27,470,Eddy Segal,STREET - FWD,59.150,CIVIC TYPE R
28,327,Daley Pagano,STREET GT - RWD,59.606,M4
29,997,Jason Gaydos,CLUB TR - RWD,59.644,BRZ
30,218,Jason Mulderig,CLUB TR - RWD,59.654,S2000
31,145,Devin Hofmann,STREET MOD - AWD,59.961,WRX
32,15,Adam Wrobel,CLUB TR - FWD,1:00.091,INTEGRA
33,534,Max Gourley,STREET MOD - AWD,1:00.093,WRX
34,238,Garrett Gloceri,CLUB TR - RWD,1:00.284,RX-8
35,69,Cody Umbaugh,STREET - FWD,1:00.455,CIVIC TYPE R
36,241,Dariush Lotfi,CLUB TR - RWD,1:00.456,MX-5 MIATA
37,442,Logan Geyer,CLUB TR - RWD,1:00.459,BRZ
38,40,Ben Bulthuis,STREET GT - RWD,1:00.492,GR SUPRA
39,669,Carlos Alvarez,STREET GT - RWD,1:00.524,M2
40,156,Mike Janssen,STREET GT - AWD,1:00.526,M3
41,76,Ethan Brown,STREET MOD - FWD,1:00.535,GTI
42,71,Kevin Horn,CLUB TR - RWD,1:01.009,FR-S
43,7,Thomas Halka,STREET - AWD,1:01.115,IMPREZA
44,80,Chris Nahill,STREET - FWD,1:01.504,CIVIC
45,48,Jeremy Hensley,STREET - AWD,1:01.671,IMPREZA
46,973,Luke Paglione,CLUB TR - FWD,1:01.938,INTEGRA
47,203,Christopher Gaydos,UNLIMITED - RWD,1:02.103,M3
48,67,Jonathan Denk,STREET MOD - FWD,1:02.115,CIVIC
49,244,Mike Burroughs,TRACK MOD - RWD,1:02.400,244 GTK
50,915,Dylan Rodgers,CLUB TR - RWD,1:02.458,MX-5 MIATA
51,541,Chuck Mayer,STREET - AWD,1:02.727,IMPREZA
52,198,Bruce Yhun,CLUB TR - FWD,1:03.125,CIVIC
53,401,Sean Sullivan,STREET - FWD,1:03.402,GOLF GTI
54,432,Connor Omara,CLUB TR - AWD,1:03.901,R32
55,370,Sam Deuling,CLUB SC - FWD,1:03.903,FIT
56,412,Austin Obrien,CLUB SC - FWD,1:04.210 DQ,FIT
57,262,Noah Janke,CLUB TR - RWD,1:04.707,MR2
58,328,Dominick Tucci,STREET MOD - FWD,1:05.368,FIESTA
59,357,Luis Rodriguez,CLUB SC - FWD,1:05.771,FIT
60,122,Jason Davidson,CLUB SC - FWD,1:06.107,FIT
61,986,Jeff Daniels,STREET MOD - AWD,1:06.454,OUTBACK
62,744,Ian Stone,CLUB SC - FWD,1:06.560,FIT
63,981,Tim Pforzheimer,CLUB SC - FWD,1:06.850,FIT
64,888,Amos Winter,STREET - RWD,1:08.467,911 SC
65,444,Mark Gaydos,TRACK MOD - RWD,1:12.351,3 SERIES
66,343,Matthew Reinhart,CLUB SC - FWD,1:12.715,FIT
Penalty Car 494: Change of chassis and class - Invalidate all times Heat 1-5,,,,,
"Penalty Car 412: Impound Violation, Class Compliance - Invalidate all times Heat 1-5",,,,,
"Penalty Car 369: Impound Violation, Class Compliance - Invalidate all times Heat 1-5",,,,,
,,,,,Official results 8/16
