TrackBattle Overall Results (all groups),,,,,
Pos,No.,Name,Class,Best Time/Heat,Model
1,921,Jim Rauck,UNLIMITED - FWD,51.873,CIVIC
2,687,Jackie Ding,TRACK MOD - RWD,54.168,M2
3,70,Dewey Dewitt,STREET MOD - AWD,54.413,IMPREZA
4,33,Chris Boersma,TRACK MOD - FWD,54.883,CIVIC
5,369,Igor Kesilyov,TRACK MOD - AWD,54.999,MODEL S
6,212,Chris Smith,TRACK MOD - RWD,55.095,1 SERIES
7,494,Tom Ogorman,TRACK MOD - RWD,55.359,442
8,379,Jake Ertel,UNLIMITED - RWD,55.384,CORVETTE
9,150,Alex Moss,STREET MOD - RWD,55.450,S2000
10,125,Jeremy Lowder,UNLIMITED - RWD,56.122,CAMARO
11,14,Kal Fortner,STREET MOD - RWD,56.264,MERCEDES-AMG GT
12,93,John Veloso,SUPER UNLIMITED - RWD,56.498,NSX
13,114,Bronson Mcnemar,TRACK MOD - RWD,56.523,MX-5 MIATA
14,364,Nicholas Hendrix,STREET GT - RWD,56.756,CORVETTE
15,511,Peter Granberg,CLUB TR - RWD,56.855,BRZ
16,211,Ryan Mathews,STREET GT - RWD,56.907,CORVETTE
17,82,Jaime Santos,STREET MOD - RWD,56.910,1 SERIES
18,514,Evan Mclaren,CLUB TR - FWD,57.161,INTEGRA
19,404,David Bamforth,TRACK MOD - RWD,57.310,CAYMAN
20,540,Bucky Lasek,TRACK MOD - AWD,57.657,WRX
21,909,Mark Kilgore,STREET GT - RWD,57.795,M4
22,777,Joshua Halka,STREET - AWD,57.838,IMPREZA
23,63,Rich Kirouac,UNLIMITED - RWD,57.859,CORVETTE
24,55,Paul Darling,TRACK MOD - RWD,57.882,M3
25,220,Jesse Echanique,TRACK MOD - AWD,57.910,ECLIPSE
26,127,Mark Johnson,UNLIMITED - FWD,58.086,CIVIC
27,868,Steven Cheng,STREET GT - RWD,58.183,M3
28,13,Jerami Bailey,CLUB TR - RWD,58.701,FR-S
29,167,Michael Kosior,STREET MOD - AWD,58.764,LANCER
30,518,Michael Budai,CLUB TR - FWD,58.783,CIVIC
31,387,Clay Coughlin,SUPER UNLIMITED - RWD,58.815,Cardinal
32,230,Daniel Persing,CLUB TR - RWD,58.817,BRZ
33,470,Eddy Segal,STREET - FWD,59.150,CIVIC TYPE R
34,669,Carlos Alvarez,STREET GT - RWD,59.413,M2
35,327,Daley Pagano,STREET GT - RWD,59.477,M4
36,997,Jason Gaydos,CLUB TR - RWD,59.528,BRZ
37,241,Dariush Lotfi,CLUB TR - RWD,59.547,MX-5 MIATA
38,218,Jason Mulderig,CLUB TR - RWD,59.601,S2000
39,534,Max Gourley,STREET MOD - AWD,59.603,WRX
40,244,Mike Burroughs,TRACK MOD - RWD,59.764,244 GTK
41,145,Devin Hofmann,STREET MOD - AWD,59.809,WRX
42,15,Adam Wrobel,CLUB TR - FWD,59.880,INTEGRA
43,442,Logan Geyer,CLUB TR - RWD,1:00.160,BRZ
44,238,Garrett Gloceri,CLUB TR - RWD,1:00.284,RX-8
45,71,Kevin Horn,CLUB TR - RWD,1:00.311,FR-S
46,156,Mike Janssen,STREET GT - AWD,1:00.348,M3
47,40,Ben Bulthuis,STREET GT - RWD,1:00.372,GR SUPRA
48,973,Luke Paglione,CLUB TR - FWD,1:00.438,INTEGRA
49,69,Cody Umbaugh,STREET - FWD,1:00.455,CIVIC TYPE R
50,2,Connor Gallagher,STREET GT - AWD,1:00.517,GT-R
51,76,Ethan Brown,STREET MOD - FWD,1:00.535,GTI
52,7,Thomas Halka,STREET - AWD,1:01.115,IMPREZA
53,48,Jeremy Hensley,STREET - AWD,1:01.126,IMPREZA
54,203,Christopher Gaydos,UNLIMITED - RWD,1:01.132,M3
55,67,Jonathan Denk,STREET MOD - FWD,1:01.301,CIVIC
56,262,Noah Janke,CLUB TR - RWD,1:01.469,MR2
57,80,Chris Nahill,STREET - FWD,1:01.504,CIVIC
58,915,Dylan Rodgers,CLUB TR - RWD,1:01.987,MX-5 MIATA
59,541,Chuck Mayer,STREET - AWD,1:02.137,IMPREZA
60,198,Bruce Yhun,CLUB TR - FWD,1:02.750,CIVIC
61,432,Connor Omara,CLUB TR - AWD,1:02.969,R32
62,401,Sean Sullivan,STREET - FWD,1:02.979,GOLF GTI
63,370,Sam Deuling,CLUB SC - FWD,1:03.903,FIT
64,818,Jonny Grunwald,TRACK MOD - RWD,1:04.036,RX-7
65,328,Dominick Tucci,STREET MOD - FWD,1:04.387,FIESTA
66,412,Austin Obrien,CLUB SC - FWD,1:04.802,FIT
67,357,Luis Rodriguez,CLUB SC - FWD,1:05.121,FIT
68,986,Jeff Daniels,STREET MOD - AWD,1:05.956,OUTBACK
69,122,Jason Davidson,CLUB SC - FWD,1:06.107,FIT
70,888,Amos Winter,STREET - RWD,1:06.190,911 SC
71,981,Tim Pforzheimer,CLUB SC - FWD,1:06.324,FIT
72,744,Ian Stone,CLUB SC - FWD,1:06.496,FIT
73,343,Matthew Reinhart,CLUB SC - FWD,1:09.977,FIT
74,444,Mark Gaydos,TRACK MOD - RWD,1:11.270,3 SERIES
Penalty Car 494: Change of chassis and/or Class - Invalidate all times Heat 1-5,,,,,
"Penalty Car 412: Impound Violation, Class Compliance - Invalidate all times Heat 1-5",,,,,
"Penalty Car 369: Impound Violation, Class Compliance - Invalidate all times Heat 1-5",,,,,
,,,,,Updated 8/16 17:57
