GLTC Qualifying Results,,,,,
Pos,No.,Name,Class,Best Tm,Points
1,57,Christian Aranha,GLTC - RWD,1:35.385,3
2,484,Matan Rosenberg,GLTC - RWD,1:36.088,2
3,82,Eric Kutil,GLTC - FWD,1:36.089,1
4,41,James Houghton,GLTC - FWD,1:36.198,0
5,17,Tony Marchev,GLTC - RWD,1:36.358,0
6,330,Eric Magnussen,GLTC - RWD,1:36.442,0
7,90,Matt Waldbaum,GLTC - RWD,1:36.798,0
8,3,Erik Meadows,GLTC - RWD,1:36.848,0
9,46,Ryan Kristoff,GLTC - FWD,1:36.992,0
10,129,James Cathers,GLTC - RWD,1:37.127,0
11,243,Kevin Zhu,GLTC - FWD,1:37.224,0
12,200,RJ Till,GLTC - RWD,1:37.407,0
13,34,Austin Hertel,GLTC - RWD,1:37.424,0
14,1,Gary Wimble,GLTC - RWD,1:38.096,0
15,10,Brian Tyson,GLTC - FWD,1:38.332,0
16,155,Michael Pagano,GLTC - FWD,1:38.367,0
17,184,Eric Jensen,GLTC - RWD,1:38.478,0
18,79,Raul Iriarte,GLTC - RWD,1:38.527,0
19,5,Kevin Bandy,GLTC - RWD,1:38.832,0
20,83,Carlos Mendez,GLTC - RWD,1:38.977,0
21,84,Thomas Lathrop,GLTC - RWD,1:39.514,0
22,144,Vytis Aranauskas,GLTC - RWD,1:39.724,0
23,610,Benjamin Swanson,GLTC - AWD,1:39.966,0
24,28,Peter Zhang,GLTC - RWD,1:39.981,0
25,71,Joel Morrison,GLTC - RWD,1:40.611,0
26,33,Justin Lee,GLTC - RWD,1:41.099,0
27,888,Dai Nguyen,GLTC - RWD,1:41.385,0
28,27,Robert Rosa,GLTC - RWD,1:41.478,0
29,89,Tom Panzarella,GLTC - FWD,1:41.665,0
30,37,Bryan Leonard,GLTC - RWD,1:41.999,0
31,131,Lisa Keyes,GLTC - FWD,1:42.208,0
32,100,Andrew Cowden,GLTC - RWD,1:42.459,0
33,50,Azmath Mohammed,GLTC - RWD,1:44.586,0
34,462,Natalie Latoz,GLTC - RWD,1:45.824,0
35,23,Brian Santiago,GLTC - FWD,1:46.001,0
36,944,Dan Precourt,GLTC - RWD,1:50.390,0
37,369,Zachary Mortimer,GLTC - RWD,1:37.848,0
"Penalty, Car 369: Impound violation - Qualifying times invalidated. -5/9/25 11:27",,,,,
Official Results published. 5/9/25 11:27,,,,,
