GLTC Race 1 Results,,,,,,,,
Pos,No.,Name,Model,Best Tm,In Lap,Laps,Gap,Points
1,484,Matan Rosenberg,CORVETTE,1:36.532,2,8,,25
2,57,Christian Aranha,CORVETTE,1:36.596,2,8,0.524,21
3,41,James Houghton,CSX,1:37.025,8,8,1.374,18
4,82,Eric Kutil,CIVIC,1:36.835,8,8,6.410,16
5,17,Tony Marchev,CORVETTE,1:36.998,3,8,2.841,15
6,330,Eric Magnussen,M3,1:37.206,3,8,0.829,14
7,90,Matt Waldbaum,S2000,1:37.126,4,8,0.114,13
8,129,James Cathers,M3,1:37.451,6,8,0.936,12
9,46,Ryan Kristoff,TCRX,1:37.539,7,8,0.990,11
10,34,Austin Hertel,370z,1:37.338,5,8,0.761,10
11,243,Kevin Zhu,CIVIC,1:37.683,5,8,4.983,9
12,1,Gary Wimble,CORVETTE,1:38.167,6,8,3.048,8
13,184,Eric Jensen,FR-S,1:38.790,7,8,3.508,7
14,200,RJ Till,325IS,1:38.589,2,8,0.506,6
15,10,Brian Tyson,CIVIC,1:38.900,5,8,1.866,5
16,83,Carlos Mendez,3 SERIES,1:39.376,6,8,0.642,4
17,5,Kevin Bandy,MX-5 MIATA,1:39.448,3,8,6.506,3
18,2,Aryton Grim,MX-5 MIATA,1:38.349,5,8,0.475,2
19,155,Michael Pagano,116I,1:39.723,5,8,2.335,1
20,610,Benjamin Swanson,IMPREZA,1:40.630,6,8,2.475,0
21,84,Thomas Lathrop,3 SERIES,1:41.400,8,8,5.974,0
22,27,Robert Rosa,3 SERIES,1:42.243,6,8,3.425,0
23,71,Joel Morrison,S2000,1:41.714,5,8,0.520,0
24,33,Justin Lee,MX-5 MIATA,1:42.649,2,8,0.301,0
25,131,Lisa Keyes,CIVIC,1:41.511,5,8,0.561,0
26,888,Dai Nguyen,BRZ,1:41.850,5,8,0.649,0
27,89,Tom Panzarella,JETTA,1:42.177,6,8,0.024,0
28,37,Bryan Leonard,FR-S,1:42.566,6,8,0.736,0
29,462,Natalie Latoz,MX-5 MIATA,1:44.678,5,8,21.085,0
30,944,Dan Precourt,944,1:47.471,7,8,23.823,0
31,369,Zachary Mortimer,3 SERIES,1:38.675,3,7,1 Lap,0
32,79,Raul Iriarte,BRZ,1:40.217,3,6,1 Lap,0
33,23,Brian Santiago,FOCUS ST,1:47.993,6,6,52.886,0
34,144,Vytis Aranauskas,M3,1:39.931,3,5,1 Lap,0
35,50,Azmath Mohammed,MR2,1:44.155,2,3,2 Laps,0
36,3,Erik Meadows,CORVETTE,1:38.640,2,2,1 Lap,0
37,100,Andrew Cowden,MX-5 MIATA,1:49.913,1,1,1 Lap,0
DQ,28,Peter Zhang,FR-S,1:39.576,3,8,7.619,0
Provisional Results published - 5/9/25 12:30,,,,,,,,
Official Results published - 5/9/25 15:48,,,,,,,,
"Penalty - Car 28, Impound Violation, DQ - 5/9/25 15:48",,,,,,,,
