GLTC Race 3 Results,,,,,,,,
Pos,No.,Name,Class,Best Tm,In Lap,Laps,Gap,Points
1,484,Matan Rosenberg,GLTC - RWD,1:47.709,6,7,,25
2,82,Eric Kutil,GLTC - FWD,1:47.901,3,7,0.793,21
3,90,Matt Waldbaum,GLTC - RWD,1:47.871,5,7,2.987,18
4,2,Aryton Grim,GLTC - RWD,1:48.616,4,7,4.385,16
5,330,Eric Magnussen,GLTC - RWD,1:49.243,3,7,6.499,15
6,243,Kevin Zhu,GLTC - FWD,1:49.189,3,7,0.443,14
7,41,James Houghton,GLTC - FWD,1:48.370,3,7,4.556,13
8,129,James Cathers,GLTC - RWD,1:50.358,6,7,1.025,12
9,46,Ryan Kristoff,GLTC - FWD,1:51.241,5,7,7.247,11
10,184,Eric Jensen,GLTC - RWD,1:50.347,3,7,2.626,10
11,84,Thomas Lathrop,GLTC - RWD,1:51.727,3,7,3.072,9
12,83,Carlos Mendez,GLTC - RWD,1:50.197,3,7,8.746,8
13,71,Joel Morrison,GLTC - RWD,1:53.207,6,7,11.664,7
14,1,Gary Wimble,GLTC - RWD,1:54.972,4,7,4.157,6
15,28,Peter Zhang,GLTC - RWD,1:55.295,6,7,2.857,5
16,33,Justin Lee,GLTC - RWD,1:55.584,6,7,1.421,4
17,610,Benjamin Swanson,GLTC - AWD,1:55.012,6,7,0.455,3
18,200,RJ Till,GLTC - RWD,1:54.536,4,7,1.532,2
19,10,Brian Tyson,GLTC - FWD,1:53.922,6,7,0.2,1
20,34,Austin Hertel,GLTC - RWD,1:54.062,5,7,1.028,0
21,23,Brian Santiago,GLTC - FWD,1:55.202,5,7,0.448,0
22,462,Natalie Latoz,GLTC - RWD,1:56.670,6,7,8.073,0
23,27,Robert Rosa,GLTC - RWD,1:55.469,7,7,0.875,0
24,89,Tom Panzarella,GLTC - FWD,1:56.262,4,7,0.469,0
25,37,Bryan Leonard,GLTC - RWD,1:55.556,7,7,1.013,0
26,3,Erik Meadows,GLTC - RWD,1:59.531,2,7,16.557,0
27,888,Dai Nguyen,GLTC - RWD,1:58.569,7,7,3.512,0
28,79,Raul Iriarte,GLTC - RWD,1:57.433,5,7,1.948,0
29,100,Andrew Cowden,GLTC - RWD,1:55.353,4,5,2 Laps,0
30,944,Dan Precourt,GLTC - RWD,2:07.928,5,5,4:46.829,0
DQ,155,Michael Pagano,GLTC - FWD,1:53.901,5,7,0.523,0
32,16,Robert Mcdaniels,GLTC - FWD,2:00.785,2,3,2 Laps,0
DQ,131,Lisa Keyes,GLTC - FWD,2:00.755,2,3,,0
DQ,5,Kevin Bandy,GLTC - RWD,2:51.701,1,1,2 Laps,0
Provisional Results Published - 5/10/25 10:20,,,,,,,,
Official Results Published - 5/10/25 14:10,,,,,,,,
"Penalty - Car 155, Shared Incident Responsibility, loss of 10 finishing positions 5/10/25 14:10",,,,,,,,
"Penalty - Car 5, Shared Incident Responsibility, loss of 10 finishing positions 5/10/25 14:10",,,,,,,,
"Penalty - Car 131, Incident Responsibility, DQ 5/10/25 14:10",,,,,,,,
