RUSH Race 2 Results,,,,,,,,
Pos,No.,Name,Model/Engine,Best Tm,In Lap,Laps,Gap,Points
1,5,Rob Radmann,SRX,1:32.976,1,8,0.937,25
2,69,Cheddar O'Brien,SRX,1:43.622,5,7,1 Lap,21
3,2,Michael Schneider,SRX,1:33.702,4,4,3 Laps,18
4,8,Blair Hosie,SRX,1:29.395,3,3,1 Lap,16
5,56,Ryan Leach,SR,1:33.113,5,8,,25
6,34,Andy Voelkel,SR,1:33.621,3,8,3.356,21
7,70,James French,SR,1:33.374,3,8,9.675,18
8,253,Hasan Ahmed,SR,1:35.349,3,8,6.250,16
9,33,Ethan Alexander,SR,1:35.120,3,8,0.237,15
10,190,John Robinson,SR,1:35.318,8,8,0.588,14
11,74,Jason Oehler,SR,1:35.423,6,8,1.965,13
12,18,Darius Garcia,SR,1:35.557,3,8,0.162,12
13,188,Matt Wilson,SR,1:35.289,4,8,0.138,11
14,88,Jaylan Battley,SR,1:34.293,8,8,1.552,10
15,28,Tj Hunt,SR,1:37.141,3,8,9.596,9
16,199,Michael Neff,SR,1:36.711,6,8,2.307,8
17,144,Nate Hamilton,SR,1:36.501,5,8,7.448,7
18,53,Evan Shanks,SR,1:37.254,6,8,0.947,6
19,256,Samuel Reed,SR,1:37.870,6,8,0.067,5
20,22,Jeremy Boysen,SR,1:37.701,3,8,0.096,4
21,58,Bill Wright,SR,1:38.041,8,8,5.370,3
22,59,Larry Brady,SR,1:38.938,8,8,3.239,2
23,51,Jeff Hughes,SR,1:38.250,5,8,0.932,1
24,133,Grant Anderson,SR,1:39.251,8,8,6.510,0
25,30,Vilas Saldanha,SR,1:40.250,6,8,0.910,0
26,227,Aj Campo,SR,1:40.047,6,8,3.689,0
27,333,Andrew Lee,SR,1:40.004,7,8,1.480,0
28,17,John Howe,SR,1:49.785,2,7,5.321,0
Provisional Results published - 5/9/25 13:47,,,,,,,,
Official Results published - 5/9/25 1433,,,,,,,,
"Penalty - Car 53, Incident responsibility minor, Loss of 1 finishing position",,,,,,,,
"Penalty - Car 70, Technical Infraction, Warning 5/9/25 18:48",,,,,,,,
"Penalty - Car 188, Technical Infraction, Warning 5/9/25 18:48",,,,,,,,
