RUSH Race 3 Results,,,,,,,,
Pos,No.,Name,Class,Best Tm,In Lap,Laps,Gap,Points
1,2,Michael Schneider,RUSH SRX - RWD,1:39.248,4,7,,25
2,69,Cheddar O'Brien,RUSH SRX - RWD,1:48.561,7,7,0.283,21
3,5,Rob Radmann,RUSH SRX - RWD,1:36.912,2,4,2 Laps,18
4,8,Blair Hosie,RUSH SRX - RWD,1:38.973,2,2,2 Laps,16
1,56,Ryan Leach,RUSH SR - RWD,1:40.085,3,7,0.927,25
2,34,Andy Voelkel,RUSH SR - RWD,1:40.459,2,7,1.386,21
3,70,James French,RUSH SR - RWD,1:40.413,4,7,0.892,18
4,88,Jaylan Battley,RUSH SR - RWD,1:40.520,3,7,0.306,16
5,253,Hasan Ahmed,RUSH SR - RWD,1:41.032,4,7,0.32,15
6,28,Tj Hunt,RUSH SR - RWD,1:44.892,3,7,2.248,14
7,18,Darius Garcia,RUSH SR - RWD,1:43.023,4,7,0.098,13
8,74,Jason Oehler,RUSH SR - RWD,1:44.239,4,7,0.417,12
9,53,Evan Shanks,RUSH SR - RWD,1:44.860,4,7,0.892,11
10,30,Vilas Saldanha,RUSH SR - RWD,1:47.271,2,7,2.827,10
11,33,Ethan Alexander,RUSH SR - RWD,1:40.544,3,7,0.348,9
12,51,Jeff Hughes,RUSH SR - RWD,1:46.927,2,7,0.43,8
13,256,Samuel Reed,RUSH SR - RWD,1:46.657,2,7,0.761,7
14,227,Aj Campo,RUSH SR - RWD,1:50.156,7,7,1.216,6
15,12,Bret Digiacomo,RUSH SR - RWD,1:49.934,7,7,0.363,5
16,133,Grant Anderson,RUSH SR - RWD,1:51.771,7,7,1.364,4
17,17,John Howe,RUSH SR - RWD,1:52.343,7,7,1.76,3
18,144,Nate Hamilton,RUSH SR - RWD,1:46.505,2,7,4.802,2
19,190,John Robinson,RUSH SR - RWD,1:55.956,3,7,1.79,1
20,199,Michael Neff,RUSH SR - RWD,1:56.317,7,7,1.002,0
21,333,Andrew Lee,RUSH SR - RWD,1:57.967,3,7,5.878,0
22,188,Matt Wilson,RUSH SR - RWD,1:44.775,2,6,1 Lap,0
23,59,Larry Brady,RUSH SR - RWD,1:55.986,1,1,1 Lap,0
Provisional Results Published - 5/10/25 10:20,,,,,,,,
Official Results Published - 5/10/25 10:23,,,,,,,,
