RUSH Qualifying Results,,,,,
Pos,No.,Name,Class,Best Tm,Points
1,5,Rob Radmann,SRX,1:30.092,3
2,46,John Ulmer,SRX,1:34.387,2
3,2,Michael Schneider,SRX,1:38.394,1
4,69,Cheddar O'Brien,SRX,1:49.400,0
1,70,James French,SR,1:33.395,3
2,56,Ryan Leach,SR,1:33.585,2
3,34,Andy Voelkel,SR,1:33.858,1
4,7,Nico Bratz,SR,1:33.972,0
5,190,John Robinson,SR,1:34.589,0
6,33,Ethan Alexander,SR,1:34.817,0
7,253,Hasan Ahmed,SR,1:35.212,0
8,12,Bret Digiacomo,SR,1:35.445,0
9,74,Jason Oehler,SR,1:35.952,0
10,188,Matt Wilson,SR,1:37.226,0
11,18,Darius Garcia,SR,1:37.761,0
12,58,Bill Wright,SR,1:37.973,0
13,53,Evan Shanks,SR,1:38.212,0
14,144,Nate Hamilton,SR,1:38.213,0
15,28,Tj Hunt,SR,1:38.532,0
16,199,Michael Neff,SR,1:39.266,0
17,59,Larry Brady,SR,1:39.702,0
18,88,Jaylan Battley,SR,1:39.853,0
19,30,Vilas Saldanha,SR,1:39.874,0
20,22,Jeremy Boysen,SR,1:40.452,0
21,256,Samuel Reed,SR,1:40.800,0
22,51,Jeff Hughes,SR,1:40.940,0
23,227,Aj Campo,SR,1:42.313,0
24,133,Grant Anderson,SR,1:43.872,0
25,333,Andrew Lee,SR,1:44.156,0
26,17,John Howe,SR,1:48.904,0
