TrackBattle Heat 1 Results (all groups),,,,,
Pos,No.,Name,Class,Best Time/Heat,Model
1,722,Feras Qartoumy,UNLIMITED - RWD,1:22.210,CORVETTE
2,196,Patrick Wilmot,UNLIMITED - RWD,1:26.985,MX-5 MIATA
3,687,Jackie Ding,TRACK MOD - RWD,1:28.850,M2
4,903,Alexander Gallardo,UNLIMITED - RWD,1:29.326,350Z
5,338,Ernestas Puzelis,UNLIMITED - RWD,1:30.491,CORVETTE C6
6,121,Ryan Mathews,STREET MOD - RWD,1:31.350,CORVETTE
7,70,Dewey Dewitt,STREET MOD - AWD,1:31.942,IMPREZA
8,14,Kal Fortner,STREET MOD - RWD,1:32.657,MERCEDES-AMG GT
9,773,Luie Zendejas,UNLIMITED - RWD,1:32.702,CORVETTE
10,82,Jaime Santos,STREET MOD - RWD,1:32.727,1 SERIES
11,440,Jonathan Wheeler,STREET MOD - RWD,1:33.218,370Z
12,171,Andrius Bertulis,UNLIMITED - RWD,1:33.729,RCF
13,4,Kevin Parlett,UNLIMITED - RWD,1:33.968,G
14,33,Chris Boersma,TRACK MOD - FWD,1:34.003,CIVIC
15,63,Luca Barberis,STREET - AWD,1:34.069,LANCER
16,525,Jeremy Lowder,UNLIMITED - RWD,1:34.120,CAMARO
17,212,Chris Smith,TRACK MOD - RWD,1:34.613,1 SERIES
18,909,Mark Kilgore,STREET GT - RWD,1:34.690,M4
19,717,Luke Mcgrew,STREET GT - RWD,1:34.899,Z06
20,777,Joshua Halka,STREET - AWD,1:35.307,IMPREZA
21,284,Jack Haddix,UNLIMITED - RWD,1:35.326,3 SERIES
22,211,Ryan Mathews,STREET GT - RWD,1:35.637,CORVETTE
23,35,Jason Guzman,TRACK MOD - AWD,1:35.799,GT-R
24,22,Team VitourP1.com,UNLIMITED - RWD,1:36.039,CORVETTE
25,333,Tony Barber,TRACK MOD - RWD,1:36.891,350Z
26,985,Dayton Delahoussaye,STREET MOD - RWD,1:37.563,MX-5 MIATA
27,949,Evin Degirmencioglu,STREET GT - RWD,1:37.782,MUSTANG
28,204,Christopher Heideman,CLUB TR - RWD,1:38.152,S2000
29,9,Matthew Bowers,STREET GT - RWD,1:38.279,CORVETTE
30,511,Peter Granberg,CLUB TR - RWD,1:38.374,BRZ
31,514,Evan Mclaren,CLUB TR - FWD ,1:38.783,INTEGRA
32,13,Jerami Bailey,CLUB TR - RWD,1:39.525,FR-S
33,94,Mike Bryant,CLUB TR - RWD,1:39.809,MX-5 MIATA
34,40,Ben Bulthuis,STREET GT - RWD,1:40.182,GR SUPRA
35,18,Kevin Vue,CLUB TR - FWD,1:40.418,INTEGRA
36,269,Shawn Bassett,UNLIMITED - RWD,1:40.664,240Z
37,470,Eddy Segal,STREET - FWD,1:40.708,CIVIC TYPE R
38,404,David Bamforth,TRACK MOD - RWD,1:40.921,CAYMAN
39,199,Ian Flavin,CLUB TR - RWD,1:41.107,BRZ
40,230,Daniel Persing,CLUB TR - RWD,1:42.904,BRZ
41,466,Willem Drees,STREET - FWD,1:43.137,ELANTRA N
42,421,Logan Kenseth,STREET MOD - RWD,1:43.223,CTS
43,145,Devin Hofmann,STREET MOD - AWD,1:43.348,WRX
44,498,Bradley Folse,STREET - AWD,1:43.678,IMPREZA
45,675,Nick Aegerter,STREET - AWD,1:43.719,FOCUS
46,504,Kameron Newman,STREET MOD - RWD,1:44.146,BRZ
47,100,Joshua Briggs,UNLIMITED - RWD,1:44.673,MX-5 MIATA
48,961,John Veloso,SUPER UNLIMITED - RWD,1:44.813,NSX
49,96,Michael Young,TRACK MOD - RWD,1:44.991,Z06
50,740,Alexis Fregoso,CLUB TR - FWD,1:45.083,RSX
51,224,Mike Day,CLUB TR - RWD,1:45.167,MX-5 MIATA
52,69,Cody Umbaugh,STREET - FWD,1:46.219,CIVIC TYPE R
53,218,Jason Mulderig,CLUB TR - RWD,1:46.345,S2000
54,58,Grant White,STREET MOD - RWD,1:46.381,MUSTANG
55,83,Ben Ciric,STREET - RWD,1:46.909,370Z
56,202,Rebekah Cohen,STREET - FWD,1:47.828,CIVIC TYPE R
57,48,Jeremy Hensley,STREET - AWD,1:48.006,IMPREZA
58,806,Jordan Gunther,CLUB TR - RWD,1:49.377,BRZ
59,97,Mark Matyac,STREET GT - RWD,1:49.991,3 SERIES
60,129,Matt Williams,CLUB SC - FWD,1:50.932,FIT
61,67,Jonathan Denk,STREET MOD - FWD,1:51.298,CIVIC
62,130,James Smith,CLUB SC - FWD,1:51.626,FIT
63,411,Chris Rice,CLUB SC - FWD,1:51.685,FIT
64,144,Ryan Mukherjee,CLUB SC - FWD,1:52.745,FIT
65,156,Mike Janssen,CLUB SC - FWD,1:53.828,CIVIC
66,370,Sam Deuling,- FWD,1:54.227,FIT
67,116,Lennon Radcliffe,CLUB SC - FWD,1:54.522,COROLLA
68,7,Thomas Halka,STREET - AWD,1:56.570,IMPREZA
69,216,Nickolas Berg,CLUB SC - FWD,1:57.595,FIT
70,184,Trip Walker,CLUB SC - FWD,2:04.740,FIT
71,727,Mario Mirone,CLUB TR -,,CIVIC
72,55,Charles Miller,STREET - AWD,,LANCER
73,310,Mike Coons,STREET - AWD,,IMPREZA
74,571,John Laughlin,STREET - FWD,,CIVIC
75,194,Mike Callaway,STREET - AWD,,IMPREZA
76,830,Eric Fleming,UNLIMITED - RWD,,CORVETTE
Official Results published - 5/9/25 10:15,,,,,
