TrackBattle Overall Results (all groups),,,,,
Pos,No.,Name,Class,Best Time/Heat,Model
1,722,Feras Qartoumy,UNLIMITED - RWD,1:20.223,CORVETTE
2,830,Eric Fleming,UNLIMITED - RWD,1:22.168,CORVETTE
3,304,Allen Patten,TRACK MOD - RWD,1:22.706,CORVETTE
4,687,Jackie Ding,TRACK MOD - RWD,1:25.316,M2
5,196,Patrick Wilmot,UNLIMITED - RWD,1:25.911,MX-5 MIATA
6,338,Ernestas Puzelis,UNLIMITED - RWD,1:27.823,CORVETTE C6
7,121,Ryan Mathews,STREET MOD - RWD,1:29.183,CORVETTE
8,903,Alexander Gallardo,UNLIMITED - RWD,1:29.326,350Z
9,284,Jack Haddix,UNLIMITED - RWD,1:29.515,3 SERIES
10,70,Dewey Dewitt,STREET MOD - AWD,1:30.107,IMPREZA
11,82,Jaime Santos,STREET MOD - RWD,1:30.863,1 SERIES
12,171,Andrius Bertulis,UNLIMITED - RWD,1:31.213,RCF
13,35,Jason Guzman,TRACK MOD - AWD,1:31.217,GT-R
14,525,Jeremy Lowder,UNLIMITED - RWD,1:31.250,CAMARO
15,33,Chris Boersma,TRACK MOD - FWD,1:31.293,CIVIC
16,14,Kal Fortner,STREET MOD - RWD,1:31.511,MERCEDES-AMG GT
17,773,Luie Zendejas,UNLIMITED - RWD,1:31.690,CORVETTE
18,440,Jonathan Wheeler,STREET MOD - RWD,1:32.186,370Z
19,717,Luke Mcgrew,STREET GT - RWD,1:32.350,Z06
20,211,Ryan Mathews,STREET GT - RWD,1:32.771,CORVETTE
21,909,Mark Kilgore,STREET GT - RWD,1:32.822,M4
22,961,John Veloso,SUPER UNLIMITED - RWD,1:33.288,NSX
23,4,Kevin Parlett,UNLIMITED - RWD,1:33.293,G
24,777,Joshua Halka,STREET - AWD,1:33.822,IMPREZA
25,22,Team VitourP1.com,TRACK MOD - RWD,1:33.963,CORVETTE
26,63,Luca Barberis,STREET - AWD,1:34.069,LANCER
27,212,Chris Smith,TRACK MOD - RWD,1:34.613,1 SERIES
28,269,Shawn Bassett,UNLIMITED - RWD,1:35.079,240Z
29,404,David Bamforth,TRACK MOD - RWD,1:35.319,CAYMAN
30,985,Dayton Delahoussaye,STREET MOD - RWD,1:35.392,MX-5 MIATA
31,333,Tony Barber,TRACK MOD - RWD,1:36.891,350Z
32,96,Michael Young,TRACK MOD - RWD,1:37.189,Z06
33,18,Kevin Vue,CLUB TR - FWD,1:37.425,INTEGRA
34,58,Grant White,STREET MOD - RWD,1:37.513,MUSTANG
35,727,Mario Mirone,CLUB TR - FWD,1:37.557,CIVIC
36,466,Willem Drees,STREET - FWD,1:37.563,ELANTRA N
37,949,Evin Degirmencioglu,STREET GT - RWD,1:37.782,MUSTANG
38,204,Christopher Heideman,CLUB TR - RWD,1:38.152,S2000
39,199,Ian Flavin,CLUB TR - RWD,1:38.263,BRZ
40,9,Matthew Bowers,STREET GT - RWD,1:38.279,CORVETTE
41,571,John Laughlin,STREET - FWD,1:38.329,CIVIC
42,511,Peter Granberg,CLUB TR - RWD,1:38.374,BRZ
43,13,Jerami Bailey,CLUB TR - RWD,1:38.437,FR-S
44,40,Ben Bulthuis,STREET GT - RWD,1:38.490,GR SUPRA
45,470,Eddy Segal,STREET - FWD,1:38.575,CIVIC TYPE R
46,94,Mike Bryant,CLUB TR - RWD,1:38.762,MX-5 MIATA
47,514,Evan Mclaren,CLUB TR - FWD,1:38.783,INTEGRA
48,145,Devin Hofmann,STREET MOD - AWD,1:38.992,WRX
49,711,Hang Hu,TRACK MOD - RWD,1:39.009,MERCEDES-AMG GT
50,69,Cody Umbaugh,STREET - FWD,1:40.080,CIVIC TYPE R
51,504,Kameron Newman,STREET MOD - RWD,1:40.162,BRZ
52,421,Logan Kenseth,STREET MOD - RWD,1:40.696,CTS
53,230,Daniel Persing,CLUB TR - RWD,1:40.883,BRZ
54,540,Charles Bucky Lasek,STREET - AWD,1:41.247,WRX
55,498,Bradley Folse,STREET - AWD,1:41.260,IMPREZA
56,675,Nick Aegerter,STREET - AWD,1:41.639,FOCUS
57,224,Mike Day,CLUB TR - RWD,1:41.678,MX-5 MIATA
58,740,Alexis Fregoso,CLUB TR - FWD,1:42.041,RSX
59,48,Jeremy Hensley,STREET - AWD,1:42.504,IMPREZA
60,194,Mike Callaway,STREET - AWD,1:43.241,IMPREZA
61,202,Rebekah Cohen,STREET - FWD,1:43.752,CIVIC TYPE R
62,218,Jason Mulderig,CLUB TR - RWD,1:43.914,S2000
63,100,Joshua Briggs,UNLIMITED - RWD,1:44.673,MX-5 MIATA
64,83,Ben Ciric,STREET - RWD,1:45.534,370Z
65,806,Jordan Gunther,CLUB TR - RWD,1:47.806,BRZ
66,97,Mark Matyac,STREET GT - RWD,1:48.257,3 SERIES
67,67,Jonathan Denk,STREET MOD - FWD,1:49.053,CIVIC
68,7,Thomas Halka,STREET - AWD,1:49.113,IMPREZA
69,129,Matt Williams,CLUB SC - FWD,1:49.526,FIT
70,91,Chris Rice,CLUB SC - FWD,1:50.795,FIT
71,156,Mike Janssen,CLUB SC - FWD,1:51.281,CIVIC
72,130,James Smith,CLUB SC - FWD,1:51.626,FIT
73,370,Sam Deuling,CLUB SC - FWD,1:51.686,FIT
74,144,Ryan Mukherjee,CLUB SC - FWD,1:51.978,FIT
75,116,Lennon Radcliffe,CLUB SC - FWD,1:52.062,COROLLA
76,216,Nickolas Berg,CLUB SC - FWD,1:53.244,FIT
77,184,Trip Walker,CLUB SC - FWD,2:00.424,FIT
78,117,Daniel Glasgow,CLUB SC - FWD,2:01.608,FIT
79,310,Mike Coons,STREET - AWD,,IMPREZA
80,55,Charles Miller,STREET - AWD,,LANCER
,,,,,
Official Results Published Through Heat 6 - 5/10/25 13:35,,,,,
"Penalty - Car 404, Ignore Checkered Flag Condition, Heat 2 times Invalidated. - 5/9/25 18:05",,,,,
"Penalty - Car 961, Ignore Full Course Yellow Flag Condition, Heat 2 times Invalidated. - 5/9/25 18:05",,,,,
"Penalty - Car 204, Ignore Full Course Yellow Flag Condition, Heat 2 times Invalidated. - 5/9/25 18:05",,,,,
"Penalty - Car 194, Ignore Full Course Yellow Flag Condition, Heat 2 times Invalidated. - 5/9/25 18:05",,,,,
"Penalty - Car 94, Ignore Full Course Yellow Flag Condition, Heat 2 times Invalidated. - 5/9/25 18:05                        ",,,,,
"Penalty - Car 40, Ignore Full Course Yellow Flag Condition, Heat 2 times Invalidated. - 5/9/25 18:05",,,,,
"Penalty - Car 35, Ignore Full Course Yellow Flag Condition, Heat 2 times Invalidated. - 5/9/25 18:05                  ",,,,,
"Penalty - Car 117, 4-off w/o self-report, Heat 5 times invalidated. - 5/10/25 11:20",,,,,
"Penalty - Car 985, 4-off w/o self-report, Heat 5 times invalidated. - 5/10/25 11:20",,,,,
"Penalty - Car 117,  Ignore Checkered Flag Condition, Heat 6 times Invalidated, 5/10/25 13:35",,,,,
