GLGT Race 1 Results,,,,,,,,
Pos,No.,Name,Model,Best Tm,In Lap,Laps,Gap,Points
1,66,Aaron Leichty,CORVETTE,1:31.513,7,10,,25
2,41,James Houghton,CIVIC TYPE R,1:31.595,8,10,0.356,21
3,24,Aj Hartman,MUSTANG,1:32.108,6,10,9.548,18
4,6,Charlesandre Bilodeau,M4,1:33.784,10,10,13.086,0
5,40,Chris Delucia,3 SERIES,1:33.525,9,10,1.274,16
6,69,James Forbis,CORVETTE,1:33.195,7,10,4.227,15
7,77,Hans Horpedahl,CORVETTE,1:33.543,7,10,4.434,14
8,404,David Bamforth,CAYMAN,1:34.917,6,10,10.323,12
9,62,Jeffrey Zissulis,3 SERIES,1:37.774,8,10,32.949,11
10,7,Jordan Wiseley,IONIQ5 N,1:38.229,4,10,10.648,10
11,74,Erik Dallariva,CSX,1:38.065,9,9,1 Lap,9
12,12,Taylor Allen,CORVETTE,1:39.689,9,9,35.626,0
"Penalty Car 6: Impound Violation, Technical Compliance for Class, Tires - Loss of Points, Retains Position",,,,,,,,
"Penalty Car 12: Impound Violation, Technical Compliance for Class, Tires - Loss of Points, Retains Position",,,,,,,,
,,,,,,,,Official Results Published - 6/28/25 12:50
