GLTC Qualifying Results,,,,,
Pos,No.,Name,Model,Best Tm,Points
1,330,Eric Magnussen,M3,1:36.232,3
2,82,Eric Kutil,CIVIC,1:36.283,2
3,2,Aryton Grim,MX-5 MIATA,1:36.287,1
4,374,Emile Tabb,MX-5 MIATA,1:36.326,0
5,34,Austin Hertel,370Z,1:36.424,0
6,46,Ryan Kristoff,TCRX,1:36.440,0
7,17,Tony Marchev,CORVETTE,1:36.449,0
8,55,Paul Darling,M3,1:36.590,0
9,49,Nicholas Barbato,M3,1:36.715,0
10,3,Erik Meadows,CORVETTE,1:36.831,0
11,202,Jake Price,MX-5 MIATA,1:37.061,0
12,85,Samuel Scott,MX-5 MIATA,1:37.210,0
13,222,Kyle Hale,M3,1:37.356,0
14,484,Matan Rosenberg,CORVETTE,1:37.402,0
15,1,Gary Wimble,CORVETTE,1:37.493,0
16,71,Joel Morrison,S2000,1:37.598,0
17,129,James Cathers,M3,1:37.822,0
18,155,Michael Pagano,116I,1:38.473,0
19,83,Carlos Mendez,3 SERIES,1:38.720,0
20,350,Julio Crispin,350Z,1:38.872,0
21,33,Justin Lee,MX-5 MIATA,1:38.995,0
22,89,Tom Panzarella,JETTA,1:39.048,0
23,111,Jack Wischmeyer,CIVIC,1:39.153,0
24,171,Clayton Fitzpatrick,CORVETTE,1:39.216,0
25,74,Erik Dallariva,CSX,1:39.377,0
26,261,Brad Kosiba,MX-5 MIATA,1:39.544,0
27,84,Thomas Lathrop,3 SERIES,1:39.602,0
28,26,Louis Chatroop,3 SERIES,1:39.760,0
29,94,Jonathan Lugod,DEL SOL,1:40.190,0
30,187,Chris Adams,MX-5 MIATA,1:40.543,0
31,224,Michael Hillo,350Z,1:41.039,0
32,95,Robbie Vierhout,350Z,1:41.374,0
33,515,Thomas Moss,MX-5 MIATA,1:43.052,0
34,528,Richard Sawicki,MX-5 MIATA,1:46.003,0
35,594,Rory Lonergan,MX-5 MIATA,1:47.310,0
36,50,Azmath Mohammed,MR2,1:54.416,0
37,313,Chandler Roe,CIVIC,1:55.103,0
38,28,Peter Zhang,FR-S,,0
DQ,614,Blake Korth,CAYMAN,1:37.824,0
DQ,79,Raul Iriarte,BRZ,1:38.628,0
DQ,541,Seth Gale,INTEGRA,1:39.977,0
DQ,992,Azim Aliriza,3 SERIES,1:40.736,0
DQ,333,Tony Barber,BOXSTER,1:41.971,0
DQ,23,Brian Santiago,FOCUS ST,1:45.838,0
"Penalty Car 614: Impound Violation, Technical Compliance for Class, Wing - DQ",,,,,
"Penalty Car 333: Impound Violation, Technical Compliance for Class, Tires - DQ",,,,,
"Penalty Car 79: Impound Violation, Technical Compliance for Class, Splitter - DQ",,,,,
"Penalty Car 541: Impound Violation, Technical Compliance for Class, Weight - DQ",,,,,
Penalty Car 992: Failure to Submit Required Competition Form - DQ,,,,,
"Penalty Car 23: Impound Violation, Technical Compliance for Class - Weight, DQ",,,,,
,,,,,Official Results Published - 6/28/25 09:40
