GLTC Race 1 Results ,,,,,,,,
Pos,No.,Name,Model,Best Tm,In Lap,Laps,Gap,Points
1,374,Emile Tabb,MX-5 MIATA,1:37.294,5,8,,25
2,82,Eric Kutil,CIVIC,1:37.896,5,8,0.463,21
3,484,Matan Rosenberg,CORVETTE,1:37.339,8,8,0.09,18
4,46,Ryan Kristoff,TCRX,1:37.532,8,8,0.422,16
5,330,Eric Magnussen,M3,1:37.917,5,8,0.509,15
6,34,Austin Hertel,370Z,1:37.920,4,8,1.001,14
7,55,Paul Darling,M3,1:37.227,8,8,0.446,13
8,49,Nicholas Barbato,M3,1:37.918,8,8,2.519,12
9,202,Jake Price,MX-5 MIATA,1:38.848,8,8,1.524,11
10,2,Aryton Grim,MX-5 MIATA,1:39.106,8,8,0.565,10
11,222,Kyle Hale,M3,1:38.978,8,8,1.563,9
12,129,James Cathers,M3,1:39.449,8,8,0.539,8
13,3,Erik Meadows,CORVETTE,1:38.586,8,8,1.006,7
14,1,Gary Wimble,CORVETTE,1:38.397,8,8,0.391,6
15,83,Carlos Mendez,3 SERIES,1:39.863,4,8,1.7,5
16,71,Joel Morrison,S2000,1:40.310,3,8,0.277,4
17,85,Samuel Scott,MX-5 MIATA,1:39.960,4,8,1.027,3
18,350,Julio Crispin,350Z,1:39.210,8,8,0.95,2
19,33,Justin Lee,MX-5 MIATA,1:39.091,8,8,0.116,1
20,84,Thomas Lathrop,3 SERIES,1:40.262,8,8,3.238,0
21,155,Michael Pagano,116I,1:40.455,8,8,0.766,0
22,89,Tom Panzarella,JETTA,1:40.363,4,8,0.353,0
23,171,Clayton Fitzpatrick,CORVETTE,1:40.581,4,8,1.794,0
24,992,Azim Aliriza,3 SERIES,1:40.421,4,8,0.264,0
25,26,Louis Chatroop,3 SERIES,1:40.425,4,8,1.146,0
26,94,Jonathan Lugod,DEL SOL,1:39.952,4,8,0.506,0
27,224,Michael Hillo,350Z,1:40.277,4,8,2.396,0
28,515,Thomas Moss,MX-5 MIATA,1:43.519,4,8,2.329,0
29,614,Blake Korth,CAYMAN,1:40.973,4,8,0.124,0
30,187,Chris Adams,MX-5 MIATA,1:41.369,8,8,0.34,0
31,541,Seth Gale,INTEGRA,1:43.605,8,8,2.765,0
32,528,Richard Sawicki,MX-5 MIATA,1:45.595,8,8,3.167,0
33,594,Rory Lonergan,MX-5 MIATA,1:47.296,8,8,1.165,0
34,74,Erik Dallariva,CSX,1:40.270,3,7,1 Lap,0
35,95,Robbie Vierhout,350Z,1:47.564,2,3,4 Laps,0
36,12,Will Long,SKYLINE GT-R,1:54.035,2,3,28.589,0
37,50,Azmath Mohammed,MR2,1:45.474,2,2,1 Lap,0
38,131,Lisa Keyes,CIVIC,1:57.882,1,1,1 Lap,0
DQ,17,Tony Marchev,CORVETTE,1:37.155,8,8,,0
DQ,313,Chandler Roe,CIVIC,1:41.470,8,8,,0
DQ,333,Tony Barber,BOXSTER,1:44.037,8,8,,0
DQ,79,Raul Iriarte,BRZ,1:42.803,8,8,,0
DQ,261,Brad Kosiba,MX-5 MIATA,1:42.557,4,8,,0
Penalty Car 333: Pass Under Yellow - DQ,,,,,,,,
Penalty Car 313: Pass Under Yellow - DQ,,,,,,,,
Penalty Car 261: Pass Under Yellow - DQ,,,,,,,,
Penalty Car 79: Pass Under Yellow - DQ,,,,,,,,
"Penalty Car 17: Incident Responsibility, Minor with Car 46 - DQ",,,,,,,,
Penalty Car 614: Pass Under Yellow - Warning,,,,,,,,
Penalty Car 2: Unsafe Entry or Re-entry - Warning,,,,,,,,
,,,,,,,,Official Results Published - 6/28/25 13:45
