GLTC Race 3 Results,,,,,,,,
Pos,No.,Name,Model,Best Tm,In Lap,Laps,Gap,Points
1,484,Matan Rosenberg,CORVETTE,1:35.558,7,9,,25
2,330,Eric Magnussen,M3,1:35.757,8,9,1.474,21
3,17,Tony Marchev,CORVETTE,1:35.785,6,9,1.205,18
4,374,Emile Tabb,MX-5 MIATA,1:35.591,6,9,0.348,16
5,82,Eric Kutil,CIVIC,1:36.135,8,9,2.38,15
6,55,Paul Darling,M3,1:35.767,7,9,2.168,14
7,34,Austin Hertel,370Z,1:36.002,5,9,1.315,13
8,49,Nicholas Barbato,M3,1:35.492,8,9,0.236,12
9,46,Ryan Kristoff,TCRX,1:35.887,4,9,2.928,11
10,3,Erik Meadows,CORVETTE,1:36.519,6,9,1.188,10
11,71,Joel Morrison,S2000,1:36.456,6,9,0.238,9
12,1,Gary Wimble,CORVETTE,1:36.667,6,9,1.837,8
13,202,Jake Price,MX-5 MIATA,1:36.675,6,9,0.945,7
14,129,James Cathers,M3,1:37.254,7,9,3.663,6
15,224,Michael Hillo,350Z,1:37.578,5,9,3.824,5
16,111,Jack Wischmeyer,CIVIC,1:37.171,9,9,0.32,4
17,614,Blake Korth,CAYMAN,1:36.384,6,9,0.657,3
18,33,Justin Lee,MX-5 MIATA,1:37.345,6,9,2.322,2
19,83,Carlos Mendez,3 SERIES,1:38.275,9,9,7.392,1
20,84,Thomas Lathrop,3 SERIES,1:38.124,9,9,0.537,0
21,155,Michael Pagano,116I,1:37.550,4,9,0.264,0
22,85,Samuel Scott,MX-5 MIATA,1:37.277,9,9,0.371,0
23,50,Azmath Mohammed,MR2,1:37.974,6,9,2.996,0
24,89,Tom Panzarella,JETTA,1:38.604,5,9,0.417,0
25,171,Clayton Fitzpatrick,CORVETTE,1:38.560,5,9,2.639,0
26,26,Louis Chatroop,3 SERIES,1:38.520,5,9,2.175,0
27,313,Chandler Roe,CIVIC,1:38.620,8,9,0.069,0
28,79,Raul Iriarte,BRZ,1:37.919,5,9,0.535,0
29,992,Azim Aliriza,3 SERIES,1:38.615,8,9,2.594,0
30,261,Brad Kosiba,MX-5 MIATA,1:38.990,9,9,1.489,0
31,187,Chris Adams,MX-5 MIATA,1:39.031,9,9,0.333,0
32,94,Jonathan Lugod,DEL SOL,1:38.274,5,9,14.831,0
33,95,Robbie Vierhout,350Z,1:39.919,4,9,0.508,0
34,541,Seth Gale,INTEGRA,1:41.058,6,9,12.777,0
35,594,Rory Lonergan,MX-5 MIATA,1:42.304,6,9,15.068,0
36,528,Richard Sawicki,MX-5 MIATA,1:43.373,8,9,0.517,0
37,350,Julio Crispin,350Z,1:38.233,5,6,3 Laps,0
38,222,Kyle Hale,M3,1:39.913,1,2,4 Laps,0
39,74,Erik Dallariva,CSX,,0,,,0
40,515,Thomas Moss,MX-5 MIATA,,0,,,
DQ,2,Aryton Grim,MX-5 MIATA,1:36.120,8,9,,
"Penalty Car 2: Incident Responsibility, Major with Car 515 - DQ",,,,,,,,
"Penalty Car 46: Unsportsmanlike Conduct, Bump Drafting - Warning",,,,,,,,
,,,,,,,,Official Results Published - 6/29/25 12:00
