RUSH SR Qualifying Results,,,,,
Pos,No.,Name,Model,Best Tm,Points
1,74,Jason Oehler,SR,1:34.446,3
2,114,Bryce Mersberger,SR,1:34.812,2
3,88,Jaylan Battley,SR,1:35.967,1
4,115,Ethan Hardesty,SR,1:36.232,0
5,33,Evan Pecore,SR,1:36.374,0
6,81,Robert Desjardins,SR,1:36.546,0
7,125,Max Krause,SR,1:36.894,0
8,128,Jeff Hardesty,SR,1:37.151,0
9,22,Jeremy Boysen,SR,1:37.208,0
10,13,Lee Kellert,SR,1:37.245,0
11,117,Kevin Kirkwood,SR,1:37.792,0
12,256,Samuel Reed,SR,1:38.011,0
13,82,Pat Brady,SR,1:38.754,0
14,55,Chuck Desjardins,SR,1:39.605,0
15,113,Tim Burkard,SR,1:41.972,0
16,444,Fred Thomas,SR,1:42.580,0
17,227,Aj Campo,SR,1:43.992,0
DQ,71,Paul Klich,SR,1:40.869,0
"Penalty Car 71: Impound Violation, Technical Compliance for Class - DQ",,,,,
,,,,,Official Results Published - 6/26/25 17:30
