RUSH SR Race 2 Results ,,,,,,,,
Pos,No.,Name,Class,Best Tm,In Lap,Laps,Gap,Points
1,74,Jason Oehler,SR,1:34.248,9,9,,25
2,114,Bryce Mersberger,SR,1:34.884,7,9,9.351,21
3,81,Robert Desjardins,SR,1:35.275,7,9,6.953,18
4,88,Jaylan Battley,SR,1:35.688,1,9,0.579,16
5,125,Max Krause,SR,1:36.097,3,9,4.245,15
6,33,Evan Pecore,SR,1:36.274,5,9,0.218,14
7,256,Samuel Reed,SR,1:37.436,6,9,11.98,13
8,117,Kevin Kirkwood,SR,1:36.787,8,9,1.146,12
9,115,Ethan Hardesty,SR,1:36.400,8,9,0.405,11
10,128,Jeff Hardesty,SR,1:37.265,5,9,1.682,10
11,22,Jeremy Boysen,SR,1:37.314,8,9,1.515,9
12,82,Pat Brady,SR,1:37.243,5,9,2.025,8
13,55,Chuck Desjardins,SR,1:39.343,8,9,23.108,7
14,71,Paul Klich,SR,1:39.655,9,9,0.807,6
15,113,Tim Burkard,SR,1:40.207,5,9,7.99,5
16,227,Aj Campo,SR,1:40.721,8,9,8.505,4
17,444,Fred Thomas,SR,1:41.010,8,9,1.126,3
18,13,Lee Kellert,SR,1:36.018,1,6,3 Laps,2
,,,,,,,,Official Results Published - 6/28/25 17:10
