RUSH SR Race 3 Results,,,,,,,,
Pos,No.,Name,Class,Best Tm,In Lap,Laps,Gap,Points
1,74,Jason Oehler,SR,1:33.727,3,9,,25
2,114,Bryce Mersberger,SR,1:34.460,2,9,6.47,21
3,88,Jaylan Battley,SR,1:34.454,9,9,1.663,18
4,81,Robert Desjardins,SR,1:34.348,7,9,2.206,16
5,125,Max Krause,SR,1:34.846,5,9,4.704,15
6,256,Samuel Reed,SR,1:35.756,3,9,7.433,14
7,115,Ethan Hardesty,SR,1:35.179,5,9,0.23,13
8,13,Lee Kellert,SR,1:35.518,1,9,2.479,12
9,117,Kevin Kirkwood,SR,1:35.856,5,9,0.488,11
10,128,Jeff Hardesty,SR,1:35.916,7,9,1.883,10
11,22,Jeremy Boysen,SR,1:35.578,7,9,0.365,9
12,58,Bill Wright,SR,1:36.851,6,9,19.644,8
13,71,Paul Klich,SR,1:39.518,5,9,14.4,7
14,113,Tim Burkard,SR,1:39.746,5,9,1.791,6
15,227,Aj Campo,SR,1:39.283,8,9,1.695,5
16,444,Fred Thomas,SR,1:39.482,6,9,2.001,4
17,82,Pat Brady,SR,1:36.508,5,8,1 Lap,3
18,55,Chuck Desjardins,SR,1:38.104,6,7,1 Lap,2
,,,,,,,,Official Results Published - 6/29/25 12:30
