TrackBattle Heat 6 Results (all groups),,,,,
Pos,No.,Name,Class,Best Time/Heat,Model
1,830,Eric Fleming,UNLIMITED - RWD,1:22.520,CORVETTE
2,921,Jim Rauck,UNLIMITED - FWD,1:24.870,CIVIC
3,687,Jackie Ding,TRACK MOD - RWD,1:25.428,M2
4,29,Kyle Mckiou,STREET MOD - RWD,1:28.171,GR SUPRA
5,171,Andrius Bertulis,UNLIMITED - RWD,1:28.595,RCF
6,115,Wesley Penn,UNLIMITED - RWD,1:29.470,CORVETTE
7,445,Justin Peachey,TRACK MOD - RWD,1:29.483,CORVETTE
8,212,Chris Smith,TRACK MOD - RWD,1:29.547,1 SERIES
9,33,Chris Boersma,TRACK MOD - FWD,1:29.857,CIVIC
10,66,Matthias Schaub,UNLIMITED - RWD,1:29.857,911
11,51,Jon Roed,STREET MOD - RWD,1:30.136,MX-5 MIATA
12,82,Jaime Santos,STREET MOD - RWD,1:30.206,1 SERIES
13,121,Ryan Mathews,STREET MOD - RWD,1:30.587,CORVETTE
14,93,John Veloso,SUPER UNLIMITED - RWD,1:30.755,NSX
15,314,Michael Puglisi,TRACK MOD - AWD,1:30.957,LANCER
16,444,Luca Barberis,STREET MOD - RWD,1:31.156,GR SUPRA
17,114,Bronson Mcnemar,TRACK MOD - RWD,1:31.215,MX-5 MIATA
18,717,Luke Mcgrew,STREET GT - RWD,1:31.439,Z06
19,773,Luie Zendejas,UNLIMITED - RWD,1:31.636,CORVETTE
20,364,Nicholas Hendrix,STREET GT - RWD,1:32.001,CORVETTE
21,11,Graham Gaylord,STREET MOD - AWD,1:33.331,IMPREZA
22,985,Dayton Delahoussaye,STREET MOD - RWD,1:33.427,MX-5 MIATA
23,777,Joshua Halka,STREET - AWD,1:34.102,IMPREZA
24,177,Brad Angevaare,TRACK MOD - RWD,1:34.380,MX-5 MIATA
25,228,Brad Smith,STREET GT - RWD,1:34.702,CAMARO
26,310,Mike Coons,STREET - AWD,1:35.019,IMPREZA
27,514,Evan Mclaren,CLUB TR - FWD,1:35.044,INTEGRA
28,550,Anthony Colard,STREET GT - RWD,1:35.092,MUSTANG
29,727,Mario Mirone,CLUB TR - FWD,1:35.421,CIVIC
30,400,Alexander Bungabong,UNLIMITED - RWD,1:35.611,RCF
31,571,John Laughlin,STREET - FWD,1:35.669,CIVIC
32,94,Mike Bryant,CLUB TR - RWD,1:36.265,MX-5 MIATA
33,466,Willem Drees,STREET - FWD,1:36.289,ELANTRA N
34,470,Eddy Segal,STREET - FWD,1:36.372,CIVIC TYPE R
35,716,Darius Zajac,TRACK MOD - RWD,1:36.441,CORVETTE
36,73,Jeremy Salenius,STREET MOD - RWD,1:36.483,CORVETTE
37,511,Peter Granberg,CLUB TR - RWD,1:36.653,BRZ
38,18,Kevin Vue,CLUB TR - FWD,1:36.670,INTEGRA
39,204,Christopher Heideman,CLUB TR - RWD,1:36.695,S2000
40,504,Kameron Newman,STREET MOD - RWD,1:36.762,BRZ
41,517,Tim Lutz,STREET MOD - RWD,1:36.798,CORVETTE
42,45,Ross Ligibel,STREET - RWD,1:37.034,M3
43,317,Timothy Turner,STREET MOD - RWD,1:37.047,M3
44,869,Cheddar O'Brien,SUPER UNLIMITED - RWD,1:37.160,SR3
45,669,Carlos Alvarez,STREET GT - RWD,1:37.352,M2
46,40,Ben Bulthuis,STREET GT - RWD,1:37.405,GR SUPRA
47,38,Aaron Rekkedahl,STREET - FWD,1:37.448,CIVIC TYPE R
48,949,Evin Degirmencioglu,STREET GT - RWD,1:37.700,MUSTANG
49,997,Jason Gaydos,CLUB TR - RWD,1:37.761,BRZ
50,69,Cody Umbaugh,STREET - FWD,1:38.059,CIVIC
51,319,Chris Schuster,CLUB TR - RWD,1:38.071,GR86
52,622,Jake Rawson,CLUB TR - RWD,1:38.112,3 SERIES
53,410,Foster Johnson,CLUB TR - RWD,1:38.261,S2000
54,7,Thomas Halka,STREET - AWD,1:38.428,IMPREZA
55,230,Daniel Persing,CLUB TR - RWD,1:38.703,BRZ
56,23,King Thao,CLUB TR - FWD,1:38.871,CIVIC
57,120,Will Evans,STREET MOD - FWD,1:38.990,CIVIC TYPE R
58,76,Ethan Brown,STREET MOD - FWD,1:39.119,GOLF GTI
59,73x,Adam Spence,STREET MOD - RWD,1:39.277,CORVETTE
60,311,Jan Wildner,STREET - AWD,1:39.550,240SX
61,56,Nicholas Alpin,STREET GT - RWD,1:39.594,CORVETTE
62,80,Chris Nahill,STREET - FWD,1:39.718,CIVIC
63,241,Dariush Lotfi,CLUB TR - RWD,1:39.770,MX-5 MIATA
64,25,Christopher Quashnie,STREET - FWD,1:39.799,CIVIC
65,218,Jason Mulderig,CLUB TR - RWD,1:39.996,S2000
66,238,Garrett Gloceri,CLUB TR - RWD,1:40.369,RX-8
67,771,Rico Valdez,STREET GT - RWD,1:40.513,CORVETTE
68,442,Logan Geyer,CLUB TR - RWD,1:40.556,BRZ
69,920,Aaron Byram,CLUB TR - RWD,1:40.663,M3
70,46,Nehru Cheddie,STREET - RWD,1:40.751,M3
71,48,Jeremy Hensley,STREET - AWD,1:40.756,IMPREZA
72,515,Jared Garcia,CLUB TR - RWD,1:40.772,S2000
73,262,Noah Janke,CLUB TR - RWD,1:40.889,MR2
74,624,Marketti-Morales Nolan,STREET - AWD,1:41.495,IMPREZA
75,432,Connor Omara,CLUB TR - AWD,1:41.901,R32
76,71,Kevin Horn,CLUB TR - RWD,1:42.057,FR-S
77,387,Clay Coughlin,SUPER UNLIMITED - RWD,1:42.385,CARDINAL
78,75,Jerome Cahuzac,STREET GT - RWD,1:42.497,M2
79,335,Christopher Bickford,STREET - FWD,1:42.811,INTEGRA
80,240,Eric Knerr,CLUB TR - FWD,1:42.818,CIVIC
81,521,Juniper Zarder,STREET MOD - RWD,1:43.331,Z
82,614,Mark Riehle,CLUB TR - FWD,1:43.546,COOPER
83,915,Dylan Rodgers,CLUB TR - RWD,1:44.238,MX-5 MIATA
84,2,Connor Gallagher,STREET GT - AWD,1:45.090,GT-R
85,97,Mark Matyac,STREET GT - RWD,1:45.537,3 SERIES
86,198,Bruce Yhun,CLUB TR - FWD,1:45.749,CR-Z
87,823,Dave Laps,STREET - FWD,1:47.114,COBALT
88,91,Chris Rice,CLUB SC - FWD,1:47.225,FIT
89,130,James Smith,CLUB SC - FWD,1:47.256,FIT
90,134,David Best,CLUB SC - FWD,1:47.623,FIT
91,116,Lennon Radcliffe,CLUB SC - FWD,1:47.859,COROLLA
92,412,Austin Obrien,CLUB SC - FWD,1:48.105,FIT
93,156,Mike Janssen,CLUB SC - FWD,1:48.366,CIVIC
94,370,Sam Deuling,CLUB SC - FWD,1:48.531,FIT
95,377,Jack Coughlin,CLUB SC - FWD,1:48.714,COUPE
96,357,Luis Rodriguez,CLUB SC - FWD,1:49.561,FIT
97,144,Ryan Mukherjee,CLUB SC - FWD,1:49.822,FIT
98,95,Alex Gomez,CLUB SC - FWD,1:53.191,FIT
99,211,Ryan Mathews,STREET GT - RWD,2:34.659,CORVETTE
100,304,Allen Patten,TRACK MOD - RWD,5:07.693,CORVETTE
,,,,,Official Results Published - 6/28/25 17:40
