TrackBattle Overall Results (all groups),,,,,
Pos,No.,Name,Class,Best Time/Heat,Model
1,830,Eric Fleming,UNLIMITED - RWD,1:21.568,CORVETTE
2,304,Allen Patten,TRACK MOD - RWD,1:24.001,CORVETTE
3,921,Jim Rauck,UNLIMITED - FWD,1:24.586,CIVIC
4,687,Jackie Ding,TRACK MOD - RWD,1:25.269,M2
5,70,Dewey Dewitt,STREET MOD - AWD,1:26.711,IMPREZA
6,29,Kyle Mckiou,STREET MOD - RWD,1:27.780,GR SUPRA
7,82,Jaime Santos,STREET MOD - RWD,1:28.581,1 SERIES
8,171,Andrius Bertulis,UNLIMITED - RWD,1:28.595,RCF
9,212,Chris Smith,TRACK MOD - RWD,1:28.683,1 SERIES
10,93,John Veloso,SUPER UNLIMITED - RWD,1:28.730,NSX
11,445,Justin Peachey,TRACK MOD - RWD,1:28.790,CORVETTE
12,115,Wesley Penn,UNLIMITED - RWD,1:28.865,CORVETTE
13,444,Luca Barberis,STREET MOD - RWD,1:29.115,GR SUPRA
14,51,Jon Roed,STREET MOD - RWD,1:29.707,MX-5 MIATA
15,33,Chris Boersma,TRACK MOD - FWD,1:29.857,CIVIC
16,66,Matthias Schaub,UNLIMITED - RWD,1:29.857,911
17,121,Ryan Mathews,STREET MOD - RWD,1:29.922,CORVETTE
18,11,Graham Gaylord,STREET MOD - AWD,1:30.230,IMPREZA
19,717,Luke Mcgrew,STREET GT - RWD,1:30.826,Z06
20,314,Michael Puglisi,TRACK MOD - AWD,1:30.957,LANCER
21,443,Andy Holst,STREET - AWD,1:31.187,LANCER
22,114,Bronson Mcnemar,TRACK MOD - RWD,1:31.215,MX-5 MIATA
23,777,Joshua Halka,STREET - AWD,1:31.221,IMPREZA
24,364,Nicholas Hendrix,STREET GT - RWD,1:31.352,CORVETTE
25,773,Luie Zendejas,UNLIMITED - RWD,1:31.474,CORVETTE
26,211,Ryan Mathews,STREET GT - RWD,1:31.996,CORVETTE
27,909,Mark Kilgore,STREET GT - RWD,1:32.269,M4
28,574,Zac Zhou,UNLIMITED - RWD,1:33.067,GALLARDO
29,985,Dayton Delahoussaye,STREET MOD - RWD,1:33.233,MX-5 MIATA
30,536,Austin Hertel,STREET GT - RWD,1:33.253,CORVETTE
31,177,Brad Angevaare,TRACK MOD - RWD,1:33.384,MX-5 MIATA
32,228,Brad Smith,STREET GT - RWD,1:33.797,CAMARO
33,514,Evan Mclaren,CLUB TR - FWD,1:33.999,INTEGRA
34,2,Connor Gallagher,STREET GT - AWD,1:34.191,GT-R
35,224,Michael Hillo,TRACK MOD - RWD,1:34.196,350Z
36,404,David Bamforth,TRACK MOD - RWD,1:34.353,CAYMAN
37,550,Anthony Colard,STREET GT - RWD,1:34.555,MUSTANG
38,727,Mario Mirone,CLUB TR - FWD,1:34.563,CIVIC
39,310,Mike Coons,STREET - AWD,1:34.755,IMPREZA
40,571,John Laughlin,STREET - FWD,1:34.809,CIVIC
41,466,Willem Drees,STREET - FWD,1:34.827,ELANTRA N
