GLTC Qualifying Results,,,,,
Pos,No.,Name,Model,Best Tm,Points
1,484,Matan Rosenberg,CORVETTE,2:29.144,3
2,374,Emile Tabb,MX-5 MIATA,2:30.512,2
3,330,Eric Magnussen,M3,2:30.900,1
4,57,Christian Aranha,CORVETTE,2:31.280,0
5,90,Matt Waldbaum,S2000,2:31.319,0
6,2,Aryton Grim,MX-5 MIATA,2:31.938,0
7,212,Andy Smedegard,GT86.24,2:32.064,0
8,66,Aaron Leichty,CORVETTE,2:32.172,0
9,26,Louis Chatroop,3 SERIES,2:32.603,0
10,222,Kyle Hale,M3,2:32.633,0
11,865,Ryan Power,86,2:32.707,0
12,111,Jack Wischmeyer,CIVIC,2:32.972,0
13,224,Michael Hillo,350Z,2:32.974,0
14,614,Blake Korth,CAYMAN,2:33.097,0
15,71,Joel Morrison,S2000,2:33.124,0
16,34,Austin Hertel,370Z,2:33.171,0
17,715,Salil Shukla,M3,2:33.642,0
18,109,Dana Basinski,BRZ,2:33.668,0
19,184,Eric Jensen,FR-S,2:33.904,0
20,84,Thomas Lathrop,3 SERIES,2:33.978,0
21,28,Peter Zhang,FR-S,2:34.166,0
22,155,Michael Pagano,116I,2:34.383,0
23,83,Carlos Mendez,3 SERIES,2:34.553,0
24,89,Tom Panzarella,JETTA,2:35.096,0
25,32,Jake Joraanstad,S2000,2:35.148,0
26,440,Daniel Giraldo,IS,2:35.770,0
27,50,Azmath Mohammed,MR2,2:35.841,0
28,22,Kunwoo Lee,GR86,2:36.449,0
29,261,Brad Kosiba,MX-5 MIATA,2:36.550,0
30,43,Joe Tullo,325I,2:36.948,0
31,888,Dai Nguyen,BRZ,2:38.900,0
32,67,Mat Beck,240SX,2:40.047,0
33,192,Tyson Schwiesow,Z3,2:41.776,0
34,326,Jon Borlee,MX-5 MIATA,2:55.297,0
35,13,Alan Newsome,XR4TI,,0
,,,,,Official Results Posted 7/25/25 19:45
