GLTC Race 1 Results ,,,,,,,,
Pos,No.,Name,Model,Best Tm,In Lap,Laps,Gap,Points
1,484,Matan Rosenberg,CORVETTE,2:28.564,3,6,,25
2,374,Emile Tabb,MX-5 MIATA,2:31.895,3,6,1.598,21
3,330,Eric Magnussen,M3,2:32.085,3,6,0.806,18
4,66,Aaron Leichty,CORVETTE,2:32.238,3,6,1.582,16
5,90,Matt Waldbaum,S2000,2:32.476,3,6,0.789,15
6,71,Joel Morrison,S2000,2:31.917,3,6,0.713,14
7,222,Kyle Hale,M3,2:32.794,3,6,0.126,13
8,212,Andy Smedegard,GT86.24,2:32.986,3,6,0.916,12
9,26,Louis Chatroop,3 SERIES,2:32.510,3,6,0.689,11
10,865,Ryan Power,86,2:32.506,3,6,0.196,10
11,57,Christian Aranha,CORVETTE,2:32.558,3,6,0.143,9
12,715,Salil Shukla,M3,2:33.442,3,6,0.267,8
13,34,Austin Hertel,370Z,2:32.834,3,6,0.614,7
14,614,Blake Korth,CAYMAN,2:34.920,3,6,2.649,6
15,83,Carlos Mendez,3 SERIES,2:35.252,3,6,0.234,5
16,84,Thomas Lathrop,3 SERIES,2:35.984,3,6,0.797,4
17,155,Michael Pagano,116I,2:35.425,3,6,0.14,3
18,50,Azmath Mohammed,MR2,2:36.891,3,6,0.816,2
19,89,Tom Panzarella,JETTA,2:37.510,6,6,0.44,1
20,43,Joe Tullo,325I,2:37.533,2,6,2.632,0
21,184,Eric Jensen,FR-S,2:40.430,3,6,2.62,0
22,888,Dai Nguyen,BRZ,2:39.019,3,6,3.272,0
23,192,Tyson Schwiesow,Z3,2:42.542,3,6,3.488,0
24,23,Brian Santiago,FOCUS ST,2:43.930,2,6,1.851,0
25,32,Jake Joraanstad,S2000,2:38.028,3,6,10.177,0
DQ,440,Daniel Giraldo,IS,2:35.149,3,6,0.151,0
27,326,Jon Borlee,MX-5 MIATA,2:53.661,3,6,0.706,0
28,261,Brad Kosiba,MX-5 MIATA,2:39.080,3,5,1 Lap,0
29,67,Mat Beck,240SX,2:39.763,2,5,1.653,0
30,109,Dana Basinski,BRZ,2:31.932,3,3,2 Laps,0
31,224,Michael Hillo,350Z,2:37.453,2,2,1 Lap,0
32,111,Jack Wischmeyer,CIVIC,2:37.960,1,1,1 Lap,0
DQ,28,Peter Zhang,FR-S,2:37.765,6,6,,0
DQ,22,Kunwoo Lee,GR86,2:40.572,3,5,,0
Penalty Car 440: Unsportsmanlike Conduct - Loss of 10 Finishing Positions,,,,,,,,
Penalty Car 28: Pass Under Yellow - DQ,,,,,,,,
Penalty Car 22: Incident Responsibility Major with Car 261 - DQ,,,,,,,,
"The restart has been reviewed for cars 184, 155, 28 - No action.",,,,,,,,
,,,,,,,,Official Results Posted 7/26/25 14:20
