GLTC Race 4 Results,,,,,,,,
Pos,No.,Name,Model,Best Tm,In Lap,Laps,Gap,Points
1,484,Matan Rosenberg,CORVETTE,2:32.948,3,5,,25
2,330,Eric Magnussen,M3,2:32.984,4,5,0.234,21
3,90,Matt Waldbaum,S2000,2:33.692,4,5,0.758,18
4,66,Aaron Leichty,CORVETTE,2:33.523,4,5,0.839,16
5,374,Emile Tabb,MX-5 MIATA,2:34.221,4,5,1.968,15
6,715,Salil Shukla,M3,2:34.612,4,5,1.509,14
7,83,Carlos Mendez,3 SERIES,2:34.797,5,5,2.391,13
8,440,Daniel Giraldo,IS,2:35.407,4,5,3.49,12
9,34,Austin Hertel,370Z,2:35.205,4,5,0.307,11
10,84,Thomas Lathrop,3 SERIES,2:36.382,2,5,1.289,10
11,26,Louis Chatroop,3 SERIES,2:34.086,4,5,0.214,9
12,614,Blake Korth,CAYMAN,2:36.116,3,5,2.941,8
13,444,John Gaydos,3 SERIES,2:36.384,3,5,1.543,7
14,222,Kyle Hale,M3,2:34.208,4,5,0.344,6
15,155,Michael Pagano,116I,2:36.647,4,5,0.567,5
16,32,Jake Joraanstad,S2000,2:37.781,4,5,12.29,4
17,43,Joe Tullo,325I,2:38.693,2,5,0.414,3
18,192,Tyson Schwiesow,Z3,2:43.818,3,5,21.635,2
19,23,Brian Santiago,FOCUS ST,2:44.150,2,5,8.281,1
20,326,Jon Borlee,MX-5 MIATA,2:54.174,3,5,53.287,0
21,212,Andy Smedegard,GT86.24,2:36.684,3,3,2 Laps,0
22,67,Mat Beck,240SX,2:39.210,2,2,1 Lap,0
23,89,Tom Panzarella,JETTA,2:43.778,1,1,1 Lap,0
24,28,Peter Zhang,FR-S,2:45.420,1,1,3.253,0
25,888,Dai Nguyen,BRZ,2:46.981,1,1,0.965,0
,,,,,,,,Official Results posted 07/27/25 15:05
