RUSH SR Qualifying Results,,,,,
Pos,No.,Name,Model,Best Tm,Points
1,56,Ryan Leach,SR,2:25.938,3
2,70,James French,SR,2:25.966,2
3,8,Blair Hosie,SR,2:26.055,1
4,114,Bryce Mersberger,SR,2:26.948,0
5,7,Nico Bratz,SR,2:27.059,0
6,34,Andy Voelkel,SR,2:27.115,0
7,33,Ethan Alexander,SR,2:27.840,0
8,74,Jason Oehler,SR,2:28.763,0
9,88,Jaylan Battley,SR,2:28.833,0
10,190,John Robinson,SR,2:28.871,0
11,25,Mark Charnogorsky,SR,2:29.042,0
12,253,Hasan Ahmed,SR,2:29.249,0
13,144,Nate Hamilton,SR,2:29.283,0
14,28,Tj Hunt,SR,2:29.749,0
15,51,Gage Hughes,SR,2:30.368,0
16,12,Andor  Tobelem,SR,2:30.415,0
17,211,Travis Pendelton,SR,2:30.579,0
18,188,Matt Wilson,SR,2:30.660,0
19,9,Nicholas Billingsley,SR,2:31.224,0
20,30,Vilas Saldanha,SR,2:31.355,0
21,115,Ethan Hardesty,SR,2:31.668,0
22,18,Darius Garcia,SR,2:31.790,0
23,39,Michael Neff,SR,2:31.984,0
24,19,Kelsey Billingsley,SR,2:32.080,0
25,48,Brandon Schwarz,SR,2:32.194,0
26,113,Tim Burkard,SR,2:32.535,0
27,256,Samuel Reed,SR,2:32.748,0
28,99,Jared Anderson,SR,2:32.901,0
29,60,Adam Spence,SR,2:32.945,0
30,75,Tom Kersting,SR,2:33.356,0
31,20,Bill Dorrance,SR,2:33.410,0
32,22,Jeremy Boysen,SR,2:33.539,0
33,59,Larry Brady,SR,2:34.103,0
34,117,Kevin Kirkwood,SR,2:34.254,0
35,77,Jake Sanders,SR,2:34.291,0
36,128,Jeff Hardesty,SR,2:34.711,0
37,227,Aj Campo,SR,2:36.400,0
38,17,John Howe,SR,2:36.930,0
39,35,Jd Krull,SR,2:37.457,0
40,244,Robert Andrews,SR,2:40.176,0
41,29,Team End Alzheimers Motorsports,SR,2:42.056,0
DQ,111,Ellis Spiezia,SR,2:28.092,0
DQ,121,Aryton Grim,SR,2:28.355,0
DQ,107,Leah Bauer,SR,2:34.639,0
DQ,38,Luke Krepsky,SR,2:35.527,0
"Penalty Car 111: Impound Violation, Technical Compliance for Class - DQ",,,,,
"Penalty Car 121: Impound Violation, Technical Compliance for Class - DQ",,,,,
"Penalty Car 107: Impound Violation, Technical Compliance for Class - DQ",,,,,
"Penalty Car 38: Impound Violation, Technical Compliance for Class - DQ",,,,,
,,,,,Official Results Posted 7/25/25 19:50
