RUSH SR Race 3 Results,,,,,,,,
Pos,No.,Name,Class,Best Tm,In Lap,Laps,Gap,Points
1,8,Blair Hosie,SR,2:29.093,5,5,,25
2,114,Bryce Mersberger,SR,2:30.004,5,5,1.2,21
3,7,Nico Bratz,SR,2:30.136,5,5,0.399,18
4,25,Mark Charnogorsky,SR,2:31.283,5,5,1.999,16
5,9,Nicholas Billingsley,SR,2:32.863,5,5,2.114,15
6,33,Ethan Alexander,SR,2:32.535,5,5,0.48,14
7,74,Jason Oehler,SR,2:33.748,5,5,0.206,13
8,88,Jaylen Battely,SR,2:33.840,5,5,0.12,12
9,70,James French,SR,2:30.893,5,5,1.437,11
10,34,Andy Voelkel,SR,2:33.660,5,5,0.548,10
11,188,Matt Wilson,SR,2:35.567,5,5,0.497,9
12,121,Aryton Grim,SR,2:35.986,5,5,0.497,8
13,111,Ellis Spiezia,SR,2:34.744,1,5,0.048,7
14,51,Gage Hughes,SR,2:35.674,5,5,0.039,6
15,253,Hasan Ahmed,SR,2:37.038,5,5,1.614,5
DQ,28,Tj Hunt,SR,2:35.985,5,5,0.289,4
17,18,Darius Garcia,SR,2:38.005,5,5,1.551,3
18,19,Kelsey Billingsley,SR,2:40.135,5,5,1.585,2
19,99,Jared Anderson,SR,2:39.480,5,5,1.335,1
20,12,Andor  Tobelem,SR,2:38.475,5,5,0.598,0
DQ,48,Brandon Schwarz,SR,2:36.127,1,5,0.353,0
22,77,Jake Sanders,SR,2:40.470,5,5,0.392,0
23,128,Jeff Hardesty,SR,2:41.560,5,5,1.007,0
24,60,Adam Spence,SR,2:41.548,1,5,0.058,0
25,227,Aj Campo,SR,2:42.010,5,5,1.044,0
26,256,Samuel Reed,SR,2:40.598,1,5,2.079,0
27,59,Larry Brady,SR,2:44.257,5,5,0.02,0
28,20,Bill Dorrance,SR,2:42.756,5,5,0.677,0
29,75,Tom Kersting,SR,2:48.347,5,5,6.659,0
30,107,Leah Bauer,SR,2:46.796,1,5,0.24,0
31,38,Luke Krepsky,SR,2:51.752,5,5,3.341,0
32,244,Robert Andrews,SR,2:57.493,1,5,9.158,0
33,190,John Robinson,SR,2:34.405,1,5,0.101,0
34,29,Team End Alzheimers Motorsports,SR,3:02.175,5,5,2.869,0
35,115,Ethan Hardesty,SR,,0,,5 Laps,0
36,39,Michael Neff,SR,,0,,0.141,0
37,22,Jeremy Boysen,SR,,0,,0.759,0
38,30,Vilas Saldanha,SR,,0,,0.2,0
DQ,117,Kevin Kirkwood,SR,2:36.454,5,5,,0
DQ,113,Tim Burkard,SR,2:50.289,5,5,,0
DQ,56,Ryan Leach,SR,,0,,1.033,0
DQ,144,Nate Hamilton,SR,2:38.131,1,5,,0
DQ,35,Jd Krull,SR,2:54.554,1,5,,0
DQ,17,John Howe,SR,2:55.322,1,5,,0
Incident involving Cars 121 and 115 has been reviewed - Inconclusive,,,,,,,,
Incident involving Cars 144 and 28 has been reviewed - Inconclusive,,,,,,,,
Incident involving Cars 56 and 39 has been reviewed - Inconclusive,,,,,,,,
Penalty Car 113: Pass Under Yellow - DQ,,,,,,,,
Penalty Car 117: Pass Under Yellow - DQ,,,,,,,,
Penalty Car 144: Pass Under Yellow - DQ,,,,,,,,
Penalty Car 17: Pass Under Yellow - DQ,,,,,,,,
Penalty Car 227: Jump Start Violation - Warning,,,,,,,,
Penalty Car 28: Incident Responsibility Minor with Car 39 - Loss of 5 Finish Positions,,,,,,,,
Penalty Car 33: Jump Start Violation - Warning,,,,,,,,
Penalty Car 35: Pass Under Yellow - DQ,,,,,,,,
Penalty Car 48: Incident Responsibility Minor with Car 111 - Loss of 5 Finish Positions,,,,,,,,
Penalty Car 56: Incident Responsibility Minor with Car 70 - Loss of 5 Finish Positions,,,,,,,,
Penalty Car 9: Pass Under Yellow - DQ *rescinded*,,,,,,,,
,,,,,,,,Official Results Published 7/27/25 13:35
